Player,Team,Pass Yds,Pass TD,Pass Int,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,2PT
AJ McCarron,OAK,2.9905416041786363,0.004698049874533017,0.005689662393466364,0.041079182719982364,0.0,0,0,0,0.03
Aaron Rodgers,GB,280.59333333333336,1.9216666666666666,0.41500000000000004,17.835,0.085,0,0,0,0.1
Alex Smith,WAS,226.16769755116115,1.2335406288539235,0.4113017265204216,16.65478347911603,0.07994226339423315,0,0,0,0.03
Alex Tanney,NYG,3.5129916525179183,0.005872562343166267,0.004551729914773149,0.0,0.0020089919724775554,0,0,0,0.03
Andrew Luck,IND,271.36833333333334,2.231666666666667,1.01,9.273333333333333,0.04833333333333334,0,0,0,0.16
Andy Dalton,CIN,235.86795817965512,1.413420353658556,0.9126672130577568,7.1007642679775325,0.04998742089042468,0,0,0,0.0
Ben Roethlisberger,PIT,292.07166666666666,1.9349999999999998,0.9733333333333335,5.278333333333333,0.06666666666666667,0,0,0,0.19
Blaine Gabbert,TEN,4.220007030796758,0.005872562343166267,0.007965527350853145,0.1856435025754221,0.0020089919724775554,0,0,0,0.03
Blake Bortles,JAX,246.23166666666665,1.6166666666666665,0.9183333333333333,24.96166666666667,0.115,0,0,0,0.09
Brandon Weeden,HOU,4.0367289044717936,0.004698049874533019,0.00796552735085322,0.046323196064139364,0.0,0,0,0,0.06
Brett Hundley,SEA,3.8007513970157016,0.0058725623431662615,0.0079655273508533,0.05506321830440115,0.004017983944955111,0,0,0,0.03
Cam Newton,CAR,251.1088664679131,1.8989458315158771,0.6357370994386348,40.67543707551004,0.3105511872592794,0,0,0,0.13
Carson Wentz,PHI,300.1548943165855,1.9659815029541001,0.8398876096161345,15.60187453579117,0.10199943212814655,0,0,0,0.22
Case Keenum,DEN,259.90166666666664,1.2666666666666668,0.94,6.355,0.02666666666666667,0,0,0,0.03
Chad Henne,KC,3.8395095344499537,0.0035235374058997654,0.005689662393466868,0.05681122275245343,0.0,0,0,0,0.02
Chase Daniel,CHI,3.1513066118758193,0.0035235374058997654,0.004551729914773515,0.04107918271998236,0.0020089919724775554,0,0,0,0.02
Cody Kessler,JAX,6.498244108915368,0.002590818446282671,0.0068275948721603155,0.08548073055902032,0.0020089919724775554,0,0,0,0.03
Colt McCoy,WAS,3.808602027474381,0.0027569202438278103,0.017438244489481863,0.0,0.002518215032740758,0,0,0,0.03
Cooper Rush,DAL,3.500385242448337,0.0035235374058997654,0.004551729914773594,0.041079182719982364,0.0020089919724775554,0,0,0,0.03
Dak Prescott,DAL,247.42333333333332,1.6383333333333334,0.5016666666666666,25.74,0.22833333333333336,0,0,0,0.06
DeShone Kizer,GB,4.052123554841166,0.0035235374058997584,0.009103459829547243,0.16855233207725237,0.0020089919724775554,0,0,0,0.03
Derek Carr,OAK,242.37,1.2249999999999999,0.8666666666666667,5.3500000000000005,0.06666666666666667,0,0,0,0.16
Deshaun Watson,HOU,250.41833333333332,1.735,0.94,30.95,0.14500000000000002,0,0,0,0.14
Drew Brees,NO,301.24333333333334,2.3216666666666668,0.4749999999999999,2.7583333333333333,0.12166666666666666,0,0,0,0.03
Eli Manning,NYG,289.84999999999997,1.9216666666666666,0.7733333333333333,1.7233333333333334,0.01,0,0,0,0.06
Geno Smith,LAC,2.9057168001590967,0.0035235374058997606,0.007965527350854026,0.005244013344157032,0.0020089919724775554,0,0,0,0.03
Jacoby Brissett,IND,3.1729400336472957,0.004698049874533015,0.005689662393467296,0.03953408440581132,0.0020089919724775554,0,0,0,0.03
Jameis Winston,TB,15.867913390011855,0.08329377051250363,0.09220513691004623,0.7558647451611734,0.0020089919724775554,0,0,0,0.03
Jared Goff,LAR,310.00333333333333,2.415,0.8166666666666665,9.995,0.08666666666666667,0,0,0,0.09
Jeff Driskel,CIN,3.2420340932383893,0.0035235374058997606,0.005689662393467447,0.07142289596218489,0.0020089919724775554,0,0,0,0.03
Joe Webb,HOU,0.38955686974798936,0.0011745124686332543,0.002275864957387002,0.02097605337662814,0.0020089919724775554,0,0,0,0.0
Josh Rosen,ARI,237.39333333333335,1.6183333333333332,1.0266666666666666,9.15,0.04833333333333334,0,0,0,0.1
Joshua Dobbs,PIT,2.517659783955843,0.008221587280432777,0.01024139230824153,0.041079182719982336,0.0020089919724775554,0,0,0,0.03
Kevin Hogan,DEN,4.339717935794897,0.004698049874533019,0.021620717095177548,0.20830652180442247,0.0020089919724775554,0,0,0,0.03
Kirk Cousins,MIN,281.4983333333333,1.705,0.715,8.803333333333333,0.09833333333333333,0,0,0,0.06
Lamar Jackson,BAL,177.42,1.0983333333333334,0.9016666666666667,46.38666666666666,0.465,0,0,0,0.09
Marcus Mariota,TEN,224.98833333333334,1.4816666666666667,0.6016666666666667,27.224999999999998,0.18833333333333335,0,0,0,0.03
Matt Cassel,DET,3.1719768974545226,0.002349024937266504,0.013655189744325766,0.042827187168034665,0.0,0,0,0,0.05
