Player,POS,Team,Pass Yds,Pass TD,Pass Int,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,Status
Todd Gurley,RB,LAR,0.0,0.0,0.0,92.6,1.1,4.6,41.5,0.3, 
Saquon Barkley,RB,NYG,0.0,0.0,0.0,73.0,0.6,5.7,48.8,0.2, 
Alvin Kamara,RB,NO,0.0,0.0,0.0,57.1,0.8,5.4,47.3,0.3, 
Melvin Gordon,RB,LAC,0.0,0.0,0.0,78.0,0.7,4.4,40.6,0.3, 
Christian McCaffrey,RB,CAR,0.0,0.0,0.0,63.1,0.6,5.5,45.1,0.2, 
James Conner,RB,PIT,0.0,0.0,0.0,75.5,0.8,4.3,35.5,0.2, 
Ezekiel Elliott,RB,DAL,0.0,0.0,0.0,89.5,0.6,4.0,34.0,0.2, 
David Johnson,RB,ARI,0.0,0.0,0.0,72.6,0.8,3.7,35.2,0.2, 
Kareem Hunt,RB,FA,0.0,0.0,15.5,0.7,3.1,30.5,0.2,, 
Kerryon Johnson,RB,DET,0.0,0.0,0.0,62.2,0.4,3.8,29.7,0.2,IR
Aaron Jones,RB,GB,0.0,0.0,0.0,70.6,0.3,3.1,24.7,0.1,IR
Joe Mixon,RB,CIN,0.0,0.0,0.0,64.2,0.4,3.3,24.7,0.1, 
Leonard Fournette,RB,JAX,0.0,0.0,0.0,67.6,0.4,3.0,23.2,0.1,Q
Adrian Peterson,RB,WAS,0.0,0.0,0.0,77.4,0.6,2.0,16.6,0.0, 
Tevin Coleman,RB,ATL,0.0,0.0,0.0,47.4,0.5,3.2,30.9,0.2, 
Dion Lewis,RB,TEN,0.0,0.0,0.0,58.2,0.4,3.5,25.7,0.1, 
Dalvin Cook,RB,MIN,0.0,0.0,0.0,52.5,0.3,3.8,29.6,0.1, 
Mark Ingram,RB,NO,0.0,0.0,0.0,53.7,0.6,2.4,19.7,0.1, 
Tarik Cohen,RB,CHI,0.0,0.0,0.0,26.9,0.2,4.2,41.5,0.2, 
Marlon Mack,RB,IND,0.0,0.0,0.0,58.2,0.4,2.6,20.3,0.1,Q
Lamar Miller,RB,HOU,0.0,0.0,0.0,65.5,0.3,2.6,21.9,0.1, 
Phillip Lindsay,RB,DEN,0.0,0.0,0.0,51.8,0.3,2.8,21.9,0.1,IR
Doug Martin,RB,OAK,0.0,0.0,0.0,58.0,0.4,2.2,18.1,0.1, 
Chris Carson,RB,SEA,0.0,0.0,0.0,68.5,0.4,1.2,10.4,0.1, 
Jalen Richard,RB,OAK,0.0,0.0,0.0,18.8,0.1,5.0,41.2,0.1, 
Alex Collins,RB,BAL,0.0,0.0,0.0,65.4,0.5,1.4,11.9,0.1,IR
Theo Riddick,RB,DET,0.0,0.0,0.0,3.5,0.0,5.1,39.3,0.2,Q
Peyton Barber,RB,TB,0.0,0.0,0.0,59.4,0.4,1.2,9.1,0.0, 
Jordan Howard,RB,CHI,0.0,0.0,0.0,55.8,0.5,0.7,5.9,0.0, 
Kapri Bibbs,RB,GB,0.0,0.0,0.0,17.8,0.1,3.4,27.6,0.1, 
Nyheim Hines,RB,IND,0.0,0.0,0.0,24.8,0.2,2.9,21.1,0.1, 
Ito Smith,RB,ATL,0.0,0.0,0.0,34.5,0.4,1.7,13.5,0.1,IR
Mike Davis,RB,SEA,0.0,0.0,0.0,19.4,0.1,2.7,21.0,0.2, 
Derrick Henry,RB,TEN,0.0,0.0,0.0,44.7,0.4,0.9,7.1,0.0, 
Josh Adams,RB,PHI,0.0,0.0,0.0,48.9,0.3,0.7,6.3,0.0, 
Wendell Smallwood,RB,PHI,0.0,0.0,0.0,17.3,0.1,2.6,23.1,0.1, 
Austin Ekeler,RB,LAC,0.0,0.0,0.0,25.0,0.2,1.9,16.9,0.1, 
Jacquizz Rodgers,RB,TB,0.0,0.0,0.0,14.9,0.1,2.7,22.0,0.1, 
Royce Freeman,RB,DEN,0.0,0.0,0.0,40.1,0.3,0.8,6.6,0.0, 
Javorius Allen,RB,BAL,0.0,0.0,0.0,16.3,0.1,2.5,17.7,0.1, 
T.J. Yeldon,RB,JAX,0.0,0.0,0.0,8.7,0.0,2.9,24.2,0.1, 
Giovani Bernard,RB,CIN,0.0,0.0,0.0,14.5,0.1,2.6,20.5,0.1, 
Corey Clement,RB,PHI,0.0,0.0,0.0,16.3,0.1,1.8,14.8,0.1,IR
Alfred Blue,RB,HOU,0.0,0.0,0.0,29.9,0.2,0.7,6.2,0.0, 
Jamaal Williams,RB,GB,0.0,0.0,0.0,23.5,0.1,1.1,9.1,0.0, 
Rashaad Penny,RB,SEA,0.0,0.0,0.0,28.6,0.2,0.6,5.1,0.0, 
LeGarrette Blount,RB,DET,0.0,0.0,0.0,27.0,0.3,0.3,2.2,0.0, 
Spencer Ware,RB,KC,0.0,0.0,0.0,10.2,0.1,1.3,11.8,0.1, 
Devontae Booker,RB,DEN,0.0,0.0,0.0,5.6,0.0,1.9,15.7,0.0, 
Chase Edmonds,RB,ARI,0.0,0.0,0.0,12.7,0.1,1.2,9.9,0.0, 
Latavius Murray,RB,MIN,0.0,0.0,0.0,15.3,0.1,0.9,7.3,0.0, 
Wayne Gallman,RB,NYG,0.0,0.0,0.0,9.5,0.1,1.1,9.2,0.0, 
Ty Montgomery,RB,BAL,0.0,0.0,0.0,9.5,0.1,1.0,9.2,0.0, 
Carlos Hyde,RB,JAX,0.0,0.0,0.0,10.1,0.1,0.8,5.1,0.0, 
Malcolm Brown,RB,LAR,0.0,0.0,0.0,11.2,0.1,0.5,4.4,0.0,IR
Rod Smith,RB,DAL,0.0,0.0,0.0,10.1,0.1,0.5,3.9,0.0, 
Jaylen Samuels,RB,PIT,0.0,0.0,0.0,8.7,0.1,0.5,3.6,0.0, 
DeAndre Washington,RB,OAK,0.0,0.0,0.0,9.9,0.1,0.6,4.5,0.0, 
Jordan Wilkins,RB,IND,0.0,0.0,0.0,9.0,0.1,0.3,2.3,0.0, 
Cameron Artis-Payne,RB,CAR,0.0,0.0,0.0,8.9,0.1,0.1,1.0,0.0, 
C.J. Ham,RB,MIN,0.0,0.0,0.0,0.6,0.0,0.6,5.0,0.0,Q
Keith Smith,RB,OAK,0.0,0.0,0.0,0.8,0.0,0.5,4.6,0.0, 
Anthony Sherman,RB,KC,0.0,0.0,0.0,0.0,0.0,0.5,4.7,0.0, 
Alex Armah,RB,CAR,0.0,0.0,0.0,3.6,0.1,0.0,0.0,0.0, 
Stevan Ridley,RB,PIT,0.0,0.0,0.0,2.6,0.0,0.2,1.2,0.0, 
Derrick Coleman,RB,ARI,0.0,0.0,0.0,0.8,0.0,0.2,2.1,0.0, 
Roosevelt Nix,RB,PIT,0.0,0.0,0.0,0.0,0.0,0.3,2.5,0.0, 
Elijhaa Penny,RB,NYG,0.0,0.0,0.0,0.0,0.0,0.3,2.4,0.0, 
Tre Madden,RB,SEA,0.0,0.0,0.0,0.5,0.0,0.2,1.7,0.0,Q
