Player,Team,GP,Rush Att,Rush Yds,Rush TD,40+ Rush TD,100-199 Rush Yds,Receptions,Rec Yds,Rec TD,Return Yds,Fum Lost,Fum,2PT,Tack,Ast,Fum Rec,POS
Ameer Abdullah,MIN,1.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Josh Adams,PHI,1.0,7.0,53.0,1.0,0.0,0.0,3.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Javorius Allen,BAL,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Cameron Artis-Payne,CAR,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Peyton Barber,TB,1.0,18.0,106.0,1.0,0.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Saquon Barkley,NYG,1.0,27.0,142.0,2.0,0.0,1.0,2.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Giovani Bernard,CIN,1.0,2.0,5.0,0.0,0.0,0.0,4.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Kapri Bibbs,GB,1.0,1.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
LeGarrette Blount,DET,1.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Alfred Blue,HOU,1.0,8.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Devontae Booker,DEN,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,38.0,0.0,0.0,0.0,0.0,1.0,0.0,RB
Malcolm Brown,LA,1.0,4.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,RB
Chris Carson,SEA,1.0,17.0,83.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,RB
Corey Clement,PHI,1.0,2.0,11.0,0.0,0.0,0.0,2.0,4.0,0.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Tarik Cohen,CHI,1.0,7.0,27.0,0.0,0.0,0.0,3.0,23.0,0.0,33.0,1.0,1.0,0.0,0.0,0.0,0.0,RB
Derrick Coleman,ARI,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,RB
Tevin Coleman,ATL,1.0,8.0,58.0,0.0,0.0,0.0,3.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Alex Collins,BAL,1.0,7.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
