Player,Team,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,Pass Yds,Pass TD,Pass Int,2PT
Aaron Jones,GB,69.89039055723578,0.5984554047476308,2.8060129728488308,21.572925040218376,0.17927881742570084,0.0,0.0,0.0,0.01
Adrian Peterson,WAS,66.1518983731361,0.5080821887473415,1.774916555507656,16.6,0.05715333383092065,0.0,0.0,0.0,0.0
Alex Armah,CAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex Collins,BAL,60.10306700441522,0.5377791282677551,1.493130278567019,14.228935936739083,0.06497864063426126,0.0,0.0,0.0,0.0
Alfred Blue,HOU,33.37251249810653,0.24628548701723954,0.8588649065239855,9.373600125145579,0.0,0.0,0.0,0.0,0.0
Alvin Kamara,NO,56.331476361300915,0.710711498242842,6.038882897217264,50.02667958983064,0.29,0.0,0.0,0.0,0.07
Andy Janovich,DEN,0.0,0.0,0.2657138429874528,1.2,0.0,0.0,0.0,0.0,0.01
Anthony Sherman,KC,0.0,0.0,0.5144727746410607,7.711749558314718,0.0,0.0,0.0,0.0,0.0
Austin Ekeler,LAC,25.4,0.2,2.03593754524761,19.899982579301902,0.12553618313129628,0.0,0.0,0.0,0.0
Benny Cunningham,CHI,0.1,0.0,0.20446753318783184,0.34291782262297676,0.0,0.0,0.0,0.0,0.0
Brandon Wilson,CIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brian Hill,ATL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buddy Howell,HOU,0.0,0.0,0.19342636201712993,0.0,0.0,0.0,0.0,0.0,0.0
C.J. Ham,MIN,0.0,0.0,0.4389010788809633,0.0,0.0,0.0,0.0,0.0,0.0
Cameron Artis-Payne,CAR,15.637754814184476,0.0,0.4406399826269036,1.0,0.0,0.0,0.0,0.0,0.0
Carlos Hyde,JAX,15.587257485761604,0.0,0.45748463410776674,0.0,0.0,0.0,0.0,0.0,0.0
Chase Edmonds,ARI,17.36074589544389,0.0,1.074090407642228,9.786040081177703,0.0,0.0,0.0,0.0,0.0
Chris Carson,SEA,60.32389149927697,0.4598725144898511,1.4941206028234821,13.942701617597606,0.1,0.0,0.0,0.0,0.01
Christian McCaffrey,CAR,62.40828688027436,0.5068269665532062,5.745734607400628,46.2077321124771,0.4,0.0,0.0,0.0,0.0
Corey Clement,PHI,22.925964809018666,0.3166793136645507,1.091979929468195,11.52743589262331,0.03592049492430066,0.0,0.0,0.0,0.03
Dalvin Cook,MIN,54.101998535276465,0.39815619757914855,3.372394958153003,27.642597090854892,0.1,0.0,0.0,0.0,0.01
Dalyn Dawkins,TEN,0.0,0.0,0.2843210091171726,0.0,0.0,0.0,0.0,0.0,0.0
Damien Williams,KC,0.5,0.0,0.21345013608734598,0.0,0.0,0.0,0.0,0.0,0.0
Dare Ogunbowale,TB,0.0,0.0,0.2769372721959307,0.0,0.0,0.0,0.0,0.0,0.0
David Johnson,ARI,69.99182035006328,0.7307574162885345,4.4577228040878065,40.949403756133066,0.3,0.0,0.0,0.0,0.0
DeAndre Washington,OAK,7.26238498921327,0.05,0.6589734390171447,2.673826689961981,0.0,0.0,0.0,0.0,0.0
Derek Watt,LAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Derrick Coleman,ARI,0.1,0.0,0.2513362449789909,0.0,0.0,0.0,0.0,0.0,0.0
Derrick Henry,TEN,39.34838155083444,0.388876223636081,0.9734970157653037,9.678939125151878,0.0,0.0,0.0,0.0,0.01
Devontae Booker,DEN,14.0651476697327,0.0,2.066425832123663,18.855217392453255,0.0,0.0,0.0,0.0,0.0
Dion Lewis,TEN,55.00158874019841,0.36009638616180073,3.571735373887849,27.25301421387322,0.17,0.0,0.0,0.0,0.0
Doug Martin,OAK,55.10540503518796,0.37650061311594757,1.444840029726855,13.382479643770818,0.05106102754093164,0.0,0.0,0.0,0.03
Dwayne Washington,NO,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Elijhaa Penny,NYG,0.0,0.0,0.37169029719369706,1.2,0.0,0.0,0.0,0.0,0.0
Ezekiel Elliott,DAL,85.9045734075734,0.6923377511498826,4.420608780077481,35.54027929887762,0.18087240134109422,0.0,0.0,0.0,0.0
Giovani Bernard,CIN,21.802929574998757,0.2,2.4965616975626275,21.187975533210622,0.1,0.0,0.0,0.0,0.0
Gus Edwards,BAL,0.0,0.0,0.2004003319048726,0.0,0.0,0.0,0.0,0.0,0.0
Ito Smith,ATL,34.34175476422529,0.3923092210561385,1.7427482005190358,15.065861186559534,0.1,0.0,0.0,0.0,0.0
Jacquizz Rodgers,TB,18.834088535089847,0.0,2.4778756014228893,22.249296549664244,0.1,0.0,0.0,0.0,0.0
Jalen Richard,OAK,20.5911948697177,0.0,4.68149915148959,37.88065613750882,0.2,0.0,0.0,0.0,0.0
Jamaal Williams,GB,25.984343501665094,0.2,1.0633759881550298,11.214621226085757,0.0,0.0,0.0,0.0,0.0
James Conner,PIT,76.19330343794775,0.7174992843685464,4.1932520495771,32.87785671786395,0.16486547469120025,0.0,0.0,0.0,0.01
Jamize Olawale,DAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Javorius Allen,BAL,20.463199580648553,0.2,2.130882440377098,16.274730473692593,0.1,0.0,0.0,0.0,0.0
Jaylen Samuels,PIT,15.2344458001456,0.0,0.6979864774094992,7.799453440345408,0.0,0.0,0.0,0.0,0.0
Joe Mixon,CIN,63.104595250061685,0.5052602352875168,3.036171406989049,24.83691050330309,0.11,0.0,0.0,0.0,0.01
Jordan Howard,CHI,51.58244061289361,0.4791980397476206,1.1831882413233514,11.31332673412963,0.0,0.0,0.0,0.0,0.0
Jordan Wilkins,IND,16.552260298275453,0.09,0.43696305620675546,1.0750574389450813,0.0,0.0,0.0,0.0,0.0
Josh Adams,PHI,42.23175228210052,0.3295764637016316,0.4169001574464877,0.0,0.0,0.0,0.0,0.0,0.0
Justin Davis,LAR,0.0,0.0,0.1975532444147272,0.0,0.0,0.0,0.0,0.0,0.0
Justin Jackson,LAC,0.0,0.0,0.19268785519162557,0.0,0.0,0.0,0.0,0.0,0.0
Kapri Bibbs,GB,18.5,0.2,2.677145061123092,23.470082120840537,0.09,0.0,0.0,0.0,0.0
Kareem Hunt,FA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Keith Smith,OAK,0.0,0.0,0.4085421594946079,0.0,0.0,0.0,0.0,0.0,0.0
Kerryon Johnson,DET,56.95164080945202,0.4278067397082389,3.34052364143949,27.114720512409583,0.16079714876951726,0.0,0.0,0.0,0.01
Lamar Miller,HOU,59.311815681126916,0.4,2.1864086506320506,19.18382165621621,0.1,0.0,0.0,0.0,0.0
Latavius Murray,MIN,27.367201245745022,0.2705199206520048,1.095911815123079,9.6,0.0,0.0,0.0,0.0,0.0
LeGarrette Blount,DET,23.50620547102193,0.2861972171586945,0.36682939895390576,0.0,0.0,0.0,0.0,0.0,0.0
