Player,Team,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,Pass Yds,Pass TD,Pass Int,2PT
Aaron Jones,GB,61.5,0.7522327899932861,2.5500564575195312,24.7,0.103321373462677,0.0,0.0,0.0,0.01
Adrian Peterson,WAS,53.1,0.6971839666366577,1.3635362386703491,12.15288257598877,0.03323480486869812,0.0,0.0,0.0,0.0
Alex Armah,CAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex Collins,BAL,57.4,0.6479563117027283,1.1227192878723145,9.0,0.08774551749229431,0.0,0.0,0.0,0.0
Alfred Blue,HOU,25.0,0.2500765919685364,0.8993555307388306,8.12234115600586,0.0,0.0,0.0,0.0,0.0
Alvin Kamara,NO,49.95451736450195,1.0,5.4,47.3,0.4901430606842041,0.0,0.0,0.0,0.07
Andy Janovich,DEN,0.0,0.0,0.38931435346603394,1.2000000476837158,0.0,0.0,0.0,0.0,0.01
Anthony Sherman,KC,0.0,0.0,0.38931435346603394,11.774845123291016,0.0,0.0,0.0,0.0,0.0
Austin Ekeler,LAC,15.622398376464844,0.2,1.7120895385742188,15.0,0.103321373462677,0.0,0.0,0.0,0.0
Benny Cunningham,CHI,0.10000000149011612,0.0,0.38931435346603394,0.3429178297519684,0.0,0.0,0.0,0.0,0.0
Brandon Wilson,CIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brian Hill,ATL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buddy Howell,HOU,0.0,0.0,0.38931435346603394,0.0,0.0,0.0,0.0,0.0,0.0
C.J. Ham,MIN,0.0,0.0,0.38931435346603394,0.0,0.0,0.0,0.0,0.0,0.0
Cameron Artis-Payne,CAR,12.764545440673828,0.0,0.38931435346603394,1.0,0.0,0.0,0.0,0.0,0.0
Carlos Hyde,JAX,17.52,0.0,0.38931435346603394,0.0,0.0,0.0,0.0,0.0,0.0
Chase Edmonds,ARI,12.764545440673828,0.0,0.8993555307388306,8.12234115600586,0.0,0.0,0.0,0.0,0.0
Chris Carson,SEA,56.86960983276367,0.5521936416625977,1.028416395187378,10.0,0.0785234272480011,0.0,0.0,0.0,0.01
Christian McCaffrey,CAR,56.86960983276367,0.567870020866394,4.95,43.19,0.14380678534507751,0.0,0.0,0.0,0.0
Corey Clement,PHI,15.622398376464844,0.1696348488330841,1.2188133001327515,13.052066802978516,0.032629698514938354,0.0,0.0,0.0,0.03
Dalvin Cook,MIN,52.5,0.2943333387374878,3.2081737518310547,19.6,0.1,0.0,0.0,0.0,0.01
Dalyn Dawkins,TEN,0.0,0.0,0.38931435346603394,0.0,0.0,0.0,0.0,0.0,0.0
Damien Williams,KC,0.5,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0
Dare Ogunbowale,TB,0.0,0.0,0.38931435346603394,0.0,0.0,0.0,0.0,0.0,0.0
David Johnson,ARI,65.0,0.998046875,4.396749496459961,35.2,0.3,0.0,0.0,0.0,0.0
DeAndre Washington,OAK,7.26238498921327,0.05,0.38931435346603394,2.6738266944885254,0.0,0.0,0.0,0.0,0.0
