Player,Team,GP,Pass Att,Pass Inc,Receptions,Rec Yds,Rec TD,40+ Rec TD,100-199 Rec Yds,Return Yds,Fum,2PT,Tack,Ast,Fum Rec,POS
Jordan Akins,HOU,1.0,0.0,0.0,2.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Mo Alie-Cox,IND,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Mark Andrews,BAL,1.0,0.0,0.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Dan Arnold,NO,1.0,0.0,0.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Blake Bell,JAX,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,TE
Nick Boyle,BAL,1.0,0.0,0.0,4.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Cameron Brate,TB,1.0,0.0,0.0,2.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Ben Braunecker,CHI,1.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Trey Burton,CHI,1.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Derek Carrier,OAK,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TE
Jared Cook,OAK,1.0,0.0,0.0,3.0,31.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Alan Cross,TB,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,TE
Vernon Davis,WAS,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Ed Dickson,SEA,1.0,0.0,0.0,1.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,TE
Jack Doyle,IND,1.0,0.0,0.0,4.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Eric Ebron,IND,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Rhett Ellison,NYG,1.0,0.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Evan Engram,NYG,1.0,0.0,0.0,2.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Zach Ertz,PHI,1.0,0.0,0.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Gerald Everett,LAR,1.0,0.0,0.0,3.0,49.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Anthony Firkser,TEN,1.0,0.0,0.0,3.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jordan Franks,CIN,1.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Antonio Gates,LAC,1.0,0.0,0.0,5.0,80.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Dallas Goedert,PHI,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jimmy Graham,GB,1.0,0.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Virgil Green,LAC,1.0,0.0,0.0,2.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jermaine Gresham,ARI,1.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Xavier Grimble,PIT,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Demetrius Harris,KC,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jeff Heuerman,DEN,1.0,0.0,0.0,4.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Tyler Higbee,LAR,1.0,0.0,0.0,6.0,63.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,TE
Josh Hill,NO,1.0,0.0,0.0,2.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Austin Hooper,ATL,1.0,0.0,0.0,4.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
O.J. Howard,TB,1.0,0.0,0.0,5.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,TE
Jesse James,PIT,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Travis Kelce,KC,1.0,0.0,0.0,10.0,127.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Lance Kendricks,GB,1.0,0.0,0.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Matt LaCosse,DEN,1.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,TE
Matt Lengel,CIN,1.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Vance McDonald,PIT,1.0,0.0,0.0,3.0,27.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
James O'Shaughnessy,JAX,1.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Greg Olsen,CAR,1.0,0.0,0.0,2.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Logan Paulsen,ATL,1.0,0.0,0.0,2.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
MyCole Pruitt,TEN,1.0,0.0,0.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jordan Reed,WAS,1.0,0.0,0.0,7.0,71.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Kyle Rudolph,MIN,1.0,0.0,0.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,TE
Ricky Seals-Jones,ARI,1.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jonnu Smith,TEN,1.0,0.0,0.0,6.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,TE
Lee Smith,OAK,1.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jeremy Sprinkle,WAS,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Luke Stocker,TEN,1.0,0.0,0.0,2.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Geoff Swaim,DAL,1.0,0.0,0.0,4.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jordan Thomas,HOU,1.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Levine Toilolo,DET,1.0,0.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
C.J. Uzomah,CIN,1.0,0.0,0.0,3.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Nick Vannett,SEA,1.0,0.0,0.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Luke Willson,DET,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,TE
