Player,Team,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,Pass Yds,Pass TD,Pass Int,2PT
Adam Humphries,TB,1.58,0.01,4.39,53.63,0.27,0.0,0.0,0.0,0.0
Adam Thielen,MIN,1.6,0.0,10.0,105.0,1.0,0.0,0.0,0.0,0.0
Aldrick Robinson,MIN,0.02,0.0,1.5,17.6,0.2,0.0,0.0,0.0,0.0
Alex Erickson,CIN,1.2,0.0,2.1,28.1,0.1,0.0,0.0,0.0,0.0
Allen Hurns,DAL,0.03,0.0,2.9,35.0,0.3,0.0,0.0,0.0,0.0
Allen Robinson,CHI,0.09,0.0,6.0,70.0,1.0,0.0,0.0,0.0,0.0
Alshon Jeffery,PHI,0.12,0.0,6.0,80.0,1.0,0.0,0.0,0.0,0.0
Amari Cooper,DAL,1.8,0.02,5.2,67.7,1.0,0.0,0.0,0.0,0.0
Andy Jones,DET,0.16,0.0,1.0,12.9,0.1,0.0,0.0,0.0,0.0
Anthony Miller,CHI,3.0,0.0,5.0,55.0,0.4,0.0,0.0,0.0,0.0
Antonio Brown,PIT,0.16,0.0,6.6,89.0,1.0,0.0,0.0,0.0,0.0
Auden Tate,CIN,0.7,0.0,1.1,13.9,0.1,0.0,0.0,0.0,0.0
Austin Carr,NO,0.3,0.0,1.0,14.0,0.1405054078127288,0.0,0.0,0.0,0.0
Bennie Fowler,NYG,0.02,0.0,2.14,24.66,0.19,0.0,0.0,0.0,0.0
Brandin Cooks,LAR,6.0,0.1,8.0,100.0,1.0,0.0,0.0,0.0,0.0
Brandon LaFell,OAK,0.15,0.0,4.5,53.3,0.3,0.0,0.0,0.0,0.0
Brandon Zylstra,MIN,0.06,0.0,0.2517187021698778,6.89994102391796,0.02,0.0,0.0,0.0,0.0
Bruce Ellington,DET,1.1,0.0,2.6,29.5,0.2573679055956777,0.0,0.0,0.0,0.0
Calvin Ridley,ATL,3.38,0.02,5.0,60.61,0.6,0.0,0.0,0.0,0.0
Cameron Batson,TEN,0.6,0.0,2.4,30.4,0.2,0.0,0.0,0.0,0.0
Chester Rogers,IND,1.03,0.0,4.0,45.0,0.2,0.0,0.0,0.0,0.0
Chris Conley,KC,0.06,0.0,3.0,40.0,0.3,0.0,0.0,0.0,0.0
Chris Godwin,TB,0.03,0.0,4.5,57.4,0.3,0.0,0.0,0.0,0.0
Chris Moore,BAL,2.5,0.0,0.9,11.66,0.1,0.0,0.0,0.0,0.0
Christian Kirk,ARI,4.7,0.0,4.4,67.0,0.4,0.0,0.0,0.0,0.0
Cody Core,CIN,1.3,0.0,2.7,33.8,0.2,0.0,0.0,0.0,0.0
Cole Beasley,DAL,0.18,0.0,4.7,51.7,0.3,0.0,0.0,0.0,0.0
Corey Coleman,NYG,0.24,0.0,1.1937694538267234,14.407656612808262,0.11082524916325606,0.0,0.0,0.0,0.0
Corey Davis,TEN,0.79,0.01,6.0,80.0,1.0,0.0,0.0,0.0,0.0
Courtland Sutton,DEN,0.43,0.0,4.0,72.0,0.4,0.0,0.0,0.0,0.0
Curtis Samuel,CAR,8.5,0.1,2.8,35.5,0.3,0.0,0.0,0.0,0.0
D.J. Chark,JAX,0.8,0.0,2.6,39.4,0.2,0.0,0.0,0.0,0.0
D.J. Moore,CAR,14.3,0.0,3.63,53.0,0.3,0.0,0.0,0.0,0.0
DaeSean Hamilton,DEN,0.9,0.0,2.4,31.7,0.1,0.0,0.0,0.0,0.0
Damiere Byrd,CAR,0.2,0.0,0.36,4.44,0.03,0.0,0.0,0.0,0.0
Darius Jennings,TEN,0.4,0.0,1.4,19.5,0.14444589281769196,0.0,0.0,0.0,0.0
Darrius Heyward-Bey,PIT,1.2,0.0,0.3289099070937024,5.4442110732411475,0.02,0.0,0.0,0.0,0.0
Davante Adams,GB,0.05,0.0,7.0,90.0,1.0,0.0,0.0,0.0,0.0
David Moore,SEA,1.56,0.01,3.6,43.7,0.5,0.0,0.0,0.0,0.0
DeAndre Carter,HOU,0.13,0.0,0.6,4.6,0.0,0.0,0.0,0.0,0.0
DeAndre Hopkins,HOU,1.7,0.0,8.0,105.0,1.0,0.0,0.0,0.0,0.0
DeSean Jackson,TB,4.31,0.01,4.0,70.0,1.0,0.0,0.0,0.0,0.0
Dede Westbrook,JAX,3.0,0.01,4.2,56.8,1.0,0.0,0.0,0.0,0.0
Demarcus Robinson,KC,0.03,0.0,2.2,26.9,0.3,0.0,0.0,0.0,0.0
Demaryius Thomas,HOU,0.15,0.0,4.7,54.92,0.4,0.0,0.0,0.0,0.0
Devin Funchess,CAR,0.05,0.0,4.21,61.0,1.0,0.0,0.0,0.0,0.0
Donte Moncrief,JAX,0.39,0.0,6.0,65.0,1.0,0.0,0.0,0.0,0.0
Dontrelle Inman,IND,0.08,0.0,3.0,35.0,0.2,0.0,0.0,0.0,0.0
Doug Baldwin,SEA,0.5,0.0,5.0,59.23,0.5,0.0,0.0,0.0,0.0
Dwayne Harris,OAK,2.9,0.0,2.2,30.0,0.1,0.0,0.0,0.0,0.0
Emmanuel Sanders,DEN,4.1,0.02,7.4,93.3,1.0,0.0,0.0,0.0,0.0
Equanimeous St. Brown,GB,0.4,0.0,2.9,39.2,0.3,0.0,0.0,0.0,0.0
George Odum,IND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Golden Tate,PHI,4.3,0.0,4.99,60.4,0.3,0.0,0.0,0.0,0.0
J'Mon Moore,GB,0.1,0.0,1.1,14.7,0.1,0.0,0.0,0.0,0.0
J.J. Nelson,ARI,3.0,0.01,2.0,25.3,0.2,0.0,0.0,0.0,0.14
James Washington,PIT,0.2,0.0,1.67,20.7,0.1,0.0,0.0,0.0,0.0
Jarius Wright,CAR,3.1,0.0,2.13,23.74,0.16,0.0,0.0,0.0,0.0
Jaron Brown,SEA,0.03,0.0,0.7341069733948574,13.00136869446175,0.1,0.0,0.0,0.0,0.0
Jehu Chesson,WAS,0.06,0.0,0.2372123954390962,3.89,0.02,0.0,0.0,0.0,0.0
JoJo Natson,LAR,0.8,0.0,0.3,4.223317008060691,0.02,0.0,0.0,0.0,0.0
John Brown,BAL,1.6,0.0,4.0,65.0,1.0,0.0,0.0,0.0,0.0
John Ross,CIN,2.1,0.0,3.0,40.2,0.4,0.0,0.0,0.0,0.0
Jordan Matthews,PHI,0.02,0.0,1.5,22.9,0.1,0.0,0.0,0.0,0.0
Josh Bellamy,CHI,0.8,0.0,0.7,10.3,0.1,0.0,0.0,0.0,0.0
Josh Doctson,WAS,0.5,0.0,4.0,55.0,1.0,0.0,0.0,0.0,0.0
Josh Reynolds,LAR,1.7,0.0,3.8,47.4,0.4,0.0,0.0,0.0,0.0
JuJu Smith-Schuster,PIT,1.74,0.01,5.7,76.5,0.5,0.0,0.0,0.0,0.0
Julio Jones,ATL,1.4,0.0,7.5,112.0,1.0,0.0,0.0,0.0,0.0
Justin Hardy,ATL,0.09,0.0,1.1,14.5,0.23608901046073527,0.0,0.0,0.0,0.0
Justin Watson,TB,0.13,0.0,0.3235544033817591,3.81,0.01,0.0,0.0,0.0,0.0
Keelan Cole,JAX,0.03,0.0,4.2,55.4,0.2,0.0,0.0,0.0,0.0
Keenan Allen,LAC,5.4,0.0,7.0,82.0,1.0,0.0,0.0,0.0,0.0
Keith Kirkwood,NO,0.16,0.0,1.24,15.06,0.24402480063515203,0.0,0.0,0.0,0.0
Keke Coutee,HOU,3.3,0.02,3.5,45.0,0.3,0.0,0.0,0.0,0.0
Kenny Golladay,DET,1.4,0.0,5.6,87.2,1.0,0.0,0.0,0.0,0.0
KhaDarel Hodge,LAR,0.08,0.0,0.11895403245702882,5.012335822205398,0.01,0.0,0.0,0.0,0.0
Lance Lenoir,DAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Laquon Treadwell,MIN,0.04,0.0,3.0,30.0,0.2,0.0,0.0,0.0,0.0
Larry Fitzgerald,ARI,0.11,0.0,6.0,70.5,1.0,0.0,0.0,0.0,0.0
Marcell Ateman,OAK,0.7,0.0,1.9,23.8,0.1,0.0,0.0,0.0,0.0
