Player,POS,Team,Pass Yds,Pass TD,Pass Int,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD
Michael Thomas,WR,NO,0.0,0.0,0.0,0.0,0.0,9.2,112.0,0.8
Odell Beckham,WR,NYG,0.0,0.0,0.0,3.4,0.0,7.7,102.0,0.6
Julio Jones,WR,ATL,0.0,0.0,0.0,1.4,0.0,7.3,112.0,0.5
Adam Thielen,WR,MIN,0.0,0.0,0.0,1.1,0.0,7.6,104.0,0.5
DeAndre Hopkins,WR,HOU,0.0,0.0,0.0,0.0,0.0,6.1,89.2,0.7
Tyreek Hill,WR,KC,0.0,0.0,0.0,8.4,0.0,5.8,89.7,0.5
Davante Adams,WR,GB,0.0,0.0,0.0,0.0,0.0,6.4,82.1,0.7
Antonio Brown,WR,PIT,0.0,0.0,0.0,0.0,0.0,6.1,89.0,0.6
Mike Evans,WR,TB,0.0,0.0,0.0,0.0,0.0,6.1,83.5,0.6
Robert Woods,WR,LAR,0.0,0.0,0.0,7.5,0.0,6.2,81.8,0.5
Brandin Cooks,WR,LAR,0.0,0.0,0.0,6.0,0.0,5.4,83.7,0.5
T.Y. Hilton,WR,IND,0.0,0.0,0.0,0.0,0.0,5.8,85.8,0.4
Keenan Allen,WR,LAC,0.0,0.0,0.0,4.9,0.0,5.9,76.2,0.4
Stefon Diggs,WR,MIN,0.0,0.0,0.0,1.1,0.0,5.7,74.6,0.5
Emmanuel Sanders,WR,DEN,0.0,0.0,0.0,0.0,0.0,6.6,72.3,0.4
JuJu Smith-Schuster,WR,PIT,0.0,0.0,0.0,0.0,0.0,4.9,68.8,0.5
Kenny Golladay,WR,DET,0.0,0.0,0.0,1.1,0.0,4.7,70.5,0.5
Tyler Boyd,WR,CIN,0.0,0.0,0.0,0.0,0.0,6.2,70.5,0.3
Corey Davis,WR,TEN,0.0,0.0,0.0,0.0,0.0,5.2,66.6,0.4
Amari Cooper,WR,DAL,0.0,0.0,0.0,1.8,0.0,4.7,64.9,0.4
Sterling Shepard,WR,NYG,0.0,0.0,0.0,1.0,0.0,5.0,63.8,0.4
Larry Fitzgerald,WR,ARI,0.0,0.0,0.0,0.0,0.0,5.6,58.2,0.3
Alshon Jeffery,WR,PHI,0.0,0.0,0.0,0.0,0.0,4.1,54.3,0.4
Allen Robinson,WR,CHI,0.0,0.0,0.0,0.0,0.0,4.2,55.7,0.4
Tyler Lockett,WR,SEA,0.0,0.0,0.0,3.1,0.0,3.4,48.4,0.3
Doug Baldwin,WR,SEA,0.0,0.0,0.0,0.5,0.0,4.0,50.5,0.4
Demaryius Thomas,WR,HOU,0.0,0.0,0.0,0.0,0.0,4.7,51.9,0.4
Devin Funchess,WR,CAR,0.0,0.0,0.0,0.0,0.0,3.8,53.7,0.4
Calvin Ridley,WR,ATL,0.0,0.0,0.0,0.3,0.0,4.5,54.6,0.3
Sammy Watkins,WR,KC,0.0,0.0,0.0,1.5,0.0,3.6,51.9,0.4
Marquez Valdes-Scantling,WR,GB,0.0,0.0,0.0,0.0,0.0,4.1,53.2,0.3
John Brown,WR,BAL,0.0,0.0,0.0,0.0,0.0,3.4,54.1,0.3
DeSean Jackson,WR,TB,0.0,0.0,0.0,2.3,0.0,3.4,55.5,0.3
D.J. Moore,WR,CAR,0.0,0.0,0.0,11.9,0.0,3.3,41.9,0.3
Dede Westbrook,WR,JAX,0.0,0.0,0.0,0.0,0.0,3.4,56.8,0.3
Christian Kirk,WR,ARI,0.0,0.0,0.0,4.7,0.0,3.7,48.0,0.3
Golden Tate,WR,PHI,0.0,0.0,0.0,1.4,0.0,4.5,49.8,0.3
Courtland Sutton,WR,DEN,0.0,0.0,0.0,0.0,0.0,3.2,51.2,0.4
Cole Beasley,WR,DAL,0.0,0.0,0.0,0.0,0.0,4.5,51.7,0.2
Josh Reynolds,WR,LAR,0.0,0.0,0.0,0.0,0.0,3.8,47.4,0.3
Michael Crabtree,WR,BAL,0.0,0.0,0.0,0.0,0.0,4.1,44.7,0.3
Donte Moncrief,WR,JAX,0.0,0.0,0.0,0.0,0.0,3.5,47.6,0.3
Mohamed Sanu,WR,ATL,0.0,0.0,0.0,0.8,0.0,3.7,47.6,0.3
Willie Snead,WR,BAL,0.0,0.0,0.0,0.0,0.0,4.7,49.7,0.2
Maurice Harris,WR,WAS,0.0,0.0,0.0,0.0,0.0,4.0,44.8,0.3
Anthony Miller,WR,CHI,0.0,0.0,0.0,0.0,0.0,3.4,47.4,0.3
Brandon LaFell,WR,OAK,0.0,0.0,0.0,0.0,0.0,4.0,48.3,0.2
Tre'Quan Smith,WR,NO,0.0,0.0,0.0,0.0,0.0,3.3,45.1,0.3
T.J. Jones,WR,DET,0.0,0.0,0.0,0.0,0.0,3.8,41.8,0.3
Adam Humphries,WR,TB,0.0,0.0,0.0,0.0,0.0,3.9,45.6,0.2
Taylor Gabriel,WR,CHI,0.0,0.0,0.0,7.0,0.0,2.8,42.9,0.2
Tyrell Williams,WR,LAC,0.0,0.0,0.0,0.0,0.0,2.9,43.8,0.3
David Moore,WR,SEA,0.0,0.0,0.0,0.0,0.0,3.6,39.0,0.3
Josh Doctson,WR,WAS,0.0,0.0,0.0,0.5,0.0,2.7,38.4,0.3
Chris Godwin,WR,TB,0.0,0.0,0.0,0.0,0.0,2.7,40.6,0.3
Michael Gallup,WR,DAL,0.0,0.0,0.0,0.0,0.0,3.2,41.2,0.2
Keke Coutee,WR,HOU,0.0,0.0,0.0,0.2,0.0,3.5,32.4,0.3
Equanimeous St. Brown,WR,GB,0.0,0.0,0.0,0.0,0.0,2.7,33.4,0.3
Nelson Agholor,WR,PHI,0.0,0.0,0.0,1.2,0.0,3.8,37.7,0.1
Ryan Grant,WR,IND,0.0,0.0,0.0,0.0,0.0,3.0,37.7,0.2
Seth Roberts,WR,OAK,0.0,0.0,0.0,0.0,0.0,3.3,36.0,0.2
Allen Hurns,WR,DAL,0.0,0.0,0.0,0.0,0.0,2.9,35.0,0.2
D.J. Chark,WR,JAX,0.0,0.0,0.0,0.8,0.0,2.6,39.4,0.2
Chester Rogers,WR,IND,0.0,0.0,0.0,0.8,0.0,2.9,35.5,0.2
