Player,Team,Rush Yds,Receptions,Rec Yds,Rec TD,Pass Yds,Pass TD,Pass Int,Rush TD,2PT
Adam Humphries,TB,0.0,3.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0
Adam Thielen,MIN,0.12,6.75,85.84,0.4,0.0,0.0,0.0,0.0,0.0
Aldrick Robinson,MIN,0.0,0.5,5.8,0.06,0.0,0.0,0.0,0.0,0.0
Alex Erickson,CIN,0.0,0.76,9.12,0.0,0.0,0.0,0.0,0.0,0.0
Allen Hurns,DAL,0.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
Allen Robinson,CHI,0.0,3.5,49.9,0.3,0.0,0.0,0.0,0.0,0.0
Alshon Jeffery,PHI,0.0,4.1,54.3,0.4,0.0,0.0,0.0,0.0,0.0
Amari Cooper,DAL,0.6,4.68,58.5,0.39,0.0,0.0,0.0,0.0,0.0
Andy Jones,DET,0.0,0.5,7.1,0.0,0.0,0.0,0.0,0.0,0.0
Anthony Miller,CHI,0.0,2.6,39.2,0.0,0.0,0.0,0.0,0.0,0.0
Antonio Brown,PIT,0.0,6.0,82.0,0.6,0.0,0.0,0.0,0.0,0.0
Auden Tate,CIN,0.0,0.5,5.4,0.0,0.0,0.0,0.0,0.0,0.0
Austin Carr,NO,0.0,0.47,6.23,0.0,0.0,0.0,0.0,0.0,0.0
Bennie Fowler,NYG,0.0,0.5,4.154056929524394,0.0,0.0,0.0,0.0,0.0,0.0
Brandin Cooks,LAR,2.45,4.94,76.9,0.49,0.0,0.0,0.0,0.0,0.0
Brandon LaFell,OAK,0.0,2.99,35.65,0.0,0.0,0.0,0.0,0.0,0.0
Brandon Zylstra,MIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bruce Ellington,DET,0.0,1.66,21.5,0.1,0.0,0.0,0.0,0.0,0.0
Calvin Ridley,ATL,0.3,3.6,46.7,0.0,0.0,0.0,0.0,0.0,0.0
Cameron Batson,TEN,0.0,2.18,25.1,0.13,0.0,0.0,0.0,0.0,0.0
Chester Rogers,IND,0.0,1.5,15.5,0.0,0.0,0.0,0.0,0.0,0.0
Chris Conley,KC,0.0,1.5,18.1,0.0,0.0,0.0,0.0,0.0,0.0
Chris Godwin,TB,0.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0
Chris Moore,BAL,0.3,0.5699013186947672,6.353891157666855,0.0,0.0,0.0,0.0,0.0,0.0
Christian Kirk,ARI,1.4,3.6,45.0,0.0,0.0,0.0,0.0,0.0,0.0
Cody Core,CIN,0.0,1.1958039622017358,15.34,0.04736111332561896,0.0,0.0,0.0,0.0,0.0
Cole Beasley,DAL,0.0,3.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0
Corey Coleman,NYG,0.0,0.3,4.7,0.0,0.0,0.0,0.0,0.0,0.0
Corey Davis,TEN,0.0,4.6,58.4,0.3,0.0,0.0,0.0,0.0,0.0
Courtland Sutton,DEN,0.0,3.13,50.0,0.0,0.0,0.0,0.0,0.0,0.0
Curtis Samuel,CAR,4.39,1.9,25.2,0.0,0.0,0.0,0.0,0.0,0.0
D.J. Chark,JAX,0.0,1.0,12.3,0.0,0.0,0.0,0.0,0.0,0.0
D.J. Moore,CAR,4.08,3.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0
DaeSean Hamilton,DEN,0.0,0.4,4.82,0.0,0.0,0.0,0.0,0.0,0.0
Damiere Byrd,CAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Darius Jennings,TEN,0.0,0.56,7.26,0.0,0.0,0.0,0.0,0.0,0.0
Darrius Heyward-Bey,PIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davante Adams,GB,0.0,6.4,82.1,0.6,0.0,0.0,0.0,0.0,0.0
David Moore,SEA,0.0,1.7226198416692697,27.280974340205447,0.01983136873962199,0.0,0.0,0.0,0.0,0.0
DeAndre Carter,HOU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DeAndre Hopkins,HOU,0.0,6.1,87.5,0.5,0.0,0.0,0.0,0.0,0.0
DeSean Jackson,TB,1.9,2.9,51.1,0.3,0.0,0.0,0.0,0.0,0.0
Dede Westbrook,JAX,0.0,3.0,46.9,0.2,0.0,0.0,0.0,0.0,0.0
Demarcus Robinson,KC,0.0,0.4,5.3,0.09,0.0,0.0,0.0,0.0,0.0
Demaryius Thomas,HOU,0.0,3.9,50.0,0.0,0.0,0.0,0.0,0.0,0.0
Devin Funchess,CAR,0.0,3.0,50.0,0.34,0.0,0.0,0.0,0.0,0.0
Donte Moncrief,JAX,0.0,3.39,46.37,0.3,0.0,0.0,0.0,0.0,0.0
Dontrelle Inman,IND,0.0,1.2,17.19,0.0,0.0,0.0,0.0,0.0,0.0
Doug Baldwin,SEA,0.0,3.5,47.8,0.0,0.0,0.0,0.0,0.0,0.0
Dwayne Harris,OAK,0.0,0.27,4.48,0.0,0.0,0.0,0.0,0.0,0.0
Emmanuel Sanders,DEN,0.0,5.12,71.34,0.3,0.0,0.0,0.0,0.0,0.0
Equanimeous St. Brown,GB,0.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
George Odum,IND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Golden Tate,PHI,1.2,4.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0
J'Mon Moore,GB,0.0,0.29913724545301834,3.6,0.0,0.0,0.0,0.0,0.0,0.0
J.J. Nelson,ARI,0.3,0.3,6.0,0.0,0.0,0.0,0.0,0.0,0.14
James Washington,PIT,0.0,0.8,10.8,0.1,0.0,0.0,0.0,0.0,0.0
Jarius Wright,CAR,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
Jaron Brown,SEA,0.0,0.4,5.3,0.04,0.0,0.0,0.0,0.0,0.0
Jehu Chesson,WAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JoJo Natson,LAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
John Brown,BAL,0.0,2.8,44.0,0.3,0.0,0.0,0.0,0.0,0.0
John Ross,CIN,0.0,1.8,27.0,0.0,0.0,0.0,0.0,0.0,0.0
Jordan Matthews,PHI,0.0,0.2,3.5,0.0,0.0,0.0,0.0,0.0,0.0
Josh Bellamy,CHI,0.0,0.35699268649379007,2.0879351496406917,0.0,0.0,0.0,0.0,0.0,0.0
Josh Doctson,WAS,0.0,2.6,32.4,0.2,0.0,0.0,0.0,0.0,0.0
Josh Reynolds,LAR,0.0,1.9,27.37,0.0,0.0,0.0,0.0,0.0,0.0
JuJu Smith-Schuster,PIT,0.0,4.9,68.8,0.0,0.0,0.0,0.0,0.0,0.0
Julio Jones,ATL,0.51,6.0,90.0,0.4,0.0,0.0,0.0,0.0,0.0
Justin Hardy,ATL,0.0,0.1,0.8,0.0,0.0,0.0,0.0,0.0,0.0
Justin Watson,TB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Keelan Cole,JAX,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
Keenan Allen,LAC,2.55,5.5,76.0,0.4,0.0,0.0,0.0,0.0,0.0
Keith Kirkwood,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Keke Coutee,HOU,0.2,3.0,32.4,0.0,0.0,0.0,0.0,0.0,0.0
Kenny Golladay,DET,0.59,4.7,70.0,0.41,0.0,0.0,0.0,0.0,0.0
KhaDarel Hodge,LAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lance Lenoir,DAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Laquon Treadwell,MIN,0.0,1.2,15.4,0.0,0.0,0.0,0.0,0.0,0.0
Larry Fitzgerald,ARI,0.0,4.7,55.3,0.3,0.0,0.0,0.0,0.0,0.0
Marcell Ateman,OAK,0.0,0.8,10.4,0.0,0.0,0.0,0.0,0.0,0.0
Marcus Kemp,KC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marquez Valdes-Scantling,GB,0.0,3.49,50.04,0.3,0.0,0.0,0.0,0.0,0.0
Marvin Hall,ATL,0.0,0.5293289961874845,7.518653390677115,0.0,0.0,0.0,0.0,0.0,0.0
Maurice Harris,WAS,0.0,3.22,39.3,0.0,0.0,0.0,0.0,0.0,0.0
Michael Crabtree,BAL,0.0,3.5,42.9,0.0,0.0,0.0,0.0,0.0,0.0
Michael Floyd,WAS,0.0,0.3,4.1,0.0,0.0,0.0,0.0,0.0,0.0
Michael Gallup,DAL,0.0,2.5,35.8,0.0,0.0,0.0,0.0,0.0,0.0
Michael Thomas,NO,0.0,7.0,85.0,0.7,0.0,0.0,0.0,0.0,0.0
Mike Evans,TB,0.0,4.86,74.17,0.4,0.0,0.0,0.0,0.0,0.0
Mike Williams,LAC,0.0,1.97,26.1,0.0,0.0,0.0,0.0,0.0,0.0
Mohamed Sanu,ATL,0.0,3.7,45.0,0.27,0.0,0.0,0.0,0.0,0.0
Nelson Agholor,PHI,1.2,3.2,37.7,0.0,0.0,0.0,0.0,0.0,0.0
Noah Brown,DAL,0.0,0.1,0.9,0.0,0.0,0.0,0.0,0.0,0.0
Odell Beckham,NYG,1.0,6.88,85.98,0.55,0.0,0.0,0.0,0.0,0.0
Pharoh Cooper,ARI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Quadree Henderson,NYG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
River Cracraft,DEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robert Tonyan,GB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robert Woods,LAR,3.02,5.25,77.7,0.47,0.0,0.0,0.0,0.0,0.0
Russell Gage,ATL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Russell Shepard,NYG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ryan Grant,IND,0.0,2.3,26.0,0.1,0.0,0.0,0.0,0.0,0.0
Ryan Switzer,PIT,1.5,1.0,11.1,0.0,0.0,0.0,0.0,0.0,0.0
Saeed Blacknall,OAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sammie Coates,FA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sammy Watkins,KC,0.0,1.8,23.9,0.0,0.0,0.0,0.0,0.0,0.0
Seth Roberts,OAK,0.0,3.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0
Shelton Gibson,PHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stefon Diggs,MIN,0.42,5.0,68.0,0.3,0.0,0.0,0.0,0.0,0.0
Sterling Shepard,NYG,0.53,4.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0
T.J. Jones,DET,0.0,2.2,26.47,0.0,0.0,0.0,0.0,0.0,0.0
T.Y. Hilton,IND,0.0,4.11,57.56,0.38,0.0,0.0,0.0,0.0,0.0
Tajae Sharpe,TEN,0.0,2.4,31.7,0.0,0.0,0.0,0.0,0.0,0.0
Taylor Gabriel,CHI,2.6,2.8,36.3,0.0,0.0,0.0,0.0,0.0,0.0
Tim Patrick,DEN,0.0,0.8,11.4,0.09,0.0,0.0,0.0,0.0,0.0
Travis Benjamin,LAC,2.9,0.5,7.4,0.0,0.0,0.0,0.0,0.0,0.0
Tre'Quan Smith,NO,0.0,2.49,35.0,0.0,0.0,0.0,0.0,0.0,0.0
Trent Sherfield,ARI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
