Player,Team,GP,Sack,Int,Fum Rec,Fum Forc,TD,Block,Return Yds,Return TD,Pts Allow,Pts Allow 7-13,Pts Allow 14-20,Pts Allow 21-27,Pts Allow 28-34,Pts Allowed 35+,Yds Allow,100-199 Yds Allow,200-299 Yds Allow,300-399 Yds Allow,400-449 Yds Allow,450-499 Yds Allow,500+ Yds Allow,POS
San Francisco 49ers,SF,1.0,1.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,27.0,0.0,0.0,1.0,0.0,0.0,412.0,0.0,0.0,0.0,1.0,0.0,0.0,DST
Chicago Bears,CHI,1.0,2.0,2.0,0.0,0.0,1.0,0.0,63.0,0.0,16.0,0.0,1.0,0.0,0.0,0.0,333.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Cincinnati Bengals,CIN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,0.0,35.0,0.0,0.0,0.0,0.0,1.0,342.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Buffalo Bills,BUF,1.0,3.0,2.0,0.0,0.0,0.0,0.0,79.0,0.0,21.0,0.0,0.0,1.0,0.0,0.0,333.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Denver Broncos,DEN,1.0,2.0,2.0,2.0,2.0,0.0,1.0,6.0,0.0,17.0,0.0,1.0,0.0,0.0,0.0,527.0,0.0,0.0,0.0,0.0,0.0,1.0,DST
Cleveland Browns,CLE,1.0,1.0,1.0,1.0,0.0,0.0,1.0,39.0,0.0,20.0,0.0,1.0,0.0,0.0,0.0,372.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Tampa Bay Buccaneers,TB,1.0,4.0,2.0,0.0,1.0,0.0,0.0,6.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,342.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Arizona Cardinals,ARI,1.0,4.0,0.0,1.0,1.0,0.0,0.0,165.0,0.0,45.0,0.0,0.0,0.0,0.0,1.0,414.0,0.0,0.0,0.0,1.0,0.0,0.0,DST
Los Angeles Chargers,LAC,1.0,2.0,1.0,0.0,0.0,0.0,0.0,115.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,149.0,1.0,0.0,0.0,0.0,0.0,0.0,DST
Indianapolis Colts,IND,1.0,1.0,0.0,1.0,1.0,0.0,0.0,14.0,0.0,24.0,0.0,0.0,1.0,0.0,0.0,314.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Dallas Cowboys,DAL,1.0,3.0,3.0,0.0,2.0,0.0,0.0,19.0,0.0,23.0,0.0,0.0,1.0,0.0,0.0,331.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Miami Dolphins,MIA,1.0,1.0,2.0,1.0,2.0,0.0,0.0,12.0,0.0,27.0,0.0,0.0,1.0,0.0,0.0,455.0,0.0,0.0,0.0,0.0,1.0,0.0,DST
Philadelphia Eagles,PHI,1.0,2.0,1.0,0.0,1.0,0.0,0.0,55.0,0.0,22.0,0.0,0.0,1.0,0.0,0.0,402.0,0.0,0.0,0.0,1.0,0.0,0.0,DST
Atlanta Falcons,ATL,1.0,2.0,1.0,0.0,0.0,0.0,0.0,105.0,0.0,31.0,0.0,0.0,0.0,1.0,0.0,312.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
New York Giants,NYG,1.0,3.0,0.0,0.0,0.0,0.0,0.0,126.0,0.0,25.0,0.0,0.0,1.0,0.0,0.0,341.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Jacksonville Jaguars,JAX,1.0,0.0,0.0,0.0,2.0,0.0,0.0,95.0,0.0,24.0,0.0,0.0,1.0,0.0,0.0,327.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
New York Jets,NYJ,1.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,27.0,0.0,0.0,1.0,0.0,0.0,498.0,0.0,0.0,0.0,0.0,1.0,0.0,DST
Detroit Lions,DET,1.0,4.0,0.0,1.0,1.0,0.0,0.0,25.0,0.0,17.0,0.0,1.0,0.0,0.0,0.0,264.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Green Bay Packers,GB,1.0,2.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,24.0,0.0,0.0,1.0,0.0,0.0,416.0,0.0,0.0,0.0,1.0,0.0,0.0,DST
Carolina Panthers,CAR,1.0,2.0,0.0,0.0,1.0,0.0,0.0,94.0,0.0,30.0,0.0,0.0,0.0,1.0,0.0,397.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
New England Patriots,NE,1.0,2.0,1.0,0.0,0.0,0.0,0.0,15.0,0.0,13.0,1.0,0.0,0.0,0.0,0.0,338.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Oakland Raiders,OAK,1.0,1.0,2.0,0.0,0.0,0.0,0.0,41.0,0.0,28.0,0.0,0.0,0.0,1.0,0.0,416.0,0.0,0.0,0.0,1.0,0.0,0.0,DST
Baltimore Ravens,BAL,1.0,3.0,0.0,1.0,1.0,1.0,0.0,138.0,1.0,17.0,0.0,1.0,0.0,0.0,0.0,249.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Washington Redskins,WAS,1.0,4.0,0.0,0.0,1.0,0.0,0.0,84.0,0.0,31.0,0.0,0.0,0.0,1.0,0.0,404.0,0.0,0.0,0.0,1.0,0.0,0.0,DST
New Orleans Saints,NO,1.0,6.0,1.0,3.0,5.0,0.0,0.0,39.0,0.0,17.0,0.0,1.0,0.0,0.0,0.0,366.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Seattle Seahawks,SEA,1.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,1.0,0.0,0.0,476.0,0.0,0.0,0.0,0.0,1.0,0.0,DST
Pittsburgh Steelers,PIT,1.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,24.0,0.0,0.0,1.0,0.0,0.0,308.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Houston Texans,HOU,1.0,6.0,0.0,1.0,2.0,0.0,0.0,67.0,0.0,17.0,0.0,1.0,0.0,0.0,0.0,365.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Tennessee Titans,TEN,1.0,4.0,0.0,0.0,1.0,0.0,0.0,75.0,0.0,34.0,0.0,0.0,0.0,1.0,0.0,462.0,0.0,0.0,0.0,0.0,1.0,0.0,DST
Minnesota Vikings,MIN,1.0,4.0,0.0,1.0,0.0,0.0,0.0,20.0,0.0,17.0,0.0,1.0,0.0,0.0,0.0,254.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
