Player,Team,PA,YdA,TD,Sack,Int,Fum Rec,Saf,Blk
Arizona Cardinals,ARI,25.57,391.2,0.1,1.9,0.5,0.4,0.0,0.0
Atlanta Falcons,ATL,27.7,447.2,0.1,1.3,0.4,0.4,0.0,0.0
Baltimore Ravens,BAL,14.5,298.0,0.13,2.28,0.7,0.4,0.0,0.0
Buffalo Bills,BUF,19.7,322.1,0.1,1.9,0.75,0.6,0.0,0.0
Carolina Panthers,CAR,21.8,353.0,0.1,2.6,0.7,0.5,0.0,0.08
Chicago Bears,CHI,19.89,297.0,0.15000000000000002,2.74,0.8,0.58,0.0,0.07
Cincinnati Bengals,CIN,21.48,369.4,0.1,2.45,0.86,0.4,0.0,0.08
Cleveland Browns,CLE,22.8,325.0,0.11,2.1,0.8,0.6,0.0,0.0
Dallas Cowboys,DAL,16.2,299.0,0.1,2.2,0.7,0.5,0.0,0.0
Denver Broncos,DEN,22.53,386.0,0.11,1.8,0.68,0.5,0.0,0.1
Detroit Lions,DET,20.5,301.0,0.1,2.0,0.69,0.4,0.0,0.09
Green Bay Packers,GB,23.8,346.0,0.09,2.11,0.6,0.4,0.0,0.0
Houston Texans,HOU,18.7,287.0,0.15000000000000002,2.6,0.8,0.6,0.0,0.0
Indianapolis Colts,IND,19.82,347.6,0.1,2.2,0.87,0.5,0.0,0.0
Jacksonville Jaguars,JAX,16.7,260.0,0.13,2.5,0.9,0.4,0.0,0.0
Kansas City Chiefs,KC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Los Angeles Chargers,LAC,14.5,293.0,0.13,2.5,1.0,0.4,0.0,0.0
Los Angeles Rams,LAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Miami Dolphins,MIA,26.38,410.0,0.1,1.2,0.7,0.4,0.0,0.0
Minnesota Vikings,MIN,19.08,356.0,0.11,2.3,0.5,0.4,0.0,0.0
New England Patriots,NE,17.0,307.0,0.13,1.9,0.9,0.4,0.0,0.1
New Orleans Saints,NO,19.74,415.4,0.12,2.0,0.5,0.5,0.0,0.0
New York Giants,NYG,24.49,360.0,0.11,1.5,0.8,0.4,0.0,0.08
New York Jets,NYJ,24.09,385.0,0.1,1.5,0.6,0.4,0.0,0.0
Oakland Raiders,OAK,27.5,344.0,0.09,0.8,0.6,0.4,0.0,0.0
Philadelphia Eagles,PHI,18.87,360.0,0.12,2.37,0.6,0.5,0.0,0.1
Pittsburgh Steelers,PIT,20.38,346.0,0.12,2.55,0.7,0.5,0.0,0.1
San Francisco 49ers,SF,24.92,382.0,0.1,2.16,0.9,0.4,0.0,0.0
Seattle Seahawks,SEA,22.51,338.0,0.1,2.1,0.7,0.5,0.0,0.09
Tampa Bay Buccaneers,TB,23.24,344.0,0.13,2.14,0.7,0.5,0.0,0.1
Tennessee Titans,TEN,22.94,341.0,0.12,2.4,0.7,0.5,0.0,0.07
Washington Redskins,WAS,22.7,335.6,0.1,2.4,0.7,0.5,0.0,0.0
