Player,FG,FGA,XPT,FPTS,POS
Wil Lutz NO,2.0,2.3,4.0,10.1,K
Stephen Gostkowski NE,2.1,2.3,3.0,9.2,K
Justin Tucker BAL,2.2,2.4,2.5,9.0,K
Cairo Santos TB,2.0,2.4,2.9,8.9,K
Michael Badgley LAC,2.0,2.2,2.9,8.8,K
Matt Bryant ATL,2.0,2.1,2.6,8.5,K
Robbie Gould SF,2.0,2.1,2.6,8.5,K
Jake Elliott PHI,1.9,2.3,2.6,8.3,K
Dan Bailey MIN,1.9,2.3,2.5,8.3,K
Adam Vinatieri IND,1.6,1.9,3.4,8.2,K
Mason Crosby GB,1.9,2.2,2.2,7.9,K
Brett Maher DAL,1.8,2.1,2.5,7.9,K
Ka'imi Fairbairn HOU,1.8,2.1,2.4,7.8,K
Josh Lambo JAC,1.9,2.1,1.9,7.6,K
Jason Sanders MIA,1.8,2.0,2.1,7.6,K
Cody Parkey CHI,1.7,2.0,2.3,7.5,K
Aldrick Rosas NYG,1.8,2.1,2.0,7.5,K
Brandon McManus DEN,1.6,1.9,2.4,7.3,K
Greg Joseph CLE,1.6,1.9,2.4,7.2,K
Sebastian Janikowski SEA,1.5,1.8,2.6,7.1,K
Matt Prater DET,1.6,1.9,2.3,7.1,K
Randy Bullock CIN,1.5,1.8,2.5,6.9,K
Ryan Succop TEN,1.6,1.9,1.8,6.7,K
Jason Myers NYJ,1.6,1.8,1.8,6.6,K
Steven Hauschka BUF,1.6,1.7,1.5,6.2,K
Dustin Hopkins WAS,1.5,1.7,1.7,6.1,K
Daniel Carlson OAK,1.5,1.8,1.5,6.0,K
Kai Forbath JAC,0.0,0.0,0.0,0.0,K
Matt McCrane PIT,0.0,0.0,0.0,0.0,K
Chandler Catanzaro CAR,0.0,0.0,0.0,0.0,K
Eddy Pineiro OAK,0.0,0.0,0.0,0.0,K
Zane Gonzalez ARI,0.0,0.0,0.0,0.0,K
