Player,Team,Pass Yds,Pass TD,Pass Int,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,2PT
AJ McCarron,OAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
Aaron Rodgers,GB,275.2730620087254,1.911799895622703,0.65,15.66942824084909,0.1,0.0,0.0,0.0,0.1
Alex Tanney,NYG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
Andrew Luck,IND,284.3721362002219,2.7666835361076174,0.8180246872403427,10.314450180256777,0.14785974587412754,0.0,0.0,0.0,0.16
Andy Dalton,CIN,250.97849953218886,2.0,0.8671545432292084,10.0,0.1,0.0,0.0,0.0,0.0
Baker Mayfield,CLE,253.43146915370468,1.7991376389649045,0.9,15.705773137528878,0.1626617568853823,0.0,0.0,0.0,0.13
Ben Roethlisberger,PIT,298.3914655822772,2.0959474994744145,0.9010880813768681,7.81,0.08859479635399901,0.0,0.0,0.0,0.19
Blaine Gabbert,TEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
Blake Bortles,JAX,222.22758141635413,1.405514703646061,0.8300938985924061,23.269427596053404,0.1970544585624683,0.0,0.0,0.0,0.09
Brett Hundley,SEA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
Brian Hoyer,NE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
Brock Osweiler,MIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06
C.J. Beathard,SF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
Cam Newton,CAR,251.8295132039016,1.8157753268582955,0.8565746592487751,35.0,0.39199672068193114,0.0,0.0,0.0,0.13
Carson Wentz,PHI,276.3281289169098,1.9923488030225958,0.7660605527028692,14.246203737976748,0.2,0.0,0.0,0.0,0.22
Case Keenum,DEN,251.78886323206706,1.474936040353242,0.7760129291561161,7.361678067605582,0.1,0.0,0.0,0.0,0.03
Chase Daniel,CHI,226.6372418443492,1.6014639077890842,0.8576755072776107,19.53931510044101,0.2,0.0,0.0,0.0,0.08
Cody Kessler,JAX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
Colt McCoy,WAS,230.6287343089682,0.9988810782402342,0.8065837812403261,13.65250750551728,0.11,0.0,0.0,0.0,0.02
Cooper Rush,DAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
Dak Prescott,DAL,228.3550757839062,1.6502615946520325,0.8242308969125671,23.131278490863394,0.21259918299812133,0.0,0.0,0.0,0.06
Davis Webb,NYJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04
DeShone Kizer,GB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
Derek Carr,OAK,224.5486724471425,1.091728766428537,0.7187338227358518,6.96,0.04350873182645566,0.0,0.0,0.0,0.16
Deshaun Watson,HOU,244.93206399969543,1.8334771953656117,0.888806848676341,26.959676525977237,0.10762504293177982,0.0,0.0,0.0,0.14
Drew Brees,NO,325.59921230321567,2.817811946228498,0.7072236214621079,5.754900255950931,0.16745043653995872,0.0,0.0,0.0,0.03
Eli Manning,NYG,267.71411885727684,1.6421868814939284,0.6983736640974334,0.0,0.0,0.0,0.0,0.0,0.06
Geno Smith,LAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
Jacoby Brissett,IND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
Jameis Winston,TB,298.13227214897626,2.1023181355559246,0.904252238449925,17.20335670250789,0.2,0.0,0.0,0.0,0.13
Jeff Driskel,CIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
Joe Webb,HOU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Josh Allen,BUF,164.83155827319337,0.9532632710207523,0.9567259512129958,24.015132378198764,0.12959795916309,0.0,0.0,0.0,0.07
Josh McCown,NYJ,215.26323584507546,1.3812257627403028,0.8825739198821247,11.289449756012104,0.1025435810610121,0.0,0.0,0.0,0.09
Josh Rosen,ARI,211.8441327102579,1.1636757181150674,1.1490950498101529,8.677251382850587,0.062039698328078804,0.0,0.0,0.0,0.1
Joshua Dobbs,PIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
Kevin Hogan,DEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
Kirk Cousins,MIN,290.12908025475986,2.025394155418634,0.8991135590197035,11.261537999707109,0.09000420820950769,0.0,0.0,0.0,0.09
Lamar Jackson,BAL,167.67740620972367,1.2739970265368314,0.7299841665357254,58.49729502130617,0.4070297621047788,0.0,0.0,0.0,0.08
Marcus Mariota,TEN,204.346128613417,1.3652584469228843,0.7935181588029455,24.143406146785523,0.20727428777911305,0.0,0.0,0.0,0.03
Mark Sanchez,WAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
Matt Barkley,BUF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
Matt Cassel,DET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
Matt Ryan,ATL,316.9985407772067,2.2984699001539406,0.8242006977391201,8.5,0.07893115268862123,0.0,0.0,0.0,0.09
Matt Schaub,ATL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
Matthew Stafford,DET,261.06156348444,1.5196887019035623,0.7721125606165185,10.0,0.1,0.0,0.0,0.0,0.06
Mike Glennon,ARI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06
Nick Foles,PHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
Nick Mullens,SF,260.4622806363803,1.7877874181881084,0.91,9.457772587951427,0.12,0.0,0.0,0.0,0.08
Philip Rivers,LAC,274.82140561713305,2.2,0.6504530352055271,0.0,0.0,0.0,0.0,0.0,0.06
Robert Griffin III,BAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
Russell Wilson,SEA,236.5216516527512,2.030368627624869,0.6922408827243667,24.11433097564675,0.19593782892315098,0.0,0.0,0.0,0.09
Ryan Fitzpatrick,TB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
Ryan Tannehill,MIA,247.56611607370073,1.5495318534771259,0.9150491590004471,14.666837754906837,0.13,0.0,0.0,0.0,0.09
Taylor Heinicke,CAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
Taysom Hill,NO,0.0,0.0,0.0,19.28013810721461,0.2176121864827598,0.0,0.0,0.0,0.03
Teddy Bridgewater,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
Tom Brady,NE,280.39035051786607,2.1,0.6224482238727201,4.6,0.1475669636579362,0.0,0.0,0.0,0.09
Trevor Siemian,MIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
Tyler Bray,FA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
Tyrod Taylor,CLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02
