Player,Team,Bye,Att,Yard,TD,Rec,Yard,TD,FPts
Todd Gurley,LAR,12,273,1255,11,71,677,4,283.2
David Johnson,ARI,9,315,1356,10,70,646,3,278.2
Le'Veon Bell,PIT,7,266,1225,8,80,636,3,252.1
Ezekiel Elliott,DAL,8,295,1329,12,39,346,2,251.5
Alvin Kamara,NO,6,152,806,7,78,717,4,218.3
Melvin Gordon,LAC,8,267,1042,7,62,502,3,214.4
Kareem Hunt,KC,12,266,1145,7,56,427,2,211.2
Leonard Fournette,JAC,9,282,1126,8,48,377,2,210.3
Saquon Barkley,NYG,9,248,1115,8,44,314,2,202.9
Dalvin Cook,MIN,10,238,1094,7,40,315,3,200.9
Joe Mixon,CIN,9,272,1060,7,43,333,2,193.3
Devonta Freeman,ATL,8,217,977,8,46,385,1,190.2
Christian McCaffrey,CAR,4,182,711,5,78,613,4,186.4
Jordan Howard,CHI,5,250,1075,8,20,148,1,176.3
Alex Collins,BAL,10,238,1046,7,28,202,1,172.8
Jay Ajayi,PHI,9,223,982,6,38,236,1,163.8
Lamar Miller,HOU,10,219,853,5,41,296,2,156.9
Derrick Henry,TEN,8,193,851,7,20,165,1,149.6
Rex Burkhead,NE,11,151,648,6,35,285,2,141.3
Marshawn Lynch,OAK,7,209,855,6,24,155,0,137.0
LeSean McCoy,BUF,11,174,729,4,30,247,2,133.6
Royce Freeman,DEN,10,194,776,5,29,194,1,133.0
Dion Lewis,TEN,8,137,615,4,51,345,2,132.0
Tevin Coleman,ATL,8,140,576,5,38,312,2,130.8
Kenyan Drake,MIA,11,165,725,4,38,275,1,130.0
Marlon Mack,IND,9,164,656,4,33,275,2,129.1
Peyton Barber,TB,5,164,705,5,27,212,1,127.7
Mark Ingram,NO,6,134,615,5,27,217,2,125.2
Isaiah Crowell,NYJ,11,172,686,5,31,205,1,125.1
Devontae Booker,DEN,10,163,636,4,33,256,1,119.2
Duke Johnson,CLE,11,79,341,2,64,565,2,114.6
Alfred Morris,SF,11,171,717,6,8,59,0,113.6
Carlos Hyde,CLE,11,160,656,5,29,177,0,113.3
Bilal Powell,NYJ,11,143,586,4,31,235,1,112.1
Chris Thompson,WAS,4,78,345,2,56,472,3,111.7
Kerryon Johnson,DET,6,159,667,4,34,202,0,110.9
Jamaal Williams,GB,7,152,608,4,25,196,1,110.4
Chris Ivory,BUF,11,139,555,4,30,205,1,106.0
Matt Breida,SF,11,100,429,3,41,315,2,104.4
Chris Carson,SEA,7,135,555,4,23,185,1,104.0
Javorius Allen,BAL,10,124,472,3,48,286,1,99.8
Giovani Bernard,CIN,9,93,399,2,42,356,2,99.5
Frank Gore,MIA,11,149,565,4,27,182,0,98.7
James White,NE,11,51,215,1,60,472,4,98.7
Latavius Murray,MIN,10,139,555,5,14,92,0,94.7
Sony Michel,NE,11,126,555,4,15,105,0,90.0
Tarik Cohen,CHI,5,70,302,1,50,416,2,89.8
Ty Montgomery,GB,7,75,316,2,43,316,2,87.2
Corey Clement,PHI,9,97,415,3,26,202,1,85.7
Doug Martin,OAK,7,146,526,3,18,145,0,85.1
Theo Riddick,DET,6,66,245,1,54,416,2,84.1
Rashaad Penny,SEA,7,124,495,3,24,161,0,83.6
Adrian Peterson,WAS,4,130,482,4,13,95,0,81.7
Austin Ekeler,LAC,8,84,334,2,36,266,1,78.0
Nick Chubb,CLE,11,110,441,4,11,75,0,75.6
Wayne Gallman,NYG,9,86,325,2,34,245,1,75.0
Ronald Jones,TB,5,112,446,3,17,105,0,73.1
Samaje Perine,WAS,4,100,398,3,22,151,0,72.9
T.J. Yeldon,JAC,9,72,315,2,31,225,1,72.0
C.J. Anderson,CAR,4,101,403,4,9,72,0,71.5
Corey Grant,JAC,9,58,274,2,25,202,1,65.6
Rod Smith,DAL,8,65,288,2,22,185,1,65.3
D'Onta Foreman,HOU,10,89,356,2,16,116,1,65.2
Darren Sproles,PHI,9,47,156,1,36,278,2,61.4
LeGarrette Blount,DET,6,84,345,4,2,13,0,59.8
Aaron Jones,GB,7,85,375,2,13,74,0,56.9
Nyheim Hines,IND,9,72,287,1,19,135,1,54.2
Jalen Richard,OAK,7,39,176,2,31,225,0,52.1
Jordan Wilkins,IND,9,83,332,2,9,57,0,50.9
Spencer Ware,KC,12,72,275,2,14,86,0,48.1
Chase Edmonds,ARI,9,47,215,1,24,186,0,46.1
Malcolm Brown,LAR,12,70,317,1,9,67,0,44.4
Jonathan Stewart,NYG,9,57,216,3,5,31,0,42.7
Kyle Juszczyk,SF,11,19,75,0,32,217,1,35.2
Kenneth Dixon,BAL,10,56,235,1,5,32,0,32.7
Mike Gillislee,NO,6,40,159,2,6,45,0,32.4
Rob Kelley,WAS,4,46,179,2,3,23,0,32.2
Robert Turbin,IND,9,47,180,1,12,77,0,31.7
Alfred Blue,HOU,10,56,214,1,5,36,0,31.0
