Player,Team,Receptions,Rec Yds,Rec TD,Pass Yds,Pass TD,Pass Int,Rush Yds,Rush TD,2PT
Alan Cross,TB,0.0,0.0,0.0,0,0,0,0,0,0.0
Antonio Gates,LAC,2.241675562343208,25.084207367795678,0.3,0,0,0,0,0,0.0
Antony Auclair,TB,0.3,2.6,0.0,0,0,0,0,0,0.0
Austin Hooper,ATL,3.933402816139888,43.075780387362954,0.3174246022462345,0,0,0,0,0,0.0
Ben Braunecker,CHI,0.0,0.0,0.0,0,0,0,0,0,0.0
Ben Koyack,JAX,0.0,0.0,0.0,0,0,0,0,0,0.0
Benjamin Watson,NO,2.3312647686667813,27.154858496014747,0.2646019712848987,0,0,0,0,0,0.0
Blake Bell,JAX,0.3,10.95652738800244,0.0,0,0,0,0,0,0.0
Blake Jarwin,DAL,1.6442603033871217,16.53919102392988,0.1,0,0,0,0,0,0.0
Brian Parker,DEN,0.0,0.0,0.0,0,0,0,0,0,0.0
C.J. Uzomah,CIN,2.870590099852016,32.34122319474538,0.3512001556541834,0,0,0,0,0,0.0
Cameron Brate,TB,3.1878622163778387,36.5291454721587,0.25,0,0,0,0,0,0.0
Chris Herndon,NYJ,2.7829199461207095,32.340425804867685,0.0952552499795722,0,0,0,0,0,0.0
Chris Manhertz,CAR,0.0,0.0,0.0,0,0,0,0,0,0.0
Clark Harris,CIN,0.0,0.0,0.0,0,0,0,0,0,0.0
Dallas Goedert,PHI,1.4086106948636283,16.485835888672643,0.03411484039460505,0,0,0,0,0,0.0
Dalton Schultz,DAL,0.2,12.736251945732358,0.1,0,0,0,0,0,0.0
Dan Arnold,NO,1.1323473610249142,12.011692374087993,0.15199415853002693,0,0,0,0,0,0.0
Daniel Brown,CHI,0.0,0.0,0.0,0,0,0,0,0,0.0
Darren Fells,CLE,0.3,8.150438760450548,0.03311932148807506,0,0,0,0,0,0.0
David Njoku,CLE,3.083789627398123,36.08661562997604,0.19,0,0,0,0,0,0.0
Derek Carrier,OAK,0.3,7.8391950677679425,0.0,0,0,0,0,0,0.0
Ed Dickson,SEA,1.458647960251217,18.20345427243346,0.2128304263956663,0,0,0,0,0,0.0
Eric Ebron,IND,2.9955602815791718,35.716333386552336,0.25,0,0,0,0,0,0.0
Eric Saubert,ATL,0.2,2.2,0.0,0,0,0,0,0,0.0
Eric Tomlinson,NYJ,0.3,8.229702347965606,0.0,0,0,0,0,0,0.0
Evan Engram,NYG,3.3433439320745557,34.89047753409203,0.1641461251360564,0,0,0,0,0,0.0
Garrett Celek,SF,0.2,8.04209116879833,0.04184667977657164,0,0,0,0,0,0.0
George Kittle,SF,5.641587136910255,72.3098008510821,0.4389898725906747,0,0,0,0,0,0.0
Greg Olsen,CAR,3.814293088639263,47.574337680135294,0.4,0,0,0,0,0,0.0
Hayden Hurst,BAL,1.2316766685929077,14.231209494805722,0.13676060306560373,0,0,0,0,0,0.0
Ian Thomas,CAR,0.1,1.1,0.0,0,0,0,0,0,0.0
Jack Doyle,IND,4.398086846600413,45.03921718065969,0.4014911137924754,0,0,0,0,0,0.0
Jacob Hollister,NE,0.2,7.9,0.0,0,0,0,0,0,0.0
James O'Shaughnessy,JAX,2.6617539969740776,27.49322565368393,0.12974151111674695,0,0,0,0,0,0.0
Jared Cook,OAK,3.6776957061874502,44.71397216347492,0.25655108119936304,0,0,0,0,0,0.0
Jason Croom,BUF,1.8649254394113242,21.079623180629124,0.1,0,0,0,0,0,0.0
Jeff Heuerman,DEN,3.4524851999157824,34.138504768319834,0.3,0,0,0,0,0,0.0
Jeremy Sprinkle,WAS,0.1,0.6729206556242477,0.0,0,0,0,0,0,0.0
Jermaine Gresham,ARI,1.3980830601103063,14.92521931393982,0.1,0,0,0,0,0,0.0
Jesse James,PIT,1.5748686800931955,19.459452921432295,0.19354184549969253,0,0,0,0,0,0.0
Jimmy Graham,GB,2.8901647570014717,37.41440601156073,0.26679188780705504,0,0,0,0,0,0.0
John Phillips,ARI,0.0,0.0,0.0,0,0,0,0,0,0.0
Jonnu Smith,TEN,2.6239486227459863,27.021431930249463,0.2238541809062193,0,0,0,0,0,0.0
Jordan Akins,HOU,1.1,12.1,0.1,0,0,0,0,0,0.0
Jordan Franks,CIN,0.0,0.0,0.0,0,0,0,0,0,0.0
Jordan Leggett,NYJ,0.6,10.543921459971084,0.1,0,0,0,0,0,0.0
Jordan Reed,WAS,4.216726983256973,43.76300694544748,0.2744737046700585,0,0,0,0,0,0.0
Jordan Thomas,HOU,1.31206126744284,14.887785306246066,0.1170847253760185,0,0,0,0,0,0.0
Josh Hill,NO,1.8579322914408827,19.497317465418575,0.2,0,0,0,0,0,0.0
Kyle Rudolph,MIN,3.431149757379685,34.66784464423557,0.2768714602320157,0,0,0,0,0,0.0
Lance Kendricks,GB,1.3989464539194665,14.51905237388459,0.1,0,0,0,0,0,0.0
Lee Smith,OAK,0.0,0.0,0.0,0,0,0,0,0,0.0
Levine Toilolo,DET,0.3,9.169373463811853,0.0,0,0,0,0,0,0.0
Logan Paulsen,ATL,0.1,9.462731458571213,0.0,0,0,0,0,0,0.0
Logan Thomas,BUF,1.6563220891696298,16.757174948573237,0.1,0,0,0,0,0,0.0
Luke Stocker,TEN,0.6,10.807569102858942,0.09044463912685408,0,0,0,0,0,0.0
Luke Willson,DET,1.3674787376993809,14.35785315136306,0.1,0,0,0,0,0,0.0
Marcedes Lewis,GB,0.21,2.24,0.0,0,0,0,0,0,0.0
Mark Andrews,BAL,2.15276269983597,25.3827067259811,0.24,0,0,0,0,0,0.0
Matt LaCosse,DEN,1.6176401563129805,17.476843267152137,0.1,0,0,0,0,0,0.0
Matt Lengel,CIN,0.0,8.122143998871405,0.10835736708748157,0,0,0,0,0,0.0
Michael Roberts,DET,1.4034361470124055,16.75264275928332,0.07884053018146195,0,0,0,0,0,0.0
Mike Gesicki,MIA,1.6316002980926372,18.088408567243686,0.2,0,0,0,0,0,0.0
MyCole Pruitt,TEN,0.0,0.0,0.0,0,0,0,0,0,0.0
