Player,Team,Salary
Amari Cooper,DAL,6500
JuJu Smith-Schuster,PIT,7200
Adam Thielen,MIN,8600
Corey Davis,TEN,6000
Tyler Lockett,SEA,6300
Stefon Diggs,MIN,7300
David Moore,SEA,5800
Julio Jones,ATL,8800
Emmanuel Sanders,DEN,6900
Tyler Boyd,CIN,6800
Demaryius Thomas,HOU,5300
Calvin Ridley,ATL,6200
Keenan Allen,LAC,7700
Mike Williams,LAC,5600
Julian Edelman,NWE,7400
Robert Foster,BUF,4800
Dede Westbrook,JAC,5000
T.Y. Hilton,IND,7500
Dante Pettis,SFO,4600
Jermaine Kearse,NYJ,4600
Davante Adams,GNB,8700
Mike Evans,TAM,7900
Adam Humphries,TAM,5600
Antonio Callaway,CLE,4800
Leonte Carroo,MIA,4500
D.J. Moore,CAR,5800
Kenny Golladay,DET,7200
Curtis Samuel,CAR,5300
Antonio Brown,PIT,8500
Trey Quinn,WAS,4800
Odell Beckham Jr.,NYG,8500
John Ross,CIN,5600
Ryan Switzer,PIT,4600
Larry Fitzgerald,ARI,6300
DeAndre Hopkins,HOU,8400
Mohamed Sanu,ATL,5300
Michael Crabtree,BAL,5400
Josh Doctson,WAS,5300
Josh Gordon,NWE,6800
Quincy Enunwa,NYJ,5000
Isaiah McKenzie,BUF,4500
Taylor Gabriel,CHI,5100
Austin Carr,NOR,5300
Seth Roberts,OAK,5100
Equanimeous St. Brown,GNB,4500
Keith Kirkwood,NOR,5200
Chester Rogers,IND,4700
Doug Baldwin,SEA,6500
Chris Godwin,TAM,5500
Travis Benjamin,LAC,4600
Christian Kirk,ARI,5600
Bruce Ellington,DET,5000
Anthony Miller,CHI,5600
Michael Thomas,NOR,8800
Chris Hogan,NWE,5100
Sterling Shepard,NYG,6000
Dontrelle Inman,IND,5200
Alshon Jeffery,PHI,7200
Golden Tate,PHI,6500
Allen Robinson,CHI,7000
Jarvis Landry,CLE,6100
DeSean Jackson,TAM,6000
Kelvin Benjamin,BUF,4800
Kendrick Bourne,SFO,4900
Richie James,SFO,4700
Jarius Wright,CAR,4700
Donte Moncrief,JAC,5200
Russell Shepard,NYG,4500
Bennie Fowler,NYG,4600
Robby Anderson,NYJ,5200
Marcell Ateman,OAK,4800
John Brown,BAL,5100
Rashard Higgins,CLE,4600
Michael Gallup,DAL,4900
Auden Tate,CIN,4500
DeVante Parker,MIA,5400
Malik Turner,SEA,4500
Keke Coutee,HOU,5600
Phillip Dorsett,NWE,4600
T.J. Jones,DET,4600
Courtland Sutton,DEN,5400
DeAndre Carter,HOU,4500
Cameron Batson,TEN,4600
DaeSean Hamilton,DEN,4500
Danny Amendola,MIA,5300
Nelson Agholor,PHI,5300
Aldrick Robinson,MIN,4600
Cordarrelle Patterson,NWE,5000
Allen Hurns,DAL,4600
Cody Core,CIN,4500
Josh Bellamy,CHI,4500
Trent Sherfield,ARI,4500
Laquon Treadwell,MIN,4600
Justin Hardy,ATL,4600
Kenny Stills,MIA,5300
Cole Beasley,DAL,5300
Ryan Grant,IND,4600
Marquez Valdes-Scantling,GNB,5200
Chris Moore,BAL,4500
J'Mon Moore,GNB,4500
Shelton Gibson,PHI,4500
Tajae Sharpe,TEN,5200
Brice Butler,MIA,4600
Deonte Thompson,BUF,4600
Zay Jones,BUF,5100
Tyrell Williams,LAC,6200
Michael Floyd,WAS,4500
Darrius Heyward-Bey,PIT,4500
Brandon Zylstra,MIN,4500
Alex Erickson,CIN,4500
Damiere Byrd,CAR,4500
Russell Gage,ATL,4500
J.J. Nelson,ARI,4600
Darius Jennings,TEN,4500
Geremy Davis,LAC,4500
Torrey Smith,CAR,5300
River Cracraft,DEN,4500
Charone Peake,NYJ,4500
Maurice Harris,WAS,5100
Trent Taylor,SFO,4500
James Washington,PIT,4600
Andre Holmes,BUF,4500
Rashad Greene,JAC,4500
Justin Watson,TAM,4500
Willie Snead,BAL,5300
Jehu Chesson,WAS,4500
Andre Roberts,NYJ,4500
Zach Pascal,IND,4600
Sammie Coates,HOU,4500
Matthew Slater,NWE,4500
Johnny Holton,OAK,4500
Quadree Henderson,NYG,4500
Corey Coleman,NYG,4500
Jaron Brown,SEA,5100
Jordan Matthews,PHI,4700
Keelan Cole,JAC,4600
Tim Patrick,DEN,4500
Marvin Hall,ATL,4500
Kevin White,CHI,4500
Dwayne Harris,OAK,4500
Breshad Perriman,CLE,4500
Jordy Nelson,OAK,5000
