Player,Team,Rush Yds,Receptions,Rec Yds,Rec TD,Pass Yds,Pass TD,Pass Int,Rush TD,2PT
Adam Humphries,TB,0.0,3.8,46.19618701428216,0.2534321239993187,0.0,0.0,0.0,0.0,0.0
Adam Thielen,MIN,0.7,6.782407027486361,95.68953649593024,0.5,0.0,0.0,0.0,0.0,0.0
Aldrick Robinson,MIN,0.0,1.4,12.707783239127366,0.1,0.0,0.0,0.0,0.0,0.0
Alex Erickson,CIN,0.0,1.8,10.85054595256978,0.00558659217877095,0.0,0.0,0.0,0.0,0.0
Allen Hurns,DAL,0.0,1.8476396512825277,13.291161043556851,0.10674732433690087,0.0,0.0,0.0,0.0,0.0
Allen Robinson,CHI,0.0,3.576555253432934,50.0,0.2368969298245614,0.0,0.0,0.0,0.0,0.0
Alshon Jeffery,PHI,0.0,3.9,52.30516739592532,0.6817177575255454,0.0,0.0,0.0,0.0,0.0
Amari Cooper,DAL,0.0,3.81,57.316765396100344,0.4287249814677539,0.0,0.0,0.0,0.0,0.0
Andre Holmes,DEN,0.0,1.2,11.3,0.12,0.0,0.0,0.0,0.0,0.0
Andre Roberts,NYJ,0.0,0.2,11.957664480686221,0.0,0.0,0.0,0.0,0.0,0.0
Andy Jones,DET,0.0,0.4,8.679508844091817,0.05,0.0,0.0,0.0,0.0,0.0
Anthony Miller,CHI,0.0,3.2860939873665376,44.94686733522752,0.2534321239993187,0.0,0.0,0.0,0.0,0.0
Antonio Brown,PIT,0.0,6.346954186264138,95.0,0.6,0.0,0.0,0.0,0.0,0.0
Antonio Callaway,CLE,0.0,2.658344234208931,38.1092201531622,0.28558352402745996,0.0,0.0,0.0,0.0,0.0
Auden Tate,CIN,0.0,0.2,11.212961709268237,0.08376248794424325,0.0,0.0,0.0,0.0,0.0
Austin Carr,NO,0.0,1.8796899945456345,21.50049962047228,0.1587719298245614,0.0,0.0,0.0,0.0,0.0
Bennie Fowler,NYG,0.0,0.22859626475776462,15.204128161912639,0.1,0.0,0.0,0.0,0.0,0.0
Brandon Zylstra,MIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breshad Perriman,CLE,0.0,1.8476396512825277,23.388482996582866,0.17573687137522842,0.0,0.0,0.0,0.0,0.0
Brice Butler,MIA,0.0,0.0,0.0,0.031010320992330274,0.0,0.0,0.0,0.0,0.0
Bruce Ellington,DET,0.0,3.3552575230983344,39.484149355136374,0.22,0.0,0.0,0.0,0.0,0.0
Byron Marshall,WAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Calvin Ridley,ATL,0.3,4.2286017759419305,47.1,0.3,0.0,0.0,0.0,0.0,0.0
Cameron Batson,TEN,0.0,1.8476396512825277,10.99136893843704,0.0975609756097561,0.0,0.0,0.0,0.0,0.0
Charone Peake,NYJ,0.0,0.22,9.923834018132656,0.0,0.0,0.0,0.0,0.0,0.0
Chester Rogers,IND,0.0,1.8796899945456345,16.721745776443733,0.09523809523809523,0.0,0.0,0.0,0.0,0.0
Chris Godwin,TB,0.0,3.3754210165491365,45.05616014430815,0.2368969298245614,0.0,0.0,0.0,0.0,0.0
Chris Hogan,NE,0.0,1.9233395934412933,18.7,0.16936478569226027,0.0,0.0,0.0,0.0,0.0
Chris Moore,BAL,0.3,0.4,9.025143704805197,0.05952380952380952,0.0,0.0,0.0,0.0,0.0
Christian Kirk,ARI,1.3,3.550606211025274,47.47099352190958,0.3452126077906631,0.0,0.0,0.0,0.0,0.0
Cody Core,CIN,0.0,1.8796899945456345,21.175462018597436,0.2,0.0,0.0,0.0,0.0,0.0
Cole Beasley,DAL,0.0,4.1773371634948155,42.974565713083315,0.28558352402745996,0.0,0.0,0.0,0.0,0.0
Cordarrelle Patterson,NE,13.525641025641027,0.2,8.808053485889412,0.09523809523809523,0.0,0.0,0.0,0.0,0.0
Corey Coleman,NYG,0.0,0.3,8.896599063007603,0.0,0.0,0.0,0.0,0.0,0.0
Corey Davis,TEN,0.0,4.6,57.2,0.2368969298245614,0.0,0.0,0.0,0.0,0.0
Courtland Sutton,DEN,0.0,3.352548708131581,53.6,0.4287249814677539,0.0,0.0,0.0,0.0,0.0
Curtis Samuel,CAR,8.5,3.1,34.80998033479662,0.28558352402745996,0.0,0.0,0.0,0.0,0.0
D.J. Moore,CAR,9.80005120327701,3.672349227742578,45.37266243322939,0.3,0.0,0.0,0.0,0.0,0.0
Damiere Byrd,CAR,0.0,0.0,2.1,0.00558659217877095,0.0,0.0,0.0,0.0,0.0
Damion Ratley,CLE,0.0,0.75,9.92,0.09523809523809523,0.0,0.0,0.0,0.0,0.0
Danny Amendola,MIA,0.0,5.104928616799899,49.8,0.3452126077906631,0.0,0.0,0.0,0.0,0.0
Dante Pettis,SF,0.0,3.2817221049831065,46.17206690303119,0.28558352402745996,0.0,0.0,0.0,0.0,0.0
Darius Jennings,TEN,0.0,0.39,9.19074965971117,0.0,0.0,0.0,0.0,0.0,0.0
Darrius Heyward-Bey,PIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
