Player,Team,PA,YdA,TD,Sack,Int,Fum Rec,Saf,Blk
Arizona Cardinals,ARI,26.0925,359.8,0.13799999999999998,2.804,0.502,0.5980000000000001,0.035,0.045
Atlanta Falcons,ATL,23.61,354.9666666666667,0.16999999999999998,2.17,0.9460000000000001,0.554,0.015,0.04
Baltimore Ravens,BAL,22.200000000000003,344.26666666666665,0.16599999999999998,2.42,0.6779999999999999,0.514,0.0325,0.035
Buffalo Bills,BUF,22.167499999999997,317.96666666666664,0.182,2.3440000000000003,1.06,0.626,0.01,0.04
Carolina Panthers,CAR,24.697499999999998,407.3666666666666,0.22399999999999998,2.7239999999999998,1.3,0.6679999999999999,0.0075,0.095
Chicago Bears,CHI,19.482499999999998,326.09999999999997,0.22599999999999998,2.902,0.9780000000000001,0.652,0.0125,0.09
Cincinnati Bengals,CIN,24.105,397.23333333333335,0.158,2.282,0.8779999999999999,0.506,0.0075,0.095
Cleveland Browns,CLE,25.645000000000003,361.3333333333333,0.202,2.912,1.008,0.706,0.01,0.05
Dallas Cowboys,DAL,27.742741647565378,420.32999372180285,0.10042944320994093,1.7383026061098612,0.625532911868334,0.5686932749533475,0.009992884478142238,0.035
Denver Broncos,DEN,20.72,324.6333333333333,0.21600000000000003,2.624,1.038,0.5800000000000001,0.0175,0.11
Detroit Lions,DET,30.7575,443.76666666666665,0.174,2.174,0.616,0.57,0.0575,0.09
Green Bay Packers,GB,15.5425,277.3333333333333,0.21200000000000002,2.914,1.188,0.618,0.0125,0.04
Houston Texans,HOU,20.885,364.43333333333334,0.22000000000000003,2.7739999999999996,0.8480000000000001,0.6439999999999999,0.09,0.035
Indianapolis Colts,IND,23.185,342.6666666666667,0.16999999999999998,2.628,0.9259999999999999,0.72,0.015,0.04
Jacksonville Jaguars,JAX,24.207500000000003,393.8,0.22000000000000003,1.884,1.012,0.546,0.0825,0.035
Kansas City Chiefs,KC,19.755000000000003,355.90000000000003,0.21600000000000003,2.7559999999999993,0.8880000000000001,0.716,0.0075,0.05
Los Angeles Chargers,LAC,25.7475,416.8333333333333,0.19,1.95,0.9760000000000002,0.52,0.05500000000000001,0.04
Los Angeles Rams,LAR,22.5225,350.5333333333333,0.22999999999999998,2.994,0.9460000000000001,0.6900000000000001,0.0325,0.06
Miami Dolphins,MIA,17.975,302.40000000000003,0.20800000000000002,2.5140000000000002,1.094,0.5860000000000001,0.015,0.055
Minnesota Vikings,MIN,26.887500000000003,390.9666666666667,0.16399999999999998,1.9720000000000002,0.718,0.584,0.05500000000000001,0.03
New England Patriots,NE,20.665,377.0333333333333,0.18,2.2479999999999998,0.8960000000000001,0.6359999999999999,0.035,0.09
New Orleans Saints,NO,22.534999999999997,361.59999999999997,0.2,2.846,0.7700000000000001,0.626,0.01,0.035
New York Giants,NYG,23.2675,352.9666666666667,0.15,2.0140000000000002,0.8699999999999999,0.564,0.01,0.09
New York Jets,NYJ,24.425,329.23333333333335,0.16199999999999998,2.522,0.8080000000000002,0.552,0.01,0.04
Oakland Raiders,OAK,33.185,466.76666666666665,0.146,1.3780000000000001,0.768,0.45,0.030000000000000002,0.045
Philadelphia Eagles,PHI,19.075,328.40000000000003,0.22000000000000003,2.444,0.976,0.5940000000000001,0.04,0.095
Pittsburgh Steelers,PIT,23.4775,397.06666666666666,0.142,2.3920000000000003,0.726,0.5860000000000001,0.0325,0.09
San Francisco 49ers,SF,27.945,372.0,0.09400000000000001,2.432,0.6500000000000001,0.48599999999999993,0.0075,0.04
Seattle Seahawks,SEA,19.935000000000002,332.2,0.21200000000000002,2.714,1.0619999999999998,0.6799999999999999,0.0325,0.09
Tampa Bay Buccaneers,TB,26.2825,410.6333333333334,0.188,2.232,0.682,0.608,0.01,0.1
Tennessee Titans,TEN,16.8675,298.2,0.22199999999999998,2.6580000000000004,0.914,0.5980000000000001,0.0125,0.085
Washington Redskins,WAS,24.312500000000004,363.2,0.16999999999999998,2.676,0.808,0.7140000000000001,0.0075,0.04
