Player,Team,GP,Sack,Int,Fum Rec,Fum Forc,TD,Blk,Return Yds,PA,Pts Allow 0,Pts Allow 1-6,Pts Allow 7-13,Pts Allow 14-20,Pts Allow 21-27,Pts Allow 28-34,Pts Allowed 35+,YdA,100-199 Yds Allow,200-299 Yds Allow,300-399 Yds Allow,400-449 Yds Allow,450-499 Yds Allow,POS
San Francisco 49ers,SF,1.0,3.0,0.0,0.0,0.0,0.0,0.0,122.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,331.0,0.0,0.0,1.0,0.0,0.0,DST
Chicago Bears,CHI,1.0,3.0,1.0,0.0,0.0,0.0,0.0,40.0,24.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,338.0,0.0,0.0,1.0,0.0,0.0,DST
Cincinnati Bengals,CIN,1.0,2.0,0.0,1.0,1.0,0.0,0.0,33.0,24.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,361.0,0.0,0.0,1.0,0.0,0.0,DST
Buffalo Bills,BUF,1.0,3.0,1.0,0.0,0.0,0.0,0.0,31.0,21.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,175.0,1.0,0.0,0.0,0.0,0.0,DST
Denver Broncos,DEN,1.0,4.0,1.0,2.0,1.0,0.0,0.0,6.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,313.0,0.0,0.0,1.0,0.0,0.0,DST
Cleveland Browns,CLE,1.0,4.0,0.0,0.0,2.0,0.0,0.0,107.0,23.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,384.0,0.0,0.0,1.0,0.0,0.0,DST
Tampa Bay Buccaneers,TB,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,444.0,0.0,0.0,0.0,1.0,0.0,DST
Arizona Cardinals,ARI,1.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,17.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,325.0,0.0,0.0,1.0,0.0,0.0,DST
Los Angeles Chargers,LAC,1.0,1.0,1.0,0.0,0.0,1.0,0.0,94.0,30.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,336.0,0.0,0.0,1.0,0.0,0.0,DST
Kansas City Chiefs,KC,1.0,3.0,0.0,3.0,4.0,0.0,0.0,80.0,33.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,442.0,0.0,0.0,0.0,1.0,0.0,DST
Indianapolis Colts,IND,1.0,3.0,0.0,1.0,2.0,0.0,0.0,13.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,211.0,0.0,1.0,0.0,0.0,0.0,DST
Dallas Cowboys,DAL,1.0,2.0,1.0,0.0,2.0,0.0,0.0,8.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,176.0,1.0,0.0,0.0,0.0,0.0,DST
Miami Dolphins,MIA,1.0,2.0,2.0,1.0,1.0,0.0,0.0,6.0,17.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,415.0,0.0,0.0,0.0,1.0,0.0,DST
Philadelphia Eagles,PHI,1.0,3.0,1.0,0.0,2.0,0.0,0.0,41.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,235.0,0.0,1.0,0.0,0.0,0.0,DST
Atlanta Falcons,ATL,1.0,2.0,0.0,1.0,3.0,1.0,0.0,18.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,366.0,0.0,0.0,1.0,0.0,0.0,DST
New York Giants,NYG,1.0,5.0,2.0,1.0,3.0,1.0,0.0,92.0,27.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,376.0,0.0,0.0,1.0,0.0,0.0,DST
Jacksonville Jaguars,JAX,1.0,3.0,1.0,1.0,1.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,265.0,0.0,1.0,0.0,0.0,0.0,DST
New York Jets,NYJ,1.0,3.0,1.0,0.0,1.0,1.0,2.0,86.0,26.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,403.0,0.0,0.0,0.0,1.0,0.0,DST
Detroit Lions,DET,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,344.0,0.0,0.0,1.0,0.0,0.0,DST
Green Bay Packers,GB,1.0,2.0,0.0,0.0,1.0,0.0,0.0,97.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,315.0,0.0,0.0,1.0,0.0,0.0,DST
Carolina Panthers,CAR,1.0,4.0,0.0,1.0,0.0,0.0,0.0,41.0,24.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,315.0,0.0,0.0,1.0,0.0,0.0,DST
New England Patriots,NE,1.0,2.0,2.0,0.0,0.0,0.0,0.0,84.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,278.0,0.0,1.0,0.0,0.0,0.0,DST
Oakland Raiders,OAK,1.0,0.0,0.0,1.0,1.0,0.0,1.0,66.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,469.0,0.0,0.0,0.0,0.0,1.0,DST
