Player,Team,GP,Pass Att,Pass Comp,Pass Inc,Pass Yds,Pass TD,Pass Int,Sacked,300-399 Pass Yds,400+ Pass Yds,40+ Pass TD,50+ Pass TD,Rush Att,Rush Yds,Rush TD,100-199 Rush Yds,Return Yds,Fum Lost,Fum,2PT,Tack,Ast,Fum Rec,Fum Yds,POS
Josh Allen,BUF,1.0,33.0,18.0,15.0,231.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,9.0,135.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,QB
Tom Brady,NE,1.0,32.0,24.0,8.0,311.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Drew Brees,NO,1.0,28.0,18.0,10.0,127.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,QB
Derek Carr,OAK,1.0,38.0,29.0,9.0,285.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,QB
Kirk Cousins,MIN,1.0,44.0,32.0,12.0,201.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Chase Daniel,CHI,1.0,39.0,26.0,13.0,285.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,3.0,-20.0,QB
Jeff Driskel,CIN,1.0,37.0,25.0,12.0,236.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,QB
Blaine Gabbert,TEN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Jared Goff,LA,1.0,33.0,17.0,16.0,207.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,-2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,QB
Robert Griffin III,BAL,1.0,4.0,2.0,2.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Taylor Heinicke,CAR,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Taysom Hill,NO,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Lamar Jackson,BAL,1.0,21.0,12.0,9.0,125.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,17.0,75.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,QB
Case Keenum,DEN,1.0,21.0,12.0,9.0,151.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Cody Kessler,JAX,1.0,24.0,18.0,6.0,150.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,28.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,QB
Andrew Luck,IND,1.0,52.0,33.0,19.0,248.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Patrick Mahomes,KC,1.0,38.0,23.0,15.0,295.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Eli Manning,NYG,1.0,35.0,19.0,16.0,170.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Marcus Mariota,TEN,1.0,35.0,20.0,15.0,282.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,4.0,43.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,QB
Baker Mayfield,CLE,1.0,43.0,29.0,14.0,397.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Josh McCown,NYJ,1.0,30.0,17.0,13.0,128.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Colt McCoy,WAS,1.0,4.0,4.0,0.0,50.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Nick Mullens,SF,1.0,48.0,30.0,18.0,414.0,2.0,1.0,3.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,QB
Cam Newton,CAR,1.0,41.0,28.0,13.0,300.0,2.0,4.0,4.0,1.0,0.0,0.0,0.0,6.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Dak Prescott,DAL,1.0,28.0,24.0,4.0,249.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,5.0,22.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,QB
Philip Rivers,LAC,1.0,36.0,26.0,10.0,299.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,QB
Aaron Rodgers,GB,1.0,50.0,31.0,19.0,233.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Ben Roethlisberger,PIT,1.0,45.0,29.0,16.0,281.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Josh Rosen,ARI,1.0,26.0,11.0,15.0,149.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,32.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,QB
Matt Ryan,ATL,1.0,26.0,16.0,10.0,131.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,QB
Mark Sanchez,WAS,1.0,21.0,13.0,8.0,100.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,QB
Matthew Stafford,DET,1.0,33.0,20.0,13.0,245.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,QB
Ryan Tannehill,MIA,1.0,24.0,16.0,8.0,137.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Deshaun Watson,HOU,1.0,31.0,22.0,9.0,224.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,7.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Carson Wentz,PHI,1.0,39.0,27.0,12.0,306.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,-4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,QB
Russell Wilson,SEA,1.0,17.0,11.0,6.0,185.0,4.0,0.0,3.0,0.0,0.0,1.0,1.0,4.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Jameis Winston,TB,1.0,30.0,20.0,10.0,249.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,5.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
