Player,REC,YDS,TDS,FL,FPTS,POS
Travis Kelce KC,6.3,84.7,0.8,0.0,13.4,TE
Zach Ertz PHI,6.4,69.5,0.6,0.0,10.7,TE
George Kittle SF,5.3,69.1,0.5,0.0,9.7,TE
Eric Ebron IND,4.6,54.4,0.7,0.0,9.7,TE
Rob Gronkowski NE,4.2,61.8,0.6,0.0,9.7,TE
Jared Cook OAK,4.1,52.0,0.5,0.0,8.1,TE
David Njoku CLE,4.2,46.2,0.5,0.1,7.2,TE
Cameron Brate TB,3.5,39.3,0.5,0.0,7.1,TE
Vance McDonald PIT,3.3,37.5,0.4,0.1,5.9,TE
Kyle Rudolph MIN,4.0,40.7,0.2,0.0,5.5,TE
Gerald Everett LAR,2.3,26.8,0.4,0.0,5.2,TE
Austin Hooper ATL,4.1,40.1,0.2,0.0,5.1,TE
Jimmy Graham GB,3.0,37.9,0.2,0.0,5.1,TE
Chris Herndon IV NYJ,3.4,36.5,0.2,0.0,5.0,TE
C.J. Uzomah CIN,2.9,30.3,0.2,0.0,4.0,TE
Matt LaCosse DEN,2.7,30.4,0.2,0.0,4.0,TE
Nick Vannett SEA,2.4,25.9,0.2,0.0,4.0,TE
Rhett Ellison NYG,3.0,30.9,0.1,0.0,4.0,TE
Ryan Griffin HOU,2.3,26.0,0.2,0.0,3.5,TE
James O'Shaughnessy JAC,2.5,27.3,0.1,0.0,3.4,TE
Jesse James PIT,2.1,23.7,0.2,0.0,3.4,TE
Ricky Seals-Jones ARI,2.5,28.4,0.1,0.0,3.4,TE
Vernon Davis WAS,1.9,25.7,0.1,0.0,3.2,TE
Antonio Gates LAC,2.0,22.8,0.2,0.0,3.1,TE
Mark Andrews BAL,1.6,19.6,0.1,0.0,2.8,TE
Tyler Higbee LAR,1.6,19.2,0.1,0.0,2.8,TE
Jordan Thomas HOU,1.4,16.4,0.2,0.0,2.8,TE
Luke Willson DET,1.8,18.5,0.2,0.0,2.7,TE
Ed Dickson SEA,1.5,17.4,0.2,0.0,2.7,TE
Charles Clay BUF,2.2,23.6,0.1,0.0,2.7,TE
Dan Arnold NO,1.7,20.0,0.1,0.0,2.6,TE
Nick O'Leary MIA,1.4,16.6,0.1,0.0,2.4,TE
Dallas Goedert PHI,1.4,15.0,0.1,0.0,2.3,TE
Virgil Green LAC,1.6,16.1,0.1,0.0,2.2,TE
Hayden Hurst BAL,1.4,14.9,0.1,0.0,2.1,TE
Jason Croom BUF,1.4,15.5,0.1,0.1,2.1,TE
Demetrius Harris KC,1.0,13.0,0.1,0.0,2.1,TE
Blake Jarwin DAL,1.5,15.8,0.1,0.0,2.0,TE
Mike Gesicki MIA,1.7,15.6,0.1,0.1,2.0,TE
Anthony Firkser TEN,1.1,13.6,0.1,0.0,1.9,TE
Josh Hill NO,1.2,12.4,0.1,0.0,1.9,TE
Jordan Akins HOU,1.1,12.3,0.1,0.0,1.8,TE
Nick Boyle BAL,1.4,13.1,0.1,0.0,1.7,TE
Luke Stocker TEN,0.9,10.6,0.1,0.1,1.7,TE
