Player,Team,Rush Yds,Receptions,Rec Yds,Rec TD,Pass Yds,Pass TD,Pass Int,Rush TD,2PT
A.J. Green,CIN,0.14,5.105226940218811,75.45687518727698,0.6,0.0,0.0,0.0,0.0,0.0
Adam Humphries,TB,1.3,4.788794850198386,50.7,0.39,0.0,0.0,0.0,0.0,0.0
Adam Thielen,MIN,1.5,7.2,93.31838114997076,1.0,0.0,0.0,0.0,0.01,0.0
Aldrick Robinson,MIN,0.01,2.6039118201519917,29.900684603449758,0.3,0.0,0.0,0.0,0.0,0.0
Alex Erickson,CIN,1.1,0.2,8.967029241439294,0.1,0.0,0.0,0.0,0.0,0.0
Allen Hurns,DAL,0.03,1.8476396512825277,10.858457795173976,0.2,0.0,0.0,0.0,0.0,0.0
Allen Robinson,CHI,0.07,3.8375133691163335,48.89,1.0,0.0,0.0,0.0,0.0,0.0
Alshon Jeffery,PHI,0.18,3.87,50.14,1.0,0.0,0.0,0.0,0.0,0.0
Amari Cooper,DAL,2.14,5.131538322132335,78.63431573862503,1.0,0.0,0.0,0.0,0.0,0.0
Andre Holmes,DEN,0.02,0.0,9.612831183520514,0.1,0.0,0.0,0.0,0.0,0.0
Andre Roberts,NYJ,0.46,0.2,2.1,0.03,0.0,0.0,0.0,0.0,0.0
Andy Jones,DET,0.13,1.8,18.601678237052962,0.24192071613408278,0.0,0.0,0.0,0.0,0.0
Anthony Miller,CHI,3.1,3.044301471560368,35.5928505995846,0.3,0.0,0.0,0.0,0.01,0.0
Antonio Brown,PIT,0.27,6.346954186264138,100.22895181937909,1.0,0.0,0.0,0.0,0.0,0.0
Antonio Callaway,CLE,1.5,3.049521066831337,42.3242465537125,0.3,0.0,0.0,0.0,0.01,0.0
Austin Carr,NO,0.03,0.69,8.903229262363693,0.1443054228553219,0.0,0.0,0.0,0.0,0.0
Bennie Fowler,NYG,0.03,0.11100626626611199,17.718914584944628,0.1,0.0,0.0,0.0,0.0,0.0
Bobo Wilson,TB,1.34,0.0,0.0,0.09,0.0,0.0,0.0,0.01,0.0
Brandin Cooks,LAR,6.35,5.9577754847808,87.7353909603438,1.0,0.0,0.0,0.0,0.1,0.0
Brandon Zylstra,MIN,0.2,0.0,13.15143379812852,0.1,0.0,0.0,0.0,0.0,0.0
Breshad Perriman,CLE,2.26,1.8476396512825277,17.590778120843208,0.11,0.0,0.0,0.0,0.01,0.0
Brice Butler,MIA,0.03,0.0,19.27926770888152,0.2,0.0,0.0,0.0,0.0,0.0
Bruce Ellington,DET,1.9,4.377101995678388,45.724615195976234,0.3,0.0,0.0,0.0,0.01,0.0
Calvin Ridley,ATL,4.0,4.289484025722776,50.36546186625865,0.5,0.0,0.0,0.0,0.0,0.0
Cameron Batson,TEN,0.57,1.714607455841147,14.760214184037428,0.1,0.0,0.0,0.0,0.0,0.0
Charone Peake,NYJ,0.04,0.2,2.4,0.01,0.0,0.0,0.0,0.0,0.0
Chester Rogers,IND,0.99,2.2669731678526874,22.869354507186948,0.2,0.0,0.0,0.0,0.01,0.0
Chris Conley,KC,0.03,3.2746776341295636,43.11149776286211,0.6,0.0,0.0,0.0,0.0,0.0
Chris Godwin,TB,0.03,3.7989085127044264,53.99,0.5,0.0,0.0,0.0,0.0,0.0
Chris Hogan,NE,0.5,1.8476396512825277,18.7,0.2,0.0,0.0,0.0,0.0,0.0
Chris Moore,BAL,3.2,0.58,8.903229262363693,0.1,0.0,0.0,0.0,0.02,0.0
Christian Kirk,ARI,4.5,3.495233006188624,46.083518024712305,0.36,0.0,0.0,0.0,0.01,0.0
Cody Core,CIN,0.02,0.3,13.497383376872053,0.1,0.0,0.0,0.0,0.0,0.0
Cole Beasley,DAL,0.17,4.062551907398975,40.70200057889744,0.2,0.0,0.0,0.0,0.0,0.0
Cordarrelle Patterson,NE,13.92,1.8476396512825277,9.214838114322914,0.2,0.0,0.0,0.0,0.1,0.0
Corey Coleman,NYG,0.28,0.6,9.036183786584422,0.1,0.0,0.0,0.0,0.0,0.0
Corey Davis,TEN,3.7,4.421996766546822,54.3,1.0,0.0,0.0,0.0,0.02,0.0
Courtland Sutton,DEN,0.07,3.352548708131581,51.19447108954727,0.4,0.0,0.0,0.0,0.0,0.0
Curtis Samuel,CAR,9.1,3.154308736780513,38.22688516086806,1.0,0.0,0.0,0.0,0.1,0.0
D.J. Moore,CAR,14.8,4.174414718875014,52.2,1.0,0.0,0.0,0.0,0.03,0.0
DaeSean Hamilton,DEN,0.6,2.3548037211403017,23.40888317531114,0.2,0.0,0.0,0.0,0.0,0.0
Dante Pettis,SF,4.4,3.3238453151172154,47.21323043176708,0.4,0.0,0.0,0.0,0.0,0.0
Darius Jennings,TEN,0.3,0.23,8.967029241439294,0.1,0.0,0.0,0.0,0.0,0.0
Darrius Heyward-Bey,PIT,1.3,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0
Davante Adams,GB,0.05,6.2783039704889045,86.70769302155315,1.0,0.0,0.0,0.0,0.0,0.0
David Moore,SEA,0.56,2.5942880337428735,44.220406500489865,1.0,0.0,0.0,0.0,0.0,0.0
DeAndre Carter,HOU,1.8,0.0,19.535726747891886,0.2,0.0,0.0,0.0,0.0,0.0
DeAndre Hopkins,HOU,1.8,6.407016711566643,89.5,1.0,0.0,0.0,0.0,0.0,0.0
DeVante Parker,MIA,0.06,3.4253793998013253,44.33284699379676,0.3,0.0,0.0,0.0,0.0,0.0
Dede Westbrook,JAX,5.8,3.5826712832091894,48.59866911928497,0.4,0.0,0.0,0.0,0.05,0.0
Demarcus Robinson,KC,0.02,1.8796899945456345,17.310341774372155,0.3,0.0,0.0,0.0,0.0,0.0
Demaryius Thomas,HOU,0.13,4.409368169619092,48.7,0.6,0.0,0.0,0.0,0.0,0.0
Deonte Thompson,BUF,0.33,0.3120881559600326,14.384880221358944,0.12,0.0,0.0,0.0,0.0,0.0
Devin Funchess,CAR,0.05,3.034161293709854,37.999936989272804,0.4,0.0,0.0,0.0,0.0,0.0
Donte Moncrief,JAX,0.38,3.352548708131581,45.611339274404145,0.4,0.0,0.0,0.0,0.0,0.0
Dontrelle Inman,IND,0.06,3.352548708131581,40.321511616468165,0.3,0.0,0.0,0.0,0.0,0.0
Doug Baldwin,SEA,0.5,3.727722432579228,45.5543101520871,0.6,0.0,0.0,0.0,0.0,0.0
Dwayne Harris,OAK,1.5,0.5,8.903229262363693,0.1,0.0,0.0,0.0,0.0,0.0
Emmanuel Sanders,DEN,4.0,6.314311232870991,82.84391458860264,1.0,0.0,0.0,0.0,0.1,0.0
Equanimeous St. Brown,GB,0.7,1.9594039961034277,29.35756071497926,0.3,0.0,0.0,0.0,0.0,0.0
George Odum,IND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Geremy Davis,LAC,0.07,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0
Golden Tate,PHI,3.0,5.031597874983951,50.205216129288225,0.31,0.0,0.0,0.0,0.01,0.0
Isaiah Ford,MIA,0.18,0.13,8.967029241439294,0.1,0.0,0.0,0.0,0.0,0.0
Isaiah McKenzie,BUF,8.4,1.8476396512825277,13.068072870228333,0.1,0.0,0.0,0.0,0.03,0.0
J'Mon Moore,GB,0.1,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0
J.J. Nelson,ARI,2.8,1.8476396512825277,9.325310786173038,0.1,0.0,0.0,0.0,0.02,0.14
Jamison Crowder,WAS,4.4,3.0599950794451427,33.49438821736369,0.26,0.0,0.0,0.0,0.04,0.0
Jarius Wright,CAR,2.5,1.8796899945456345,18.81126099232978,0.2,0.0,0.0,0.0,0.0,0.0
Jaron Brown,SEA,0.03,0.3,11.0,0.1,0.0,0.0,0.0,0.0,0.0
Jarvis Landry,CLE,0.4,5.536732080067436,50.0,0.4,0.0,0.0,0.0,0.0,0.0
