Player,Team,Rush Yds,Receptions,Rec Yds,Rec TD,Pass Yds,Pass TD,Pass Int,Rush TD,2PT
A.J. Green,CIN,0.0,4.88,71.13736869837929,0.23011454712136742,0.0,0.0,0.0,0.0,0.0
Adam Humphries,TB,0.0,4.4,50.7,0.10002110105300371,0.0,0.0,0.0,0.0,0.0
Adam Thielen,MIN,0.41,7.2,91.53,0.4,0.0,0.0,0.0,0.0,0.0
Aldrick Robinson,MIN,0.0,2.1739037930141407,23.56301823950554,0.1022581540947834,0.0,0.0,0.0,0.0,0.0
Alex Erickson,CIN,0.0,0.2,2.2,0.09954845653861788,0.0,0.0,0.0,0.0,0.0
Allen Hurns,DAL,0.0,0.9760546431781956,10.0,0.09968810754984697,0.0,0.0,0.0,0.0,0.0
Allen Robinson,CHI,0.0,3.546901553903859,48.89,0.2,0.0,0.0,0.0,0.0,0.0
Alshon Jeffery,PHI,0.0,3.87,50.14,0.3,0.0,0.0,0.0,0.0,0.0
Amari Cooper,DAL,0.0,5.0761957585580735,75.18240981516264,0.4,0.0,0.0,0.0,0.0,0.0
Andre Holmes,DEN,0.0,0.0,0.0,0.09744708830766202,0.0,0.0,0.0,0.0,0.0
Andre Roberts,NYJ,0.0,0.2,2.1,0.0,0.0,0.0,0.0,0.0,0.0
Andy Jones,DET,0.0,1.3465917475820692,10.42,0.1,0.0,0.0,0.0,0.0,0.0
Anthony Miller,CHI,0.0,2.802147697001793,34.35651052768337,0.09850644338798081,0.0,0.0,0.0,0.0,0.0
Antonio Brown,PIT,0.0,6.107543136768879,81.72214473741036,0.9702202440882821,0.0,0.0,0.0,0.0,0.0
Antonio Callaway,CLE,0.0,2.663433462190264,37.9,0.09917042058254916,0.0,0.0,0.0,0.0,0.0
Austin Carr,NO,0.0,0.69,7.73,0.09558829983292055,0.0,0.0,0.0,0.0,0.0
Bennie Fowler,NYG,0.0,0.11100626626611199,13.583765835972976,0.09927497146053393,0.0,0.0,0.0,0.0,0.0
Bobo Wilson,TB,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0
Brandin Cooks,LAR,3.2,5.24599132561074,77.75638414615726,0.47,0.0,0.0,0.0,0.0,0.0
Brandon Zylstra,MIN,0.0,0.0,10.591468597138057,0.1,0.0,0.0,0.0,0.0,0.0
Breshad Perriman,CLE,0.0,1.39,17.4,0.09968363787274676,0.0,0.0,0.0,0.0,0.0
Brice Butler,MIA,0.0,0.0,8.514591380314982,0.09877095505153516,0.0,0.0,0.0,0.0,0.0
Bruce Ellington,DET,0.4,3.9,44.9,0.0985216803435292,0.0,0.0,0.0,0.0,0.0
Calvin Ridley,ATL,0.4,3.4474999220360782,46.7,0.10335151245613522,0.0,0.0,0.0,0.0,0.0
Cameron Batson,TEN,0.0,1.12,14.48,0.09672177635005724,0.0,0.0,0.0,0.0,0.0
Charone Peake,NYJ,0.0,0.2,2.4,0.0,0.0,0.0,0.0,0.0,0.0
Chester Rogers,IND,0.0,1.8827281330039056,20.49,0.1,0.0,0.0,0.0,0.0,0.0
Chris Conley,KC,0.0,3.3556507557855997,41.8866532802103,0.10333420036484281,0.0,0.0,0.0,0.0,0.0
Chris Godwin,TB,0.0,4.08443216784764,53.99,0.13090237425235068,0.0,0.0,0.0,0.0,0.0
Chris Hogan,NE,0.0,1.3,18.7,0.0998773508724165,0.0,0.0,0.0,0.0,0.0
Chris Moore,BAL,0.3,0.58,7.915201776017543,0.09717391214556853,0.0,0.0,0.0,0.0,0.0
Christian Kirk,ARI,1.1,3.546262031305016,42.07797554820153,0.09885430316374205,0.0,0.0,0.0,0.0,0.0
Cody Core,CIN,0.0,0.3,7.617878030244796,0.09971986176711234,0.0,0.0,0.0,0.0,0.0
Cole Beasley,DAL,0.0,3.2582001211260616,35.285563472094246,0.10032321511753278,0.0,0.0,0.0,0.0,0.0
Cordarrelle Patterson,NE,13.637634927073085,1.434730659857066,3.8451682125279945,0.09465347278580721,0.0,0.0,0.0,0.0,0.0
Corey Coleman,NYG,0.0,0.6,7.1,0.09972230351567318,0.0,0.0,0.0,0.0,0.0
Corey Davis,TEN,0.0,3.9,54.3,0.3,0.0,0.0,0.0,0.0,0.0
Courtland Sutton,DEN,0.0,3.1671486887584615,46.4477407005442,0.09913621239212705,0.0,0.0,0.0,0.0,0.0
Curtis Samuel,CAR,8.85589649701616,2.744128251404655,35.311681431800565,0.2,0.0,0.0,0.0,0.0,0.0
D.J. Moore,CAR,9.912550342731699,4.18990554907621,52.2,0.3,0.0,0.0,0.0,0.0,0.0
DaeSean Hamilton,DEN,0.0,1.9147614223804728,20.486862101148382,0.09973280343464569,0.0,0.0,0.0,0.0,0.0
Dante Pettis,SF,0.0,3.106099725949951,39.338098867829835,0.09669138297933194,0.0,0.0,0.0,0.0,0.0
Darius Jennings,TEN,0.0,0.23,4.3,0.09929019389399357,0.0,0.0,0.0,0.0,0.0
Darrius Heyward-Bey,PIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davante Adams,GB,0.0,6.081880471696398,82.02097646219704,1.0,0.0,0.0,0.0,0.0,0.0
David Moore,SEA,0.0,2.6248808136163233,40.139612639752364,0.29,0.0,0.0,0.0,0.0,0.0
DeAndre Carter,HOU,0.0,0.0,11.802717676960608,0.0995128809728359,0.0,0.0,0.0,0.0,0.0
