Player,Team,Opp,FG Made,FG Miss,XP Made,XP Miss,FFPts,POS
Brett Maher,DAL,PHI,3,0,2,0,11.0,K
Mike Badgley,LAC,CIN,2,0,3,0,9.0,K
Chandler Catanzaro,CAR,@CLE,2,0,3,0,9.0,K
Ka'imi Fairbairn,HOU,IND,2,0,3,0,9.0,K
Stephen Gostkowski,NE,@MIA,2,0,3,0,9.0,K
Sebastian Janikowski,SEA,MIN,2,0,3,0,9.0,K
Greg Joseph,CLE,CAR,2,0,3,0,9.0,K
Brandon McManus,DEN,@SF,2,0,3,0,9.0,K
Cairo Santos,TB,NO,2,0,3,0,9.0,K
Greg Zuerlein,LAR,@CHI,2,0,3,0,9.0,K
Matt Bryant,ATL,@GB,2,0,2,0,8.0,K
Randy Bullock,CIN,@LAC,2,0,2,0,8.0,K
Daniel Carlson,OAK,PIT,2,0,2,0,8.0,K
Mason Crosby,GB,ATL,2,0,2,0,8.0,K
Jake Elliott,PHI,@DAL,2,0,2,0,8.0,K
Zane Gonzalez,ARI,DET,2,0,2,0,8.0,K
Steve Hauschka,BUF,NYJ,2,0,2,0,8.0,K
Dustin Hopkins,WAS,NYG,2,0,2,0,8.0,K
Aldrick Rosas,NYG,@WAS,2,0,2,0,8.0,K
Jason Sanders,MIA,NE,2,0,2,0,8.0,K
Ryan Succop,TEN,JAC,2,0,2,0,8.0,K
Adam Vinatieri,IND,@HOU,2,0,2,0,8.0,K
Chris Boswell,PIT,@OAK,1,0,4,0,7.0,K
Harrison Butker,KC,BAL,1,0,4,0,7.0,K
Dan Bailey,MIN,@SEA,1,0,3,0,6.0,K
Wil Lutz,NO,@TB,1,0,3,0,6.0,K
Cody Parkey,CHI,LAR,1,0,3,0,6.0,K
Justin Tucker,BAL,@KC,1,0,3,0,6.0,K
Josh Lambo,JAC,@TEN,1,0,2,0,5.0,K
Jason Myers,NYJ,@BUF,1,0,2,0,5.0,K
Matt Prater,DET,@ARI,1,0,2,0,5.0,K
Robbie Gould,SF,DEN,0,0,3,0,3.0,K
