Player,Team,GP,PAT Made,FG 0-19,FG 20-29,FG 30-39,FG 40-49,FG Miss 50+,POS
Mike Badgley,LAC,1.0,3.04,0.03,0.47,0.6,0.41,0.22,K
Dan Bailey,MIN,1.0,1.87,0.01,0.48,0.52,0.47,0.15,K
Chris Boswell,PIT,1.0,2.42,0.04,0.48,0.5,0.42,0.18,K
Matt Bryant,ATL,1.0,1.81,0.05,0.48,0.52,0.41,0.27,K
Randy Bullock,CIN,1.0,1.62,0.03,0.48,0.51,0.48,0.19,K
Harrison Butker,KC,1.0,2.73,0.0,0.48,0.49,0.54,0.23,K
Daniel Carlson,OAK,1.0,1.48,0.0,0.48,0.49,0.45,0.19,K
Chandler Catanzaro,CAR,1.0,2.88,0.0,0.5,0.73,0.62,0.15,K
Mason Crosby,GB,1.0,2.27,0.03,0.47,0.58,0.43,0.16,K
Jake Elliott,PHI,1.0,2.03,0.02,0.48,0.49,0.41,0.26,K
Ka'imi Fairbairn,HOU,1.0,2.16,0.0,0.48,0.53,0.36,0.21,K
Zane Gonzalez,ARI,1.0,1.16,0.0,0.48,0.5,0.44,0.2,K
Stephen Gostkowski,NE,1.0,2.75,0.08,0.48,0.48,0.43,0.18,K
Robbie Gould,SF,1.0,2.53,0.01,0.48,0.52,0.43,0.23,K
Stephen Hauschka,BUF,1.0,2.09,0.03,0.48,0.45,0.44,0.25,K
Dustin Hopkins,WAS,1.0,1.67,0.04,0.48,0.45,0.37,0.28,K
Sebastian Janikowski,SEA,1.0,2.74,0.05,0.47,0.57,0.37,0.2,K
Greg Joseph,CLE,1.0,2.75,0.0,0.47,0.55,0.41,0.2,K
Josh Lambo,JAX,1.0,0.53,0.04,0.48,0.49,0.43,0.25,K
Wil Lutz,NO,1.0,3.31,0.02,0.48,0.49,0.49,0.22,K
Brett Maher,DAL,1.0,2.75,0.0,0.48,0.51,0.4,0.21,K
Brandon McManus,DEN,1.0,2.54,0.01,0.48,0.54,0.42,0.25,K
Jason Myers,NYJ,1.0,0.69,0.08,0.48,0.52,0.49,0.26,K
Cody Parkey,CHI,1.0,2.76,0.0,0.48,0.52,0.36,0.16,K
Matt Prater,DET,1.0,1.7,0.05,0.47,0.57,0.76,0.34,K
Aldrick Rosas,NYG,1.0,2.06,0.02,0.48,0.61,0.48,0.28,K
Jason Sanders,MIA,1.0,2.07,0.07,0.47,0.5,0.47,0.2,K
Cairo Santos,TB,1.0,1.94,0.0,0.48,0.55,0.38,0.16,K
Ryan Succop,TEN,1.0,1.59,0.02,0.48,0.51,0.44,0.2,K
Justin Tucker,BAL,1.0,2.35,0.02,0.48,0.56,0.45,0.27,K
Adam Vinatieri,IND,1.0,2.26,0.07,0.48,0.5,0.38,0.21,K
Greg Zuerlein,LA,1.0,1.78,0.04,0.48,0.6,0.47,0.26,K
