Player,Team,GP,Pass Att,Pass Comp,Pass Inc,Pass Yds,Pass TD,Pass Int,Sacked,300-399 Pass Yds,400+ Pass Yds,40+ Pass TD,50+ Pass TD,Rush Att,Rush Yds,Rush TD,100-199 Rush Yds,Receptions,Rec Yds,Fum Lost,Fum,2PT,Tack,Ast,Fum Rec,Blk,POS
Josh Allen,BUF,1.0,36.0,18.0,18.0,206.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,9.0,101.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,QB
Tom Brady,NE,1.0,43.0,27.0,16.0,358.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Drew Brees,NO,1.0,31.0,24.0,7.0,201.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,-1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,QB
Derek Carr,OAK,1.0,34.0,25.0,9.0,322.0,2.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,QB
Kirk Cousins,MIN,1.0,33.0,20.0,13.0,208.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,QB
Sam Darnold,NYJ,1.0,24.0,16.0,8.0,170.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Joshua Dobbs,PIT,1.0,9.0,4.0,5.0,24.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Jeff Driskel,CIN,1.0,27.0,18.0,9.0,170.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Jared Goff,LAR,1.0,44.0,20.0,24.0,180.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,QB
Taylor Heinicke,CAR,1.0,1.0,1.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
