Player,Team,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,Pass Yds,Pass TD,Pass Int,2PT
Aaron Jones,GB,66.7,0.5,3.0,22.0,0.0,0.0,0.0,0.0,0.01
Adrian Peterson,WAS,58.8,0.39,0.97,8.43,0.0,0.0,0.0,0.0,0.0
Alex Armah,CAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alfred Blue,HOU,20.0,0.0,0.7,4.4,0.0,0.0,0.0,0.0,0.0
Alvin Kamara,NO,53.77,0.0,3.9,34.5,0.3,0.0,0.0,0.0,0.07
Ameer Abdullah,MIN,0.9,0.0,0.1,0.7,0.0,0.0,0.0,0.0,0.0
Andy Janovich,DEN,0.0,0.0,0.5,4.8624663794555145,0.0,0.0,0.0,0.0,0.01
Anthony Sherman,KC,0.0,0.0,0.0,0.0,-0.08275470221701384,0.0,0.0,0.0,0.0
Austin Ekeler,LAC,40.0,0.0,2.3,25.1,0.0,0.0,0.0,0.0,0.01
Brandon Wilson,CIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C.J. Ham,MIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cameron Artis-Payne,CAR,2.5,-0.14027633629469954,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carlos Hyde,JAX,9.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chase Edmonds,ARI,11.9,0.0,0.7,4.7,0.0,0.0,0.0,0.0,0.0
Chris Carson,SEA,60.3,0.4,1.0,10.0,0.0,0.0,0.0,0.0,0.01
Chris Ivory,BUF,10.0,0.0,0.6,4.7,0.0,0.0,0.0,0.0,0.0
Chris Thompson,WAS,15.0,0.0,3.0,25.0,0.0,0.0,0.0,0.0,0.0
Christian McCaffrey,CAR,63.9,0.4,5.8,52.9,0.0,0.0,0.0,0.0,0.0
Corey Clement,PHI,9.8,0.0,0.7,6.5,0.0,0.0,0.0,0.0,0.06
Dalvin Cook,MIN,56.6,0.2,2.6,21.2,0.0,0.0,0.0,0.0,0.01
Damien Williams,KC,8.69,0.0,0.4,3.0,0.0,0.0,0.0,0.0,0.0
Danny Vitale,GB,-0.008828643972641145,0.0,-0.040591567812840956,0.0,-0.002137050387503532,0.0,0.0,0.0,0.0
Darren Sproles,PHI,8.2,0.0,1.0,9.37,0.0,0.0,0.0,0.0,0.0
David Johnson,ARI,65.0,0.0,2.99,29.3,0.0,0.0,0.0,0.0,0.0
DeAndre Washington,OAK,7.9,0.0,0.3,4.2,0.0,0.0,0.0,0.0,0.0
Derek Watt,LAC,0.3,0.0,0.0,0.0,-0.0021370503875035316,0.0,0.0,0.0,0.0
Derrick Coleman,ARI,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
Derrick Henry,TEN,35.0,0.0,0.8,5.0,0.0,0.0,0.0,0.0,0.0
Detrez Newsome,LAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Devontae Booker,DEN,3.9,0.0,0.7,5.8,0.0,0.0,0.0,0.0,0.0
Dion Lewis,TEN,40.0,0.0,2.3,18.6,0.0,0.0,0.0,0.0,0.0
Dontrell Hilliard,CLE,0.0,-0.12755905083586397,-0.052305404059211025,0.0,-0.08687466497077362,0.0,0.0,0.0,0.0
Doug Martin,OAK,51.9,0.0,0.9,6.5,0.0,0.0,0.0,0.0,0.03
Duke Johnson,CLE,7.37,0.0,3.0,25.0,0.0,0.0,0.0,0.0,0.07
Dwayne Washington,NO,1.0811634062187818,0.0,-0.011897534031014123,0.0,0.0,0.0,0.0,0.0,0.0
Elijah McGuire,NYJ,22.4,0.0,1.82,15.0,0.0,0.0,0.0,0.0,0.03
Elijhaa Penny,NYG,0.0,0.0,0.2,1.0,0.0,0.0,0.0,0.0,0.0
Ezekiel Elliott,DAL,85.01,0.58,3.9,31.1,0.0,0.0,0.0,0.0,0.0
Frank Gore,MIA,35.8,0.0,1.0,9.9,0.0,0.0,0.0,0.0,0.0
Giovani Bernard,CIN,10.9,0.0,1.8,14.4,0.0,0.0,0.0,0.0,0.0
Gus Edwards,BAL,61.8,0.4,0.2,1.1,0.0,0.0,0.0,0.0,0.01
Isaiah Crowell,NYJ,45.8,0.0,1.8,12.7,0.0,0.0,0.0,0.0,0.03
Ito Smith,ATL,17.8,0.0,1.2,8.2,0.0,0.0,0.0,0.0,0.0
Jacquizz Rodgers,TB,2.4,0.0,0.1,1.3,0.0,0.0,0.0,0.0,0.0
Jalen Richard,OAK,18.6,0.0,3.3,28.7,0.0,0.0,0.0,0.0,0.0
Jamaal Williams,GB,7.9,0.0,0.3,2.0,0.0,0.0,0.0,0.0,0.0
James Develin,NE,0.2,0.0,0.1,1.1,0.0,0.0,0.0,0.0,0.0
James White,NE,16.4,0.0,5.6,45.0,0.22,0.0,0.0,0.0,0.04
Jamize Olawale,DAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Javorius Allen,BAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jaylen Samuels,PIT,42.6,0.0,2.59,21.79,0.0,0.0,0.0,0.0,0.01
