Player,Team,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,Pass Yds,Pass TD,Pass Int,2PT
Aaron Jones,GB,66.7,0.5,3.029090439598931,22.0,0.10118963148239978,0.0,0.0,0.0,0.01
Adrian Peterson,WAS,58.8,0.39,0.97,8.43,0.0,0.0,0.0,0.0,0.0
Alex Armah,CAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alfred Blue,HOU,32.8148381305961,0.06849555650199121,0.7,7.1760572862581,0.0,0.0,0.0,0.0,0.0
Alvin Kamara,NO,54.18451877743399,0.276821605131139,4.718027161680591,39.41479360078097,0.352448157546281,0.0,0.0,0.0,0.07
Ameer Abdullah,MIN,0.9,0.0,0.1,0.7,0.0,0.0,0.0,0.0,0.0
Andy Janovich,DEN,0.0,0.0,0.5,5.401338752600822,0.09904516175573763,0.0,0.0,0.0,0.01
Anthony Sherman,KC,0.0,0.0,0.162069167023299,0.0,0.0,0.0,0.0,0.0,0.0
Austin Ekeler,LAC,50.75468821160688,0.15472654489529716,3.7905838172758686,32.60413628692706,0.11005082403993871,0.0,0.0,0.0,0.01
Brandon Wilson,CIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C.J. Ham,MIN,0.0,0.0,0.3107593993459168,0.0,0.0,0.0,0.0,0.0,0.0
Cameron Artis-Payne,CAR,2.5,0.0,0.015816460034776103,0.0,0.0,0.0,0.0,0.0,0.0
Carlos Hyde,JAX,12.560370230818428,0.0,0.08081489908854111,0.0,0.0,0.0,0.0,0.0,0.0
Chase Edmonds,ARI,11.9,0.2,0.7,4.7,0.0,0.0,0.0,0.0,0.0
Chris Carson,SEA,60.3,0.4,1.097355605537005,10.0,0.1,0.0,0.0,0.0,0.01
Chris Ivory,BUF,13.493589829295981,0.2,0.6,4.7,0.0,0.0,0.0,0.0,0.0
Chris Thompson,WAS,15.0,0.0,3.7385488601300603,31.717380561774057,0.07943757205149418,0.0,0.0,0.0,0.0
Christian McCaffrey,CAR,63.9,0.4,5.8,52.9,0.11119840146404088,0.0,0.0,0.0,0.0
Corey Clement,PHI,11.73459868646977,0.2,1.0533274216923565,8.538898909519183,0.0,0.0,0.0,0.0,0.06
Dalvin Cook,MIN,56.6,0.2,3.25392977782843,21.2,0.09999753817304863,0.0,0.0,0.0,0.01
Damien Williams,KC,13.359301062133987,0.0,0.79864355020743,3.8792135768386125,0.09915566670469184,0.0,0.0,0.0,0.0
Danny Vitale,GB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Darren Sproles,PHI,10.310693837583521,0.0,1.2576906338182066,9.37,0.1,0.0,0.0,0.0,0.0
David Johnson,ARI,65.0,0.40414326229035813,3.263900966484459,36.16850224082336,0.0903874277640795,0.0,0.0,0.0,0.0
DeAndre Washington,OAK,9.09655228230168,0.2,0.32064081958399093,7.1,0.0,0.0,0.0,0.0,0.0
Derek Watt,LAC,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Derrick Coleman,ARI,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
Derrick Henry,TEN,42.73728729715761,0.09921092891359273,0.8,5.0,0.0,0.0,0.0,0.0,0.0
Detrez Newsome,LAC,0.0,0.0,0.14652670780748478,0.0,0.0,0.0,0.0,0.0,0.0
Devontae Booker,DEN,3.9,0.0,1.0606743471779942,5.8,0.09900861553151993,0.0,0.0,0.0,0.0
Dion Lewis,TEN,44.16673103723188,0.09705644175448364,2.8475037985009632,18.6,0.09983631225297107,0.0,0.0,0.0,0.0
Dontrell Hilliard,CLE,0.0,0.0,0.1774814796803672,16.1,0.0,0.0,0.0,0.0,0.0
