Player,Team,Receptions,Rec Yds,Rec TD,Pass Yds,Pass TD,Pass Int,Rush Yds,Rush TD,2PT
Adam Shaheen,CHI,1.0303775637984671,10.41441468046523,0.18607754495305692,0.0,0.0,0.0,0.0125,0.0,0.0
Alan Cross,TB,0.4191862039808751,4.751874915303586,0.07497369572436458,0.0,0.0,0.0,0.0075,0.0,0.0
Anthony Firkser,TEN,1.2231209112539991,14.907755706733639,0.11247132193122959,0.0,0.0,0.0,0.0075,0.0,0.0
Antonio Gates,LAC,1.8233333333333335,19.981666666666666,0.17333333333333334,0.0,0.0,0.0,0.0025,0.0,0.0
Antony Auclair,TB,0.430971157080195,4.313071761116633,0.023395687387247895,0.0,0.0,0.0,0.015,0.0,0.0
Austin Hooper,ATL,4.196666666666666,42.705000000000005,0.275,0.0,0.0,0.0,0.0275,0.0,0.0
Ben Braunecker,CHI,0.14199017001383393,1.4965010395288527,0.008090719458649294,0.0,0.0,0.0,0.005,0.0,0.0
Ben Koyack,JAX,0.24393329037348557,3.0392969578574305,0.004045359729325419,0.0,0.0,0.0,0.0075,0.0,0.0
Benjamin Watson,NO,1.93381181419935,21.298471893924585,0.15058626750258525,0.0,0.0,0.0,0.005,0.0,0.0
Blake Bell,JAX,0.687933336676401,7.242670755416593,0.00809071945863639,0.0,0.0,0.0,0.005,0.0,0.0
Blake Jarwin,DAL,1.5616666666666665,15.591666666666667,0.09500000000000001,0.0,0.0,0.0,0.0425,0.0,0.0
Brian Parker,DEN,0.7264136189490497,7.9575067264821895,0.07790983167442632,0.0,0.0,0.0,0.0075,0.0,0.0
C.J. Uzomah,CIN,3.39,34.68,0.16666666666666666,0.0,0.0,0.0,0.015,0.0,0.0
Cameron Brate,TB,3.5533333333333332,40.97,0.295,0.0,0.0,0.0,0.0075,0.0,0.0
Charles Clay,BUF,2.5283333333333333,26.781666666666666,0.12333333333333334,0.0,0.0,0.0,0.04,0.0,0.0
Chris Herndon,NYJ,3.1366666666666667,35.03333333333333,0.21833333333333335,0.0,0.0,0.0,0.02,0.0,0.0
Chris Manhertz,CAR,0.23672016416619998,2.1570127469485025,0.004045359729360435,0.0,0.0,0.0,0.005,0.0,0.0
Clark Harris,CIN,0.008665108099097152,0.11271066322010946,0.002502893399496619,0.0,0.0,0.0,0.006365140641971085,0.0,0.0
Dallas Goedert,PHI,1.3016666666666667,13.765,0.10833333333333334,0.0,0.0,0.0,0.01,0.0,0.0
Dalton Schultz,DAL,0.9535645566876431,9.885276434139739,0.09400759171570572,0.0,0.0,0.0,0.0225,0.0,0.0
Daniel Brown,CHI,0.09602055274223424,1.5376675369665367,0.006068039594120905,0.0,0.0,0.0,0.0075,0.0,0.0
Darren Fells,CLE,0.591034935316392,7.423972595603348,0.07644176366937057,0.0,0.0,0.0,0.0125,0.0,0.0
David Njoku,CLE,3.6033333333333335,40.71333333333333,0.445,0.0,0.0,0.0,0.015,0.0,0.0
Demetrius Harris,KC,1.105,12.264999999999999,0.08333333333333333,0.0,0.0,0.0,0.0125,0.0,0.0
Derek Carrier,OAK,0.6531135504753466,6.358553611772716,0.027728155378051834,0.0,0.0,0.0,0.0075,0.0,0.0
Durham Smythe,MIA,0.4359762307044854,4.363174284229351,0.014162728268309837,0.0,0.0,0.0,0.005,0.0,0.0
Ed Dickson,SEA,1.3533333333333333,15.733333333333333,0.09666666666666668,0.0,0.0,0.0,0.0075,0.0,0.0
Eric Ebron,IND,5.535,62.94666666666666,0.7166666666666668,0.0,0.0,0.0,0.6575,0.0025,0.0
Eric Saubert,ATL,0.47948644229425397,4.441363835112202,0.027441047117044166,0.0,0.0,0.0,0.0075,0.0,0.0
Eric Tomlinson,NYJ,0.3797678524201551,3.963195658491071,0.007727871682070497,0.0,0.0,0.0,0.0075,0.0,0.0
Erik Swoope,IND,1.7977218440799871,19.245622764951346,0.23864299200609096,0.0,0.0,0.0,0.012730281283942168,0.0,0.0
Evan Engram,NYG,3.77,43.17000000000001,0.2316666666666667,0.0,0.0,0.0,0.5575,0.0,0.0
Garrett Celek,SF,0.3259942205059921,4.859737098435462,0.027728155377403804,0.0,0.0,0.0,0.005,0.0,0.0
George Kittle,SF,5.343333333333334,67.88833333333334,0.47500000000000003,0.0,0.0,0.0,0.2925,0.0,0.0
Gerald Everett,LAR,2.305,26.635,0.1616666666666667,0.0,0.0,0.0,0.060000000000000005,0.0,0.0
Hayden Hurst,BAL,1.1666666666666667,12.403333333333334,0.09333333333333334,0.0,0.0,0.0,0.3125,0.0,0.0
Ian Thomas,CAR,3.035,29.481666666666666,0.16000000000000003,0.0,0.0,0.0,0.025,0.0,0.0
Jacob Hollister,NE,0.486158139825511,4.738829345426617,0.019154032405299292,0.0,0.0,0.0,0.035,0.0,0.0
James O'Shaughnessy,JAX,1.7400000000000002,18.206666666666667,0.07333333333333335,0.0,0.0,0.0,0.015,0.0,0.0
Jared Cook,OAK,4.493333333333333,54.95666666666667,0.4766666666666666,0.0,0.0,0.0,0.0175,0.0,0.0
Jeremy Sprinkle,WAS,0.09999999999999999,1.163147146324585,0.004045359729449163,0.0,0.0,0.0,0.0075,0.0,0.0
Jermaine Gresham,ARI,1.3596047252631314,13.3683634084154,0.09797732013527531,0.0,0.0,0.0,0.015,0.0,0.0
Jesse James,PIT,1.8433333333333335,21.993333333333336,0.1366666666666667,0.0,0.0,0.0,0.015,0.0,0.0
Jimmy Graham,GB,3.376666666666667,40.041666666666664,0.25833333333333336,0.0,0.0,0.0,0.0275,0.0,0.0
John Phillips,ARI,0.058248051098181985,1.2678525845849928,0.006068039594174133,0.0,0.0,0.0,0.005,0.0,0.0
Jonnu Smith,TEN,1.9529072966739847,22.35732878309773,0.14335600314846833,0.0,0.0,0.0,0.0325,0.0,0.0
Jordan Akins,HOU,1.2888514246142175,14.89082977571973,0.10158820428468922,0.0,0.0,0.0,0.0075,0.0,0.0
Jordan Franks,CIN,0.16506481333304568,2.311441288890667,0.006068039594415417,0.0,0.0,0.0,0.0075,0.0,0.0
Jordan Leggett,NYJ,0.9934543310876509,8.80901551870849,0.07937789958918465,0.0,0.0,0.0,0.0075,0.0,0.0
Jordan Reed,WAS,4.549497286580724,46.67964387409103,0.21532687409685455,0.0,0.0,0.0,0.02,0.0,0.0
Jordan Thomas,HOU,1.7112211071545953,18.66564078761019,0.17220868347426077,0.0,0.0,0.0,0.015,0.0,0.0
Josh Hill,NO,1.3602534998655342,14.295816629316064,0.15728773070288585,0.0,0.0,0.0,0.012499999999999997,0.0,0.0
