Player,Team,Rush Yds,Receptions,Rec Yds,Rec TD,Pass Yds,Pass TD,Pass Int,Rush TD,2PT
Adam Humphries,TB,0.0,4.79,58.59,0.28097963333129883,0.0,0.0,0.0,0.0,0.0
Adam Thielen,MIN,0.3,5.95,78.4521255493164,0.4,0.0,0.0,0.0,0.0,0.0
Aldrick Robinson,MIN,0.0,1.957160234451294,19.000762939453125,0.11497321724891663,0.0,0.0,0.0,0.0,0.0
Alex Erickson,CIN,0.0,1.1611857414245605,3.73,0.0,0.0,0.0,0.0,0.0,0.0
Allen Hurns,DAL,0.0,1.1197166442871094,9.6,0.04836073784157783,0.0,0.0,0.0,0.0,0.0
Allen Robinson,CHI,0.0,3.4540345668792725,48.1,0.6799697875976562,0.0,0.0,0.0,0.0,0.0
Alshon Jeffery,PHI,0.0,3.475285768508911,43.3,0.11737146973609924,0.0,0.0,0.0,0.0,0.0
Amari Cooper,DAL,0.0,5.35903787612915,67.2,0.4,0.0,0.0,0.0,0.0,0.0
Andre Holmes,DEN,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0
Andre Roberts,NYJ,0.0,0.20000000298023224,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Andy Jones,DET,0.0,0.35,6.180037021636963,0.1,0.0,0.0,0.0,0.0,0.0
Anthony Miller,CHI,0.0,2.375993490219116,32.12175750732422,0.24201136827468872,0.0,0.0,0.0,0.0,0.0
Antonio Brown,PIT,0.0,6.31,88.72,0.9799742698669434,0.0,0.0,0.0,0.0,0.0
Antonio Callaway,CLE,0.0,2.699397563934326,38.4,0.3,0.0,0.0,0.0,0.0,0.0
Auden Tate,CIN,0.0,1.8028764724731445,16.753738403320312,0.0895601212978363,0.0,0.0,0.0,0.0,0.0
Austin Carr,NO,0.0,0.58,7.932727336883545,0.046115756034851074,0.0,0.0,0.0,0.0,0.0
Bennie Fowler,NYG,0.0,2.7617111206054688,26.79462432861328,0.1,0.0,0.0,0.0,0.0,0.0
Bobo Wilson,TB,0.0,0.0,8.478500366210938,0.1,0.0,0.0,0.0,0.0,0.0
Brandin Cooks,LAR,2.7,4.8,74.2,0.4,0.0,0.0,0.0,0.0,0.0
Brandon Zylstra,MIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breshad Perriman,CLE,0.0,1.5074878931045532,20.155929565429688,0.17828577756881714,0.0,0.0,0.0,0.0,0.0
Brice Butler,MIA,0.0,1.2402067184448242,12.7,0.07,0.0,0.0,0.0,0.0,0.0
Bruce Ellington,DET,0.3,4.01,43.5,0.15579593181610107,0.0,0.0,0.0,0.0,0.0
Calvin Ridley,ATL,0.4,4.0,50.0,0.15718230605125427,0.0,0.0,0.0,0.0,0.0
Cameron Batson,TEN,0.0,1.2402067184448242,12.022503852844238,0.1,0.0,0.0,0.0,0.0,0.0
Charone Peake,NYJ,0.0,0.0,0.23800738155841827,0.0,0.0,0.0,0.0,0.0,0.0
Chester Rogers,IND,0.0,2.7583935260772705,26.499061584472656,0.1,0.0,0.0,0.0,0.0,0.0
Chris Conley,KC,0.0,3.0997838973999023,28.44458770751953,0.4,0.0,0.0,0.0,0.0,0.0
Chris Godwin,TB,0.0,4.036795139312744,55.3,0.33810532093048096,0.0,0.0,0.0,0.0,0.0
Chris Hogan,NE,0.0,1.681593656539917,19.5,0.09468555450439453,0.0,0.0,0.0,0.0,0.0
Chris Moore,BAL,0.4,0.5286691188812256,8.199254514793086,0.07,0.0,0.0,0.0,0.0,0.0
Cody Core,CIN,0.0,1.5165678262710571,14.645220756530762,0.07,0.0,0.0,0.0,0.0,0.0
Cole Beasley,DAL,0.0,2.9322123527526855,27.445247650146484,0.2,0.0,0.0,0.0,0.0,0.0
Cordarrelle Patterson,NE,15.32934284210205,1.3162481784820557,10.9,0.10786389940425907,0.0,0.0,0.0,0.0,0.0
Corey Coleman,NYG,0.0,1.504079818725586,16.059194564819336,0.08822193741798401,0.0,0.0,0.0,0.0,0.0
Corey Davis,TEN,0.0,3.9838063716888428,47.8,0.3,0.0,0.0,0.0,0.0,0.0
Courtland Sutton,DEN,0.0,3.510178565979004,56.3,0.4,0.0,0.0,0.0,0.0,0.0
Curtis Samuel,CAR,3.16,2.953774929046631,28.931446075439453,0.2,0.0,0.0,0.0,0.0,0.0
D.J. Moore,CAR,4.48,3.475285768508911,42.6,0.22486191987991333,0.0,0.0,0.0,0.0,0.0
DaeSean Hamilton,DEN,0.0,2.856532096862793,36.21696472167969,0.3,0.0,0.0,0.0,0.0,0.0
Damion Ratley,CLE,0.0,0.59,8.41,0.10439736004481799,0.0,0.0,0.0,0.0,0.0
Danny Amendola,MIA,0.0,3.9570112228393555,36.24839782714844,0.2,0.0,0.0,0.0,0.0,0.0
Dante Pettis,SF,0.0,3.169321060180664,46.5,0.2760688066482544,0.0,0.0,0.0,0.0,0.0
Darius Jennings,TEN,0.0,0.30000001192092896,10.3,0.0,0.0,0.0,0.0,0.0,0.0
Darrius Heyward-Bey,PIT,0.0,0.03925180435180664,0.1065636505338059,0.0,0.0,0.0,0.0,0.0,0.0
Daurice Fountain,IND,0.0,0.0,7.925067901611328,0.06,0.0,0.0,0.0,0.0,0.0
Davante Adams,GB,0.0,6.4,82.8,0.9799742698669434,0.0,0.0,0.0,0.0,0.0
David Moore,SEA,0.0,2.27,36.2,0.38102442026138306,0.0,0.0,0.0,0.0,0.0
DeAndre Carter,HOU,0.0,1.5395766496658325,19.626285552978516,0.17653530836105347,0.0,0.0,0.0,0.0,0.0
DeAndre Hopkins,HOU,0.0,5.72630500793457,81.3,0.9799742698669434,0.0,0.0,0.0,0.0,0.0
DeVante Parker,MIA,0.0,2.8516674041748047,38.96583938598633,0.39367544651031494,0.0,0.0,0.0,0.0,0.0
Dede Westbrook,JAX,0.0,3.7351183891296387,41.3,0.3200540244579315,0.0,0.0,0.0,0.0,0.0
Demarcus Robinson,KC,0.0,1.5895190238952637,13.414772987365723,0.2,0.0,0.0,0.0,0.0,0.0
Demaryius Thomas,HOU,0.0,3.5,43.6,0.5,0.0,0.0,0.0,0.0,0.0
Deonte Thompson,BUF,0.0,1.5704128742218018,18.546483993530273,0.08592534065246582,0.0,0.0,0.0,0.0,0.0
Devin Funchess,CAR,0.0,3.4540345668792725,38.09794235229492,0.5,0.0,0.0,0.0,0.0,0.0
Donte Moncrief,JAX,0.0,3.1615397930145264,39.6,0.3,0.0,0.0,0.0,0.0,0.0
Dwayne Harris,OAK,0.0,0.0,0.004425080493092537,0.06,0.0,0.0,0.0,0.0,0.0
Equanimeous St. Brown,GB,0.0,1.2462682723999023,16.54146385192871,0.12358805537223816,0.0,0.0,0.0,0.0,0.0
Gehrig Dieter,KC,0.0,0.0,8.478500366210938,0.0,0.0,0.0,0.0,0.0,0.0
George Odum,IND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Geremy Davis,LAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Golden Tate,PHI,1.2,4.799991607666016,50.0,0.27457618713378906,0.0,0.0,0.0,0.0,0.0
Isaiah McKenzie,BUF,2.4,2.1129660606384277,19.000762939453125,0.13,0.0,0.0,0.0,0.0,0.0
J'Mon Moore,GB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J.J. Nelson,ARI,0.8,0.5304343700408936,8.44,0.05,0.0,0.0,0.0,0.0,0.14
Jake Kumerow,GB,0.0,0.0,8.478500366210938,0.06,0.0,0.0,0.0,0.0,0.0
Jalen Tolliver,ARI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
James Washington,PIT,0.0,0.03205667083339048,7.248053073883057,0.1605130434036255,0.0,0.0,0.0,0.0,0.0
Jamison Crowder,WAS,1.3,3.4540345668792725,40.68167495727539,0.23,0.0,0.0,0.0,0.0,0.0
Jarius Wright,CAR,0.0,1.6262867450714111,15.661796569824219,0.1,0.0,0.0,0.0,0.0,0.0
Jaron Brown,SEA,0.0,1.3813447952270508,12.766436576843262,0.32096514105796814,0.0,0.0,0.0,0.0,0.0
Jarvis Landry,CLE,0.0,5.413095951080322,52.0,0.2751649022102356,0.0,0.0,0.0,0.0,0.0
Jawill Davis,NYG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jehu Chesson,WAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jermaine Kearse,NYJ,0.0,3.0865612030029297,30.0,0.1876828372478485,0.0,0.0,0.0,0.0,0.0
JoJo Natson,LAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
John Brown,BAL,0.0,2.1601457595825195,36.4073486328125,0.3,0.0,0.0,0.0,0.0,0.0
John Ross,CIN,0.1,2.8617594242095947,40.85248565673828,0.24629923701286316,0.0,0.0,0.0,0.0,0.0
Jordan Matthews,PHI,0.0,1.3036046028137207,14.143765449523926,0.09460815787315369,0.0,0.0,0.0,0.0,0.0
Jordy Nelson,OAK,0.0,3.764211654663086,40.14216232299805,0.4,0.0,0.0,0.0,0.0,0.0
Josh Bellamy,CHI,0.0,0.5,8.132925033569336,0.0895601212978363,0.0,0.0,0.0,0.0,0.0
Josh Doctson,WAS,0.0,3.2224786281585693,35.493988037109375,0.2398156225681305,0.0,0.0,0.0,0.0,0.0
Josh Gordon,NE,0.0,4.037784576416016,59.0,0.2673845589160919,0.0,0.0,0.0,0.0,0.0
Josh Reynolds,LAR,0.0,3.153390884399414,34.95447540283203,0.4,0.0,0.0,0.0,0.0,0.0
JuJu Smith-Schuster,PIT,0.0,5.8,80.2,0.4,0.0,0.0,0.0,0.0,0.0
Julian Edelman,NE,0.0,5.72630500793457,63.4,0.4183172583580017,0.0,0.0,0.0,0.0,0.0
Julio Jones,ATL,0.6,6.66,94.47,0.4,0.0,0.0,0.0,0.0,0.0
