Player,Team,PA,YdA,TD,Sack,Int,Fum Rec,Saf,Blk
Arizona Cardinals,ARI,28.7,389.3,0.2,2.9,0.8,0.7,0.1,0.07
Atlanta Falcons,ATL,22.3,348.8,0.3,3.2,1.4,0.7,0.05,0.08
Baltimore Ravens,BAL,23.2,350.8,0.39,3.2,1.6,0.73,0.1,0.08
Buffalo Bills,BUF,25.3,331.8,0.24,3.5,1.2,0.9,0.04,0.07
Carolina Panthers,CAR,31.5,428.0,0.23,2.3,0.81,0.9,0.03,0.1
Chicago Bears,CHI,22.0,331.0,0.30000000000000004,3.2,1.03,1.0,0.05,0.1
Cincinnati Bengals,CIN,22.7,373.0,0.24,2.4,0.81,0.8,0.03,0.1
Cleveland Browns,CLE,24.4,375.0,0.30000000000000004,2.7,1.2,0.7,0.03,0.09
Dallas Cowboys,DAL,26.0,377.0,0.24,2.7,1.1,0.8,0.1,0.08
Denver Broncos,DEN,22.8,385.0,0.30000000000000004,3.2,1.0,0.9,0.1,0.11
Detroit Lions,DET,23.2,347.8,0.29,2.9,1.2,0.73,0.03,0.1
Green Bay Packers,GB,26.38,383.0,0.21,2.4,1.11,0.7,0.1,0.08
Houston Texans,HOU,21.4,324.0,0.33,3.2,1.6,0.9,0.1,0.08
Indianapolis Colts,IND,23.8,384.0,0.21,3.4,1.0,0.8,0.06,0.07
Jacksonville Jaguars,JAX,20.51,293.0,0.31,3.0,1.6,0.73,0.1,0.07
Kansas City Chiefs,KC,27.0,425.4,0.3,2.6,0.9,0.8,0.03,0.08
Los Angeles Chargers,LAC,29.0,457.0,0.22106716687415529,2.3,1.1,0.62,0.02,0.07
Los Angeles Rams,LAR,20.96,334.0,0.31,2.9,1.2,1.1,0.1,0.11
Miami Dolphins,MIA,27.8,402.0,0.24,2.3,0.92,0.8,0.03,0.09
Minnesota Vikings,MIN,18.8,344.0,0.30000000000000004,2.9,1.2,0.7,0.1,0.06
New England Patriots,NE,27.0,429.0,0.31,2.5,1.4,0.62,0.1,0.12
New Orleans Saints,NO,24.6,386.3,0.29,2.6,1.2,0.62,0.03,0.1
New York Giants,NYG,25.4,374.7,0.24,2.7,1.3,0.64,0.06,0.1
New York Jets,NYJ,25.9,397.5,0.31,2.7,1.4,0.7,0.06,0.1
Oakland Raiders,OAK,25.8,388.5,0.23,2.4,1.1,0.62,0.1,0.1
Philadelphia Eagles,PHI,32.8,437.0,0.24,2.8,1.0,0.8,0.1,0.1
Pittsburgh Steelers,PIT,29.4,411.0,0.21,2.4,0.76,0.7,0.1,0.1
San Francisco 49ers,SF,25.4,403.0,0.17,2.4,0.82,0.62,0.05,0.07
Seattle Seahawks,SEA,25.7,389.8,0.33,3.1,1.3,1.1,0.1,0.1
Tampa Bay Buccaneers,TB,30.4,379.0,0.23,2.72,0.9,0.8,0.03,0.1
Tennessee Titans,TEN,22.21,346.0,0.3,3.0,0.9,0.6,0.03,0.1
Washington Redskins,WAS,24.2,357.8,0.21,3.31,0.89,1.1,0.1,0.08
