Player,Team,PA,YdA,TD,Sack,Int,Fum Rec,Saf,Blk
Arizona Cardinals,ARI,26.35,367.0,0.18,2.4,0.7,0.6,0.015,0.035
Atlanta Falcons,ATL,17.585,308.0,0.2,2.55,1.11,0.6,0.0,0.04
Baltimore Ravens,BAL,17.9,349.0,0.2,2.8,1.13,0.7,0.025,0.04
Buffalo Bills,BUF,20.845,324.0,0.2,2.41,0.9,0.7,0.0,0.035
Carolina Panthers,CAR,27.9,408.3,0.2,1.73,0.7,0.68,0.0,0.095
Chicago Bears,CHI,19.049999999999997,325.0,0.2,2.9,0.8,0.6,0.0,0.09
Cincinnati Bengals,CIN,21.5,351.0,0.2,2.3,0.8,0.6,0.0,0.1
Cleveland Browns,CLE,24.3,342.0,0.2,2.23,0.8,0.63,0.0,0.045
Dallas Cowboys,DAL,23.509999999999998,361.0,0.2,2.2,0.9,0.64,0.060000000000000005,0.04
Denver Broncos,DEN,20.9,373.0,0.2,2.7,0.9,0.6,0.07,0.10500000000000001
Detroit Lions,DET,21.055,324.0,0.12,2.6,0.95,0.7,0.0,0.095
Green Bay Packers,GB,24.35,334.8,0.1,2.4,0.9,0.6,0.07,0.04
Houston Texans,HOU,19.83,318.4,0.2,2.4,1.2,0.66,0.015,0.04
Indianapolis Colts,IND,22.560000000000002,368.0,0.2,2.8,0.78,0.68,0.0,0.035
Jacksonville Jaguars,JAX,16.35,287.6,0.2,2.6,1.2,0.5,0.02,0.035
Kansas City Chiefs,KC,24.75,418.0,0.2,2.2,0.8,0.69,0.0,0.04
Los Angeles Chargers,LAC,25.94399222104389,410.53661394064227,0.2,2.2473378432928275,0.8,0.5,0.0033287463782674877,0.035
Los Angeles Rams,LAR,20.1,330.0,0.3,2.6,1.0,0.7,0.015,0.055
Miami Dolphins,MIA,26.165,385.0,0.2,2.0,0.8,0.56,0.0,0.045
Minnesota Vikings,MIN,18.2,316.3,0.2,2.8,0.9,0.56,0.025,0.03
New England Patriots,NE,25.060000000000002,413.0,0.2,1.79,1.1,0.5,0.01,0.11
New Orleans Saints,NO,23.6,377.0,0.2,2.45,1.03,0.6,0.0,0.05
New York Giants,NYG,21.25,356.0,0.2,2.4,0.9,0.5,0.0,0.085
New York Jets,NYJ,24.9,385.0,0.2,2.66,0.9,0.6,0.0,0.05
Oakland Raiders,OAK,24.75,366.0,0.1,1.9,0.76,0.6,0.02,0.05
Philadelphia Eagles,PHI,29.75,435.0,0.2,2.17,0.85,0.65,0.065,0.09
Pittsburgh Steelers,PIT,28.1,390.2,0.2,2.2,0.6,0.6,0.015,0.095
San Francisco 49ers,SF,23.5,346.9,0.1,2.3,0.7,0.5,0.0,0.035
Seattle Seahawks,SEA,21.564999999999998,364.0,0.2,2.5,1.0,0.7,0.015,0.095
Tampa Bay Buccaneers,TB,27.98,378.7,0.2,2.4,0.8,0.69,0.0,0.095
Tennessee Titans,TEN,21.05,340.9,0.2,2.7,0.8,0.6,0.0,0.09
Washington Redskins,WAS,22.9,346.0,0.2,2.8,0.7,0.6,0.07500000000000001,0.04
