Player,Team,Bye,FGM,FGA,FG%,EPM,EPA,FPts
Stephen Gostkowski,NE,11,33,37,89.2%,49,51,148.0
Justin Tucker,BAL,10,35,38,92.1%,37,38,142.0
Greg Zuerlein,LAR,12,33,36,91.7%,41,42,140.0
Chris Boswell,PIT,7,32,36,88.9%,38,40,134.0
Matt Bryant,ATL,8,31,35,88.6%,39,41,132.0
Harrison Butker,KC,12,31,35,88.6%,36,37,129.0
Mason Crosby,GB,7,27,32,84.4%,46,49,127.0
Graham Gano,CAR,4,31,35,88.6%,31,34,124.0
Wil Lutz,NO,6,27,32,84.4%,42,45,123.0
Jake Elliott,PHI,9,26,31,83.9%,44,46,122.0
Caleb Sturgis,LAC,8,26,31,83.9%,40,42,118.0
Robbie Gould,SF,11,30,35,85.7%,27,29,117.0
Brett Maher,DAL,8,26,30,86.7%,39,41,117.0
Adam Vinatieri,IND,9,28,32,87.5%,32,34,116.0
Matt Prater,DET,6,25,29,86.2%,39,40,114.0
Daniel Carlson,MIN,10,27,32,84.4%,33,33,114.0
Ka'imi Fairbairn,HOU,10,26,30,86.7%,35,39,113.0
Ryan Succop,TEN,8,26,32,81.3%,35,38,113.0
Josh Lambo,JAC,9,25,29,86.2%,36,39,111.0
Sebastian Janikowski,SEA,7,24,30,80.0%,39,41,111.0
Phil Dawson,ARI,9,26,33,78.8%,33,35,111.0
Cody Parkey,CHI,5,25,30,83.3%,34,38,109.0
Steve Hauschka,BUF,11,27,31,87.1%,26,29,107.0
Chandler Catanzaro,TB,5,23,27,85.2%,35,38,104.0
Brandon McManus,DEN,10,22,28,78.6%,35,36,101.0
Randy Bullock,CIN,9,21,24,87.5%,36,37,99.0
Aldrick Rosas,NYG,9,20,26,76.9%,37,41,97.0
Zane Gonzalez,CLE,11,20,26,76.9%,33,35,93.0
Mike Nugent,OAK,7,20,25,80.0%,32,34,92.0
Dustin Hopkins,WAS,4,19,24,79.2%,34,36,91.0
Jason Myers,NYJ,11,19,23,82.6%,33,33,90.0
Jason Sanders,MIA,11,19,23,82.6%,32,35,89.0
