Player,Team,Pass Yds,Pass TD,Pass Int,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,2PT
AJ McCarron,OAK,0.0,0.0,0.0,0.0,0.0,0,0,0,0.03
Aaron Rodgers,GB,256.89053627960686,1.2923240241061982,0.5,13.116917124672234,0.1,0,0,0,0.06
Andrew Luck,IND,273.26141232813416,2.0895587106420903,0.99,11.569782048683258,0.1,0,0,0,0.13
Baker Mayfield,CLE,254.67141438866054,1.8477813861971701,0.848909189154764,16.7,0.10018353931324141,0,0,0,0.15
Ben Roethlisberger,PIT,309.76,2.548874453183458,0.86,3.555383254525296,0.1,0,0,0,0.19
Blaine Gabbert,TEN,0.0,0.0,0.0,0.0,0.0,0,0,0,0.03
Blake Bortles,JAX,0.0,0.0,0.0,0.0,0.0,0,0,0,0.03
Brandon Weeden,HOU,0.0,0.0,0.0,0.0,0.0,0,0,0,0.06
Brett Hundley,SEA,0.0,0.0,0.0,0.0,0.0,0,0,0,0.03
Brian Hoyer,NE,0.0,0.0,0.0,0.0,0.0,0,0,0,0.01
Brock Osweiler,MIA,0.0,0.0,0.0,0.0,0.0,0,0,0,0.06
C.J. Beathard,SF,0.0,0.0,0.0,0.0,0.0,0,0,0,0.03
Cam Newton,CAR,257.87856518566184,1.8891316163921639,1.036676706626455,30.0,0.09949517680495028,0,0,0,0.13
Case Keenum,DEN,238.9943584247173,1.2591500298046991,0.7,4.964523677480722,0.1,0,0,0,0.03
Chad Henne,KC,0.0,0.0,0.0,0.0,0.0,0,0,0,0.02
Chase Daniel,CHI,0.0,0.0,0.0,0.0,0.0,0,0,0,0.02
Cody Kessler,JAX,219.2425528949518,1.0114363632028147,0.56,20.0,0.1002584063454308,0,0,0,0.09
Cooper Rush,DAL,0.0,0.0,0.0,0.0,0.0,0,0,0,0.03
Dak Prescott,DAL,247.89484169812542,1.7823634607300862,0.6,20.0,0.09959126475671214,0,0,0,0.06
DeShone Kizer,GB,0.0,0.0,0.0,0.0,0.0,0,0,0,0.03
Derek Carr,OAK,255.00320703299474,1.7765564630248045,0.7,3.8,0.1,0,0,0,0.13
Deshaun Watson,HOU,241.9967344403349,1.9382788679311749,0.6,29.9,0.0998457500135289,0,0,0,0.13
Drew Brees,NO,271.81523043389075,2.169942540514152,0.5316505791007098,2.967130763221668,0.09987698584515019,0,0,0,0.03
Eli Manning,NYG,245.46359640808856,1.2626052084250992,0.6,0.0,0.0,0,0,0,0.06
Geno Smith,LAC,0.0,0.0,0.0,0.0,0.0,0,0,0,0.03
Jacoby Brissett,IND,0.0,0.0,0.0,0.0,0.0,0,0,0,0.03
Jameis Winston,TB,259.8427326724875,1.7504352405759969,0.9906436306864859,23.60053081183616,0.10002907596166653,0,0,0,0.13
Jared Goff,LAR,277.77,2.185930418685819,0.7,9.998411736119287,0.09997832145028539,0,0,0,0.09
Jeff Driskel,CIN,231.78509081078144,1.2938663836774622,0.8049914877363094,18.5,0.09991203326963875,0,0,0,0.11
Joe Flacco,BAL,5.3,0.0,0.0,0.0,0.0,0,0,0,0.04
Joe Webb,HOU,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
Josh Allen,BUF,215.72691183027192,0.9814896927454035,0.9466533438131828,46.1,0.34,0,0,0,0.1
Josh Johnson,WAS,213.6014856460689,0.7418730723626337,1.547971571660426,19.977591629456402,0.10011157917793649,0,0,0,0.07
Josh McCown,NYJ,0.0,0.0,0.0,0.0,0.0,0,0,0,0.02
Josh Rosen,ARI,216.22021955445157,1.0079529211488234,1.5,6.13,0.1,0,0,0,0.09
Joshua Dobbs,PIT,0.0,0.0,0.0,0.0,0.0,0,0,0,0.03
Kevin Hogan,DEN,0.0,0.0,0.0,0.0,0.0,0,0,0,0.03
Kirk Cousins,MIN,269.65200182206473,2.0831625210456237,0.3884821601672541,11.3,0.09987031460524086,0,0,0,0.09
Lamar Jackson,BAL,182.0,1.0522345971997256,0.67,59.4,0.4,0,0,0,0.08
Marcus Mariota,TEN,220.25749669712593,1.0940208867834387,0.67,24.45,0.09996069395824524,0,0,0,0.03
Mark Sanchez,WAS,0.0,0.0,0.0,0.0,0.0,0,0,0,0.03
Matt Barkley,BUF,0.0,0.0,0.0,0.0,0.0,0,0,0,0.03
Matt Cassel,DET,0.0,0.0,0.0,0.0,0.0,0,0,0,0.05
Matt Ryan,ATL,268.50734618514366,2.0621225507165697,0.6376845850927575,5.0,0.1,0,0,0,0.09
Matt Schaub,ATL,0.0,0.0,0.0,0.0,0.0,0,0,0,0.1
Matthew Stafford,DET,230.14579273007894,1.1121782517683503,0.7,6.70022427448831,0.1,0,0,0,0.06
Mike Glennon,ARI,0.0,0.0,0.0,0.0,0.0,0,0,0,0.06
Mitchell Trubisky,CHI,244.10941455158155,1.9317381661721682,0.7,31.886584212629455,0.09974594332848429,0,0,0,0.15
Nate Sudfeld,PHI,0.0,0.0,0.0,0.0,0.0,0,0,0,0.03
Nick Foles,PHI,255.25043507350148,1.6918676460306377,0.6953641798733619,6.333568626148738,0.10030897769395246,0,0,0,0.06
Nick Mullens,SF,255.41001467055665,1.6607128691197217,1.587683375508799,8.799503201914948,0.1,0,0,0,0.07
Patrick Mahomes,KC,293.7,2.6359526413803507,0.8,14.455437044045023,0.10001973263591123,0,0,0,0.05
Philip Rivers,LAC,278.59,2.1207935706048002,0.6,0.0,0.0,0,0,0,0.13
Russell Wilson,SEA,238.5007290976076,2.0925610561743455,0.4,23.89538269662191,0.10009667962049511,0,0,0,0.09
Ryan Fitzpatrick,TB,0.0,0.0,0.0,0.0,0.0,0,0,0,0.05
