Player,Team,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,Pass Yds,Pass TD,Pass Int,2PT
Aaron Jones,GB,62.93271577421542,0.5469087120611267,3.013183573107201,22.33239487328782,0.09030541566247663,0.0,0.0,0.0,0.01
Adrian Peterson,WAS,54.94833333333333,0.29833333333333334,1.0433333333333332,9.520000000000001,0.023333333333333334,0.0,0.0,0.0,0.0
Alex Armah,CAR,1.8004924592021256,0.07032722451494854,0.0829556342271857,0.7155564688930923,0.001999599172223859,0.0,0.0,0.0,0.0
Alfred Blue,HOU,33.93833333333333,0.17333333333333334,0.82,6.348333333333334,0.006666666666666667,0.0,0.0,0.0,0.0
Alvin Kamara,NO,57.75333333333333,0.6716666666666667,5.113333333333333,44.178333333333335,0.24666666666666667,0.0,0.0,0.0,0.1
Ameer Abdullah,MIN,2.526865516716479,0.007813089871580818,0.25197592224539017,2.1849639575898725,0.005998797516671577,0.0,0.0,0.0,0.0
Andy Janovich,DEN,1.2159625370057408,0.0030525471577226957,0.6713908036373851,6.415168359850579,0.032541196951963766,0.0,0.0,0.0,0.0
Anthony Sherman,KC,0.8979396894771842,0.0019532724678952046,0.4949515600021858,4.748813382366102,0.0142114721907075,0.0,0.0,0.0,0.0
Benny Cunningham,CHI,1.0190320138739055,0.003906544935790409,0.1385187132102981,1.3062706218226496,0.003999198344447718,0.0,0.0,0.0,0.0
Brandon Bolden,MIA,5.447318388936096,0.037630085083018995,0.178491853603857,1.705199172706985,0.005998797516671577,0.0,0.0,0.0,0.0
Brandon Wilson,CIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brian Hill,ATL,5.127241322003576,0.03394580086438115,0.12337767837694417,0.9920699522091384,0.003999198344447718,0.0,0.0,0.0,0.0
Buddy Howell,HOU,0.6180088621789688,0.005009340015427637,0.08747278045600691,0.8813269428028888,0.005019195359738108,0.0,0.0,0.0,0.0
C.J. Ham,MIN,0.6851539711551711,0.0019532724678952046,0.3872596076854826,3.540479886221796,0.005998797516671577,0.0,0.0,0.0,0.0
Cameron Artis-Payne,CAR,6.321198668796179,0.02591045027564777,0.1754003184045482,1.3088165207073619,0.003999198344447718,0.0,0.0,0.0,0.0
Charcandrick West,KC,13.205,0.09333333333333334,1.1166666666666665,8.086666666666666,0.04,0.0,0.0,0.0,0.0
Chase Edmonds,ARI,18.43166666666667,0.12666666666666668,1.0833333333333333,7.1000000000000005,0.005,0.0,0.0,0.0,0.0
Chris Carson,SEA,74.64333333333333,0.6633333333333333,1.6483333333333334,14.586666666666666,0.07833333333333335,0.0,0.0,0.0,0.01
Chris Thompson,WAS,17.970000000000002,0.08000000000000002,3.2133333333333334,26.623333333333335,0.115,0.0,0.0,0.0,0.0
Christian McCaffrey,CAR,67.06666666666666,0.6283333333333333,6.37,53.98833333333334,0.26,0.0,0.0,0.0,0.0
Dalvin Cook,MIN,64.01666666666667,0.5616666666666666,3.658333333333333,27.426666666666666,0.11000000000000003,0.0,0.0,0.0,0.01
Damien Williams,KC,51.54990235626641,0.5104014135381351,2.953906232354036,23.004206189296124,0.15377221368090044,0.0,0.0,0.0,0.01
Danny Vitale,GB,0.24320381283900985,0.0,0.07277663424647944,0.6703694364855454,0.0,0.0,0.0,0.0,0.0
Darrel Williams,KC,20.335,0.12999999999999998,1.3283333333333334,10.938333333333333,0.07333333333333333,0.0,0.0,0.0,0.0
Darren Sproles,PHI,16.9,0.08333333333333333,2.403333333333333,19.826666666666668,0.10666666666666669,0.0,0.0,0.0,0.0
David Johnson,ARI,69.50166666666667,0.5383333333333333,3.8349999999999995,31.651666666666667,0.12166666666666666,0.0,0.0,0.0,0.0
De'Angelo Henderson Sr.,NYJ,4.658797223306911,0.014530285164128373,0.34574309901185657,2.2528982344160084,0.007507992300023474,0.0,0.0,0.0,0.0
DeAndre Washington,OAK,11.281666666666666,0.06833333333333334,0.5466666666666667,4.105,0.0016666666666666668,0.0,0.0,0.0,0.0
Derek Watt,LAC,1.1426107093481095,0.006909057823635378,0.6327419921374905,4.099713778347506,0.027539030843143745,0.0,0.0,0.0,0.0
Derrick Coleman,ARI,0.765061413884243,0.0,0.1173110366281062,1.1582284390678768,0.003999198344447718,0.0,0.0,0.0,0.01
Derrick Henry,TEN,61.17333333333334,0.6216666666666667,1.1849999999999998,8.615,0.025000000000000005,0.0,0.0,0.0,0.0
Detrez Newsome,LAC,16.812107273950613,0.13876016869114247,1.1743349056838195,9.560612208684057,0.0754147010782491,0.0,0.0,0.0,0.0
Devontae Booker,DEN,6.093333333333334,0.023333333333333334,1.415,12.411666666666669,0.02666666666666667,0.0,0.0,0.0,0.0
Dion Lewis,TEN,35.995,0.19999999999999998,2.861666666666667,20.843333333333334,0.08166666666666667,0.0,0.0,0.0,0.0
Dontrell Hilliard,CLE,2.4099806430027955,0.0019532724678952046,0.5737843635757598,6.034464247164244,0.003999198344447718,0.0,0.0,0.0,0.0
Doug Martin,OAK,64.075,0.595,1.6566666666666665,11.748333333333335,0.013333333333333334,0.0,0.0,0.0,0.03
Duke Johnson,CLE,13.068333333333333,0.08833333333333333,2.533333333333333,24.528333333333336,0.09833333333333334,0.0,0.0,0.0,0.07
Dwayne Washington,NO,2.924452288975413,0.003906544935790409,0.03663346112799406,0.291118310200475,0.001999599172223859,0.0,0.0,0.0,0.0
Elijah McGuire,NYJ,47.13666666666666,0.24833333333333332,2.7416666666666667,23.713333333333335,0.085,0.0,0.0,0.0,0.01
Elijhaa Penny,NYG,1.5121591494655355,0.010866344738745209,0.6573748255995794,5.143197254852776,0.005998797516671577,0.0,0.0,0.0,0.0
Ezekiel Elliott,DAL,94.23833333333334,0.6816666666666666,4.746666666666666,38.39333333333334,0.17666666666666667,0.0,0.0,0.0,0.0
Frank Gore,MIA,46.98736144044526,0.15965301117032515,1.601468988550881,13.186564281419558,0.05004951445865615,0.0,0.0,0.0,0.0
Giovani Bernard,CIN,18.631666666666664,0.10666666666666669,2.4833333333333334,20.44,0.055,0.0,0.0,0.0,0.0
Gus Edwards,BAL,71.11500000000001,0.6066666666666667,0.7200000000000001,5.298333333333333,0.0016666666666666668,0.0,0.0,0.0,0.01
Ito Smith,ATL,29.893728638651357,0.24956880212273114,1.8171613099990302,13.34685248246506,0.04999044087016357,0.0,0.0,0.0,0.0
J.D. McKissic,SEA,5.002643636376502,0.013831952242581097,0.785266119762091,5.960741997981462,0.0597374442149734,0.0,0.0,0.0,0.0
Jacquizz Rodgers,TB,7.971666666666667,0.008333333333333333,2.141666666666667,18.19666666666667,0.035,0.0,0.0,0.0,0.0
Jalen Richard,OAK,26.944999999999997,0.14,4.053333333333334,32.08833333333333,0.07333333333333335,0.0,0.0,0.0,0.0
Jamaal Williams,GB,16.128333333333334,0.09833333333333333,0.935,6.191666666666667,0.005,0.0,0.0,0.0,0.0
James Develin,NE,2.074384512351425,0.10081955588109093,0.44912570937626306,2.7781579430923817,0.005998797516671577,0.0,0.0,0.0,0.0
James White,NE,19.936666666666667,0.12833333333333333,5.118333333333333,41.866666666666674,0.22999999999999998,0.0,0.0,0.0,0.04
Jamize Olawale,DAL,0.2106617762599539,0.0,0.10424885477418185,0.9583687127733153,0.001999599172223859,0.0,0.0,0.0,0.0
Javorius Allen,BAL,3.221446825198935,0.02526114330728024,0.6915513804871217,5.272052133564744,0.0240727189134434,0.0,0.0,0.0,0.0
Jaylen Samuels,PIT,39.33166666666667,0.295,3.6799999999999997,29.543333333333333,0.12666666666666668,0.0,0.0,0.0,0.0
Jeff Wilson,SF,43.155,0.21166666666666664,2.5349999999999997,18.996666666666666,0.051666666666666666,0.0,0.0,0.0,0.01
Joe Mixon,CIN,76.86666666666666,0.66,3.4250000000000003,28.849999999999998,0.08666666666666667,0.0,0.0,0.0,0.0
John Kelly,LAR,7.071788809131437,0.07083231175692935,0.37880300243161263,3.2448870713095537,0.003999198344447718,0.0,0.0,0.0,0.0
Jordan Howard,CHI,59.20666666666667,0.5633333333333334,1.1133333333333335,9.398333333333333,0.023333333333333334,0.0,0.0,0.0,0.0
Jordan Wilkins,IND,7.822746859833113,0.02591045027564777,0.5251642159418499,3.6589085576342186,0.003999198344447718,0.0,0.0,0.0,0.0
Josh Adams,PHI,58.55166666666667,0.51,0.8983333333333333,6.295000000000001,0.021666666666666667,0.0,0.0,0.0,0.04
Justin Davis,LAR,5.378298188907389,0.08438663517694141,0.24759627561261577,2.1662149110934266,0.003999198344447718,0.0,0.0,0.0,0.0
Justin Jackson,LAC,62.99666666666667,0.5583333333333333,2.6983333333333337,22.433333333333337,0.08333333333333333,0.0,0.0,0.0,0.01
Kalen Ballage,MIA,11.382477802379535,0.05617196692139107,0.5413920710205162,4.109584912826424,0.005998797516671577,0.0,0.0,0.0,0.0
Keith Smith,OAK,0.025670035809765162,0.0,0.17996793996079719,1.2874206196936953,0.001999599172223859,0.0,0.0,0.0,0.0
Kenjon Barner,CAR,1.1846922080364484,0.005859817403685613,0.041950638648660304,0.21750498437840424,0.001999599172223859,0.0,0.0,0.0,0.0
Kenneth Dixon,BAL,43.99166666666667,0.5116666666666667,1.4933333333333334,12.428333333333333,0.05833333333333333,0.0,0.0,0.0,0.0
Kenyan Drake,MIA,31.33333333333333,0.15333333333333332,3.5399999999999996,29.626666666666665,0.11833333333333333,0.0,0.0,0.0,0.04
Kyle Juszczyk,SF,1.5166666666666666,0.0033333333333333335,1.8999999999999997,17.976666666666667,0.08166666666666667,0.0,0.0,0.0,0.0
Lamar Miller,HOU,70.325,0.5283333333333333,2.3866666666666667,19.873333333333335,0.08166666666666667,0.0,0.0,0.0,0.0
Latavius Murray,MIN,26.203333333333337,0.19833333333333333,0.6,4.63,0.006666666666666667,0.0,0.0,0.0,0.0
LeGarrette Blount,DET,42.093333333333334,0.28833333333333333,0.755,5.28,0.005,0.0,0.0,0.0,0.03
Leonard Fournette,JAX,74.90666666666667,0.6550000000000001,2.78,23.76,0.10166666666666668,0.0,0.0,0.0,0.0
Marcus Murphy,BUF,39.25400569909047,0.1958193232638045,1.780118536552334,14.893362928082325,0.06419720607214795,0.0,0.0,0.0,0.0
Mark Ingram,NO,48.163333333333334,0.37833333333333335,2.025,17.555,0.06333333333333334,0.0,0.0,0.0,0.03
Mark Walton,CIN,2.887361874531375,0.011719634807371227,0.12232190541324599,0.9143003629851134,0.003999198344447718,0.0,0.0,0.0,0.0
Marlon Mack,IND,57.99333333333333,0.37666666666666665,1.495,12.455,0.07666666666666667,0.0,0.0,0.0,0.04
Matt Breida,SF,47.23635871930687,0.23685217774281944,2.059957238049014,18.286662254389302,0.09930807233255379,0.0,0.0,0.0,0.0
Matt Dayes,SF,1.4873540636197944,0.007813089871580818,0.10731406957167995,1.1145725590594717,0.003999198344447718,0.0,0.0,0.0,0.0
Mike Davis,SEA,32.97666666666667,0.17999999999999997,1.8166666666666667,13.436666666666667,0.06166666666666667,0.0,0.0,0.0,0.0
Nick Chubb,CLE,83.33833333333332,0.7133333333333333,2.5816666666666666,20.03833333333333,0.09500000000000001,0.0,0.0,0.0,0.01
Nyheim Hines,IND,20.978333333333335,0.09999999999999999,3.2283333333333335,24.771666666666665,0.09666666666666668,0.0,0.0,0.0,0.0
Patrick DiMarco,BUF,0.32945456207629514,0.0019532724678952046,0.2999806730312097,2.6508217689524285,0.003999198344447718,0.0,0.0,0.0,0.0
Peyton Barber,TB,45.22666666666667,0.27666666666666667,1.0733333333333333,8.71,0.01,0.0,0.0,0.0,0.0
Phillip Lindsay,DEN,75.53166666666667,0.7166666666666667,2.8616666666666664,23.31,0.10333333333333333,0.0,0.0,0.0,0.01
Rex Burkhead,NE,16.213333333333335,0.11499999999999999,1.2366666666666666,10.286666666666667,0.008333333333333333,0.0,0.0,0.0,0.0
Rod Smith,DAL,8.74,0.06,0.4766666666666666,3.43,0.005,0.0,0.0,0.0,0.0
Ronald Jones,TB,8.344051087087854,0.09218691012841919,0.5077761411765942,3.986545794509803,0.003999198344447718,0.0,0.0,0.0,0.0
Roosevelt Nix,PIT,0.057712300658855686,0.0019532724678952046,0.1839050909821431,1.7302185340313094,0.003999198344447718,0.0,0.0,0.0,0.0
Royce Freeman,DEN,35.02166666666667,0.25166666666666665,0.9783333333333334,6.983333333333333,0.0033333333333333335,0.0,0.0,0.0,0.0
Saquon Barkley,NYG,81.62333333333333,0.6900000000000001,5.94,48.16833333333333,0.19166666666666668,0.0,0.0,0.0,0.04
Sony Michel,NE,62.660000000000004,0.6333333333333333,1.0983333333333334,7.98,0.03833333333333334,0.0,0.0,0.0,0.01
Stevan Ridley,PIT,21.718333333333334,0.145,0.5433333333333333,4.22,0.0033333333333333335,0.0,0.0,0.0,0.03
T.J. Logan,ARI,1.4292092660753024,0.0019532724678952046,0.2556502357311862,2.0939692834720747,0.001999599172223859,0.0,0.0,0.0,0.0
T.J. Yeldon,JAX,15.950000000000001,0.08166666666666667,2.4816666666666665,21.12666666666667,0.10333333333333335,0.0,0.0,0.0,0.0
Taquan Mizzell,CHI,6.18850715796052,0.031120960710965855,0.5795329566375472,4.697429833451404,0.01603910626417426,0.0,0.0,0.0,0.0
Tarik Cohen,CHI,28.66666666666667,0.15333333333333332,4.6066666666666665,44.73,0.41,0.0,0.0,0.0,0.0
Tevin Coleman,ATL,50.928333333333335,0.45166666666666666,2.2583333333333333,20.896666666666665,0.15666666666666665,0.0,0.0,0.0,0.0
Theo Riddick,DET,16.400000000000002,0.09166666666666667,4.8133333333333335,33.74166666666667,0.12166666666666666,0.0,0.0,0.0,0.0
Todd Gurley,LAR,93.75,0.9566666666666667,4.296666666666667,40.86333333333334,0.18500000000000003,0.0,0.0,0.0,0.06
Tommy Bohanon,JAX,0.37210077963990074,0.0019532724678952046,0.20089279205358535,1.514886828505621,0.003999198344447718,0.0,0.0,0.0,0.01
Tre Madden,SEA,0.051340071618313415,0.0,0.11238959785135434,1.032551827482344,0.003999198344447718,0.0,0.0,0.0,0.0
Trenton Cannon,NYJ,24.42833333333333,0.18666666666666665,1.9750000000000003,15.719999999999999,0.025000000000000005,0.0,0.0,0.0,0.0
Trey Edmunds,PIT,1.3108337126043026,0.0,0.13161928217858643,0.8855123132843489,0.003999198344447718,0.0,0.0,0.0,0.0
Troymaine Pope,LAC,2.217815691394047,0.015624183451823618,0.06083937929291693,0.08861945691262689,0.0033448230766842603,0.0,0.0,0.0,0.0
Wayne Gallman,NYG,14.209349538951008,0.08511739444730916,1.0781983971995757,8.10362409194885,0.007998396688895437,0.0,0.0,0.0,0.0
Wendell Smallwood,PHI,12.374693476769641,0.08676014521909807,1.2290099973747086,10.150817303895103,0.06228056779090448,0.0,0.0,0.0,0.03
Zach Line,NO,0.6661449954543116,0.0,0.3048166384649677,2.069127826093271,0.009997995861119297,0.0,0.0,0.0,0.01
Zach Zenner,DET,27.340000000000003,0.165,0.9249999999999999,6.141666666666667,0.023333333333333334,0.0,0.0,0.0,0.0
