Player,OPP,STATUS ET,1-39,40-49,50+,TOT,XP,PTS,POS
"Greg Zuerlein, LAR K",@Ari,W 31-9,1.3/1.3,0.6/0.7,0.2/0.4,2.2/2.4,2.7/2.8,10,K
"Jason Myers, NYJ K",GB,L 38-44,1.4/1.4,0.7/0.8,0.3/0.4,2.3/2.6,2.1/2.1,9.9,K
"Brett Maher, Dal K",TB,W 27-20,1.2/1.3,0.6/0.7,0.2/0.4,2/2.4,2.7/2.9,9.3,K
"Wil Lutz, NO K",Pit,W 31-28,1/1,0.5/0.6,0.2/0.3,1.6/1.9,3.6/3.8,9.2,K
"Stephen Gostkowski, NE K",Buf,W 24-12,1.1/1.2,0.5/0.7,0.2/0.3,1.9/2.3,2.7/2.9,9.1,K
"Ka'imi Fairbairn, Hou K",@Phi,L 30-32,1.3/1.3,0.6/0.7,0.2/0.4,2.1/2.4,2/2.1,9,K
"Ryan Succop, Ten K",Wsh,W 25-16,1.2/1.3,0.6/0.7,0.2/0.3,2/2.3,2.3/2.4,8.9,K
"Justin Tucker, Bal K",@LAC,W 22-10,1.2/1.2,0.6/0.7,0.2/0.3,2/2.2,1.6/1.6,8.4,K
"Harrison Butker, KC K",@Sea,L 31-38,0.9/1,0.4/0.6,0.2/0.3,1.6/1.9,3.2/3.4,8.3,K
"Daniel Carlson, Oak K",Den,W 27-14,1.2/1.2,0.5/0.7,0.2/0.3,1.9/2.3,1.8/2,8.2,K
"Stephen Hauschka, Buf K",@NE,L 12-24,1.1/1.2,0.5/0.7,0.2/0.3,1.9/2.2,1.7/1.8,8.1,K
"Sebastian Janikowski, Sea K Q",KC,W 38-31,0.9/0.9,0.4/0.5,0.2/0.3,1.5/1.7,3.1/3.3,8,K
"Mike Badgley, LAC K",Bal,L 10-22,1/1.1,0.5/0.6,0.2/0.3,1.7/2.1,2.3/2.4,8,K
"Jake Elliott, Phi K",Hou,W 32-30,1/1.1,0.5/0.6,0.2/0.3,1.7/2.1,2.2/2.3,7.9,K
"Aldrick Rosas, NYG K",@Ind,L 27-28,1.1/1.2,0.5/0.7,0.2/0.3,1.8/2.2,1.7/1.8,7.9,K
"Adam Vinatieri, Ind K",NYG,W 28-27,0.9/0.9,0.4/0.5,0.2/0.3,1.5/1.7,2.9/3,7.8,K
