Player,Team,GP,Pass Att,Pass Comp,Pass Inc,Pass Yds,Pass TD,Pass Int,Sacked,300-399 Pass Yds,400+ Pass Yds,40+ Pass TD,50+ Pass TD,Rush Att,Rush Yds,Rush TD,Fum Lost,Fum,2PT,Tack,Frc Fum,Fum Rec,Fum Yds,POS
Josh Allen,BUF,1.0,41.0,20.0,21.0,217.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Kyle Allen,CAR,1.0,4.0,4.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Blake Bortles,JAX,1.0,6.0,5.0,1.0,39.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Tom Brady,NE,1.0,24.0,13.0,11.0,126.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,QB
Drew Brees,NO,1.0,39.0,27.0,12.0,326.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Derek Carr,OAK,1.0,26.0,19.0,7.0,167.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,-3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-6.0,QB
Matt Cassel,DET,1.0,11.0,5.0,6.0,45.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Kirk Cousins,MIN,1.0,28.0,21.0,7.0,253.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Sam Darnold,NYJ,1.0,35.0,24.0,11.0,341.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Jeff Driskel,CIN,1.0,19.0,13.0,6.0,133.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,21.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,QB
Nick Foles,PHI,1.0,49.0,35.0,14.0,471.0,4.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,QB
Blaine Gabbert,TEN,1.0,11.0,7.0,4.0,101.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Mike Glennon,ARI,1.0,7.0,5.0,2.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Jared Goff,LA,1.0,24.0,19.0,5.0,216.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,QB
Taylor Heinicke,CAR,1.0,53.0,33.0,20.0,274.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,3.0,33.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,QB
Taysom Hill,NO,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Brian Hoyer,NE,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Lamar Jackson,BAL,1.0,22.0,12.0,10.0,204.0,1.0,0.0,3.0,0.0,0.0,1.0,1.0,13.0,39.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,QB
Josh Johnson,WAS,1.0,23.0,13.0,10.0,153.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Case Keenum,DEN,1.0,37.0,23.0,14.0,202.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,19.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,QB
Cody Kessler,JAX,1.0,17.0,12.0,5.0,106.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,QB
Andrew Luck,IND,1.0,47.0,31.0,16.0,357.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Patrick Mahomes,KC,1.0,40.0,23.0,17.0,273.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,33.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,QB
Eli Manning,NYG,1.0,33.0,25.0,8.0,309.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Sean Mannion,LA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Marcus Mariota,TEN,1.0,13.0,10.0,3.0,110.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Baker Mayfield,CLE,1.0,37.0,27.0,10.0,284.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Nick Mullens,SF,1.0,38.0,22.0,16.0,241.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Dak Prescott,DAL,1.0,25.0,20.0,5.0,161.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Philip Rivers,LAC,1.0,37.0,23.0,14.0,181.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Aaron Rodgers,GB,1.0,55.0,37.0,18.0,442.0,2.0,0.0,4.0,0.0,1.0,1.0,0.0,5.0,32.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,QB
