Player,Team,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,Pass Yds,Pass TD,Pass Int,2PT
Adrian Peterson,WAS,45.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0
Alex Armah,CAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alfred Blue,HOU,26.2,0.15,0.6,4.77,0.0,0.0,0.0,0.0,0.0
Alvin Kamara,NO,47.6,0.0,4.7,39.2,0.2,0.0,0.0,0.0,0.1
Ameer Abdullah,MIN,0.0,0.0,0.1,0.7,0.0,0.0,0.0,0.0,0.0
Andy Janovich,DEN,0.75,0.0,0.5,3.72,0.0,0.0,0.0,0.0,0.0
Anthony Sherman,KC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benny Cunningham,CHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brandon Bolden,MIA,6.144200881690484,0.1,0.1,0.6,0.0,0.0,0.0,0.0,0.0
Brandon Wilson,CIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brian Hill,ATL,17.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buddy Howell,HOU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C.J. Ham,MIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cameron Artis-Payne,CAR,2.4,0.0,0.1,0.3,0.0,0.0,0.0,0.0,0.0
Charcandrick West,KC,1.6,0.0,0.2,1.3,0.0,0.0,0.0,0.0,0.0
Chase Edmonds,ARI,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chris Carson,SEA,72.4,0.5,1.6,13.9,0.0,0.0,0.0,0.0,0.01
Chris Thompson,WAS,12.4,0.0,3.0,25.0,0.0,0.0,0.0,0.0,0.0
Christian McCaffrey,CAR,60.0,0.4,5.6,44.2,0.0,0.0,0.0,0.0,0.0
D'Onta Foreman,HOU,17.7,0.0,0.4,3.0,0.0,0.0,0.0,0.0,0.0
Dalvin Cook,MIN,56.0,0.37,2.9,23.5,0.0,0.0,0.0,0.0,0.01
Damien Williams,KC,48.0,0.38,2.9,23.8,0.0,0.0,0.0,0.0,0.01
Danny Vitale,GB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Darrel Williams,KC,18.61,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0
Darren Sproles,PHI,13.2,0.0,2.0,17.84,0.0,0.0,0.0,0.0,0.0
David Johnson,ARI,57.3,0.35,2.6,24.3,0.0,0.0,0.0,0.0,0.0
David Williams,JAX,15.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DeAndre Washington,OAK,2.4,0.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0
Derek Watt,LAC,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Derrick Coleman,ARI,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
Derrick Henry,TEN,79.6,0.6,1.0,5.0,0.0,0.0,0.0,0.0,0.01
Detrez Newsome,LAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Devontae Booker,DEN,3.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0
Dion Lewis,TEN,21.1,0.0,1.5,11.9,0.0,0.0,0.0,0.0,0.0
Dontrell Hilliard,CLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Doug Martin,OAK,55.0,0.2,1.0,8.4,0.0,0.0,0.0,0.0,0.03
Duke Johnson,CLE,13.71,0.0,2.0,20.0,0.0,0.0,0.0,0.0,0.07
Dwayne Washington,NO,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Elijah McGuire,NYJ,54.7,0.0,2.4,25.0,0.0,0.0,0.0,0.0,0.01
Elijhaa Penny,NYG,0.0,0.0,0.2,1.4,0.0,0.0,0.0,0.0,0.0
Ezekiel Elliott,DAL,92.5,0.6,4.47,39.22,0.0,0.0,0.0,0.0,0.0
Giovani Bernard,CIN,10.5,0.0,1.5,11.9,0.0,0.0,0.0,0.0,0.0
Gus Edwards,BAL,58.9,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.01
J.D. McKissic,SEA,0.0,0.0,0.1,0.9,0.0,0.0,0.0,0.0,0.0
Jacquizz Rodgers,TB,3.8,0.0,0.7,5.8,0.0,0.0,0.0,0.0,0.0
Jalen Richard,OAK,19.8,0.0,3.3,26.5,0.0,0.0,0.0,0.0,0.0
Jamaal Williams,GB,53.8,0.34,1.95,16.8,0.0,0.0,0.0,0.0,0.01
James Develin,NE,0.2,0.0,0.4,2.4,0.0,0.0,0.0,0.0,0.0
James White,NE,12.2,0.0,3.8,32.05,0.0,0.0,0.0,0.0,0.03
Jamize Olawale,DAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jaylen Samuels,PIT,45.0,0.0,2.9,30.1,0.0,0.0,0.0,0.0,0.01
Jeff Wilson,SF,25.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0
Joe Mixon,CIN,72.7,0.5,2.7,21.2,0.0,0.0,0.0,0.0,0.0
John Kelly,LAR,6.9,0.0,0.3,2.2,0.0,0.0,0.0,0.0,0.0
Jordan Howard,CHI,53.3,0.39,0.9,7.5,0.0,0.0,0.0,0.0,0.0
Jordan Wilkins,IND,1.1,0.0,0.4,2.9,0.0,0.0,0.0,0.0,0.0
Josh Adams,PHI,47.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04
Justin Davis,LAR,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
Justin Jackson,LAC,17.5,0.0,0.8,5.4,0.0,0.0,0.0,0.0,0.0
Kalen Ballage,MIA,43.8,0.2,1.0,10.0,0.0,0.0,0.0,0.0,0.01
Kapri Bibbs,GB,8.416214536022913,0.08,0.8,2.946909152601089,0.0,0.0,0.0,0.0,0.0
Keith Ford,BUF,18.54,0.01496241729973749,0.75,4.33,0.0,0.0,0.0,0.0,0.0
Keith Smith,OAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
