Player,Team,Receptions,Rec Yds,Rec TD,Pass Yds,Pass TD,Pass Int,Rush Yds,Rush TD,2PT
Adam Shaheen,CHI,1.5,15.8,0.3,0.0,0.0,0.0,0.2,0.0,0.0
Anthony Firkser,TEN,2.1,27.0,0.2,0.0,0.0,0.0,0.03,0.0,0.0
Antonio Gates,LAC,1.9,23.85,0.2,0.0,0.0,0.0,0.04,0.0,0.0
Antony Auclair,TB,1.3,13.2,0.1,0.0,0.0,0.0,0.02,0.0,0.0
Austin Hooper,ATL,4.5,49.0,0.4,0.0,0.0,0.0,0.07,0.0,0.0
Ben Braunecker,CHI,0.26,2.6,0.04,0.0,0.0,0.0,0.06,0.0,0.0
Ben Koyack,JAX,0.3,3.826596273035061,0.02,0.0,0.0,0.0,0.03,0.0,0.0
Benjamin Watson,NO,2.3,26.5,0.3,0.0,0.0,0.0,0.21,0.0,0.0
Blake Bell,JAX,1.3,13.5,0.1887539117717731,0.0,0.0,0.0,0.06,0.0,0.0
Blake Jarwin,DAL,3.9,33.9,0.2,0.0,0.0,0.0,0.1,0.0,0.0
Brian Parker,DEN,1.6,17.3,0.1,0.0,0.0,0.0,0.02,0.0,0.0
C.J. Uzomah,CIN,3.2,35.0,0.2,0.0,0.0,0.0,0.06,0.0,0.0
Cameron Brate,TB,4.5,47.1,0.6,0.0,0.0,0.0,0.06,0.0,0.0
Chris Herndon,NYJ,4.0,50.7,1.0,0.0,0.0,0.0,0.04,0.0,0.0
Chris Manhertz,CAR,1.0,12.0,0.11565004291448516,0.0,0.0,0.0,0.07,0.0,0.0
Clark Harris,CIN,0.05,0.84,0.01,0.0,0.0,0.0,0.02,0.0,0.0
Dallas Goedert,PHI,2.1,23.6,0.3,0.0,0.0,0.0,0.07,0.0,0.0
Dalton Schultz,DAL,2.7,29.1,0.2,0.0,0.0,0.0,0.12,0.0,0.0
Daniel Brown,CHI,0.21,3.033033210303302,0.03,0.0,0.0,0.0,0.04,0.0,0.0
Darren Fells,CLE,1.1,13.1,0.4835779306343459,0.0,0.0,0.0,0.06,0.0,0.0
David Morgan,MIN,0.5,6.5717644822330605,0.02,0.0,0.0,0.0,0.05,0.0,0.0
David Njoku,CLE,4.0,50.0,1.0,0.0,0.0,0.0,0.07,0.0,0.0
Demetrius Harris,KC,1.7,19.2,0.2,0.0,0.0,0.0,0.05,0.0,0.0
Derek Carrier,OAK,1.7,18.6,0.1,0.0,0.0,0.0,0.02,0.0,0.0
Donnie Ernsberger,TB,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0
Durham Smythe,MIA,0.8,6.3,0.1,0.0,0.0,0.0,0.06,0.0,0.0
Dwayne Allen,NE,0.4,4.541190550993788,0.1,0.0,0.0,0.0,0.02,0.0,0.0
Ed Dickson,SEA,2.0,21.6,0.2,0.0,0.0,0.0,0.07,0.0,0.0
Eric Ebron,IND,4.9,60.9,1.0,0.0,0.0,0.0,1.63,0.1,0.0
Eric Saubert,ATL,0.62,5.51,0.05,0.0,0.0,0.0,0.08,0.0,0.0
Eric Tomlinson,NYJ,0.58,5.27,0.04,0.0,0.0,0.0,0.03,0.0,0.0
Evan Engram,NYG,5.7,77.9,0.4,0.0,0.0,0.0,1.0,0.0,0.0
Garrett Celek,SF,0.9,10.977095444485212,0.10322842240774373,0.0,0.0,0.0,0.02,0.0,0.0
Garrett Dickerson,NYG,0.06,0.0,0.02,0.0,0.0,0.0,0.03,0.0,0.0
George Kittle,SF,6.0,80.0,1.0,0.0,0.0,0.0,0.6,0.0,0.0
Gerald Everett,LAR,4.0,40.0,0.3,0.0,0.0,0.0,0.1,0.0,0.0
Hayden Hurst,BAL,1.8,15.7,0.2,0.0,0.0,0.0,0.7,0.0,0.0
Ian Thomas,CAR,4.0,45.0,0.2,0.0,0.0,0.0,0.06,0.0,0.0
James O'Shaughnessy,JAX,2.5,26.5,0.1,0.0,0.0,0.0,0.06,0.0,0.0
