Player,POS,Team,Pass Yds,Pass TD,Pass Int,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,Status
Davante Adams,WR,GB,0.0,0.0,0.0,0.0,0.0,7.1,94.7,0.6,Q
Julio Jones,WR,ATL,0.0,0.0,0.0,1.3,0.0,6.8,98.7,0.5, 
DeAndre Hopkins,WR,HOU,0.0,0.0,0.0,1.7,0.0,6.8,94.3,0.6,Q
Michael Thomas,WR,NO,0.0,0.0,0.0,0.0,0.0,7.0,84.3,0.7, 
Tyreek Hill,WR,KC,0.0,0.0,0.0,8.2,0.0,5.2,84.9,0.6, 
JuJu Smith-Schuster,WR,PIT,0.0,0.0,0.0,0.0,0.0,6.6,87.0,0.5, 
Keenan Allen,WR,LAC,0.0,0.0,0.0,4.2,0.0,6.6,78.8,0.5, 
Antonio Brown,WR,PIT,0.0,0.0,0.0,0.0,0.0,6.4,84.1,0.5, 
T.Y. Hilton,WR,IND,0.0,0.0,0.0,0.0,0.0,5.5,79.9,0.6,Q
Robert Woods,WR,LAR,0.0,0.0,0.0,6.6,0.0,5.5,73.8,0.4, 
Amari Cooper,WR,DAL,0.0,0.0,0.0,0.0,0.0,5.4,76.3,0.5, 
Julian Edelman,WR,NE,0.0,0.0,0.0,0.0,0.0,5.9,66.4,0.4, 
Adam Thielen,WR,MIN,0.0,0.0,0.0,1.8,0.0,5.7,69.2,0.4, 
Stefon Diggs,WR,MIN,0.0,0.0,0.0,4.2,0.0,5.6,64.1,0.4, 
Mike Evans,WR,TB,0.0,0.0,0.0,0.0,0.0,5.0,78.8,0.3, 
Brandin Cooks,WR,LAR,0.0,0.0,0.0,4.2,0.0,4.6,67.6,0.3, 
Jarvis Landry,WR,CLE,0.0,0.0,0.0,3.4,0.0,4.6,55.9,0.4, 
Alshon Jeffery,WR,PHI,0.0,0.0,0.0,0.0,0.0,4.8,60.7,0.4,Q
Doug Baldwin,WR,SEA,0.0,0.0,0.0,0.0,0.0,4.0,49.7,0.6, 
Kenny Golladay,WR,DET,0.0,0.0,0.0,0.0,0.0,4.3,64.1,0.3,Q
Allen Robinson,WR,CHI,0.0,0.0,0.0,0.0,0.0,4.1,54.5,0.4, 
Tyler Lockett,WR,SEA,0.0,0.0,0.0,8.6,0.0,3.4,50.7,0.4, 
Sterling Shepard,WR,NYG,0.0,0.0,0.0,0.0,0.0,4.4,56.4,0.3, 
Dede Westbrook,WR,JAX,0.0,0.0,0.0,4.9,0.0,4.4,52.5,0.2, 
Larry Fitzgerald,WR,ARI,0.0,0.0,0.0,0.0,0.0,4.2,48.4,0.4, 
DaeSean Hamilton,WR,DEN,0.0,0.0,0.0,0.0,0.0,4.3,51.1,0.3, 
Corey Davis,WR,TEN,0.0,0.0,0.0,3.5,0.0,3.8,51.2,0.3, 
Mohamed Sanu,WR,ATL,0.0,0.0,0.0,2.2,0.0,4.2,51.2,0.3, 
Dante Pettis,WR,SF,0.0,0.0,0.0,0.0,0.0,4.0,55.9,0.2,IR
Josh Reynolds,WR,LAR,0.0,0.0,0.0,1.5,0.0,3.6,47.2,0.4, 
D.J. Moore,WR,CAR,0.0,0.0,0.0,6.5,0.0,3.7,48.1,0.2, 
Tim Patrick,WR,DEN,0.0,0.0,0.0,1.6,0.0,3.7,49.1,0.3, 
Robby Anderson,WR,NYJ,0.0,0.0,0.0,1.5,0.0,3.3,50.5,0.3, 
Jordy Nelson,WR,OAK,0.0,0.0,0.0,1.6,0.0,4.0,49.6,0.2, 
