Player,POS,Team,Receptions,Rec Yds,Rec TD
Julio Jones,WR,ATL,8,110,1
Tyreek Hill,WR,KC,7,105,1
Antonio Brown,WR,PIT,7,100,1
DeAndre Hopkins,WR,HOU,8,100,1
Keenan Allen,WR,LAC,7,80,1
T.Y. Hilton,WR,IND,6,90,1
Michael Thomas,WR,NO,8,90,1
Davante Adams,WR,GB,6,85,1
Julian Edelman,WR,NE,7,85,1
Amari Cooper,WR,DAL,6,80,1
Robert Woods,WR,LAR,6,80,1
Alshon Jeffery,WR,PHI,5,75,1
Robby Anderson,WR,NYJ,5,70,1
Stefon Diggs,WR,MIN,5,70,1
Mike Evans,WR,TB,6,70,1
Robert Foster,WR,BUF,5,70,1
Kenny Golladay,WR,DET,5,70,1
Tyler Lockett,WR,SEA,5,70,1
JuJu Smith-Schuster,WR,PIT,5,70,1
Brandin Cooks,WR,LAR,5,65,1
Corey Davis,WR,TEN,5,65,1
D.J. Moore,WR,CAR,5,55,1
Allen Robinson,WR,CHI,5,65,1
DaeSean Hamilton,WR,DEN,4,60,1
Dante Pettis,WR,SF,5,60,1
Dede Westbrook,WR,JAX,4,60,1
Doug Baldwin,WR,SEA,5,55,1
Mohamed Sanu,WR,ATL,4,50,1
Golden Tate,WR,PHI,4,45,1
Mike Williams,WR,LAC,4,45,1
Adam Thielen,WR,MIN,7,70,0
Larry Fitzgerald,WR,ARI,6,65,0
Jarvis Landry,WR,CLE,5,65,0
Curtis Samuel,WR,CAR,3,45,0
Kenny Stills,WR,MIA,4,60,0
Adam Humphries,WR,TB,5,55,0
Sterling Shepard,WR,NYG,5,55,0
Tyrell Williams,WR,LAC,3,55,0
Josh Doctson,WR,WAS,4,50,0
Jordy Nelson,WR,OAK,4,50,0
John Ross,WR,CIN,4,50,0
Marquez Valdes-Scantling,WR,GB,4,50,0
Taylor Gabriel,WR,CHI,4,45,0
Michael Gallup,WR,DAL,3,45,0
DeVante Parker,WR,MIA,4,45,0
Tim Patrick,WR,DEN,3,45,0
Cordarrelle Patterson,WR,NE,2,35,0
Courtland Sutton,WR,DEN,3,45,0
Danny Amendola,WR,MIA,4,40,0
Antonio Callaway,WR,CLE,3,40,0
Chris Conley,WR,KC,3,40,0
Jamison Crowder,WR,WAS,3,40,0
Chris Hogan,WR,NE,3,40,0
Jermaine Kearse,WR,NYJ,3,40,0
Donte Moncrief,WR,JAX,3,40,0
Josh Reynolds,WR,LAR,3,40,0
Calvin Ridley,WR,ATL,3,40,0
Demaryius Thomas,WR,HOU,3,40,0
Kendrick Bourne,WR,SF,3,35,0
Alex Erickson,WR,CIN,3,35,0
DeSean Jackson,WR,TB,2,35,0
Zay Jones,WR,BUF,3,35,0
Willie Snead,WR,BAL,2,35,0
Taywan Taylor,WR,TEN,2,35,0
Marcell Ateman,WR,OAK,2,30,0
John Brown,WR,BAL,2,30,0
Michael Crabtree,WR,BAL,3,30,0
Chris Godwin,WR,TB,2,30,0
Keith Kirkwood,WR,NO,3,30,0
Anthony Miller,WR,CHI,2,30,0
Zach Pascal,WR,IND,2,30,0
Seth Roberts,WR,OAK,2,30,0
Trent Sherfield,WR,ARI,3,30,0
Ryan Switzer,WR,PIT,2,25,0
Nelson Agholor,WR,PHI,2,25,0
Cole Beasley,WR,DAL,2,25,0
Marquise Goodwin,WR,SF,2,25,0
Rashard Higgins,WR,CLE,2,25,0
Dontrelle Inman,WR,IND,2,25,0
T.J. Jones,WR,DET,2,25,0
Isaiah McKenzie,WR,BUF,2,25,0
David Moore,WR,SEA,2,25,0
Breshad Perriman,WR,CLE,2,25,0
Demarcus Robinson,WR,KC,2,25,0
Tajae Sharpe,WR,TEN,2,25,0
Tre'Quan Smith,WR,NO,2,25,0
James Washington,WR,PIT,2,25,0
Travis Benjamin,WR,LAC,1,20,0
DeAndre Carter,WR,HOU,1,20,0
Keelan Cole,WR,JAX,2,20,0
Andre Roberts,WR,NYJ,2,20,0
Equanimeous St. Brown,WR,GB,2,20,0
Devin Funchess,WR,CAR,1,15,0
Jarius Wright,WR,CAR,1,15,0
Corey Coleman,WR,NYG,1,10,0
Ryan Grant,WR,IND,1,10,0
Jordan Matthews,WR,PHI,1,10,0
Brandon Powell,WR,DET,1,10,0
