Player,Team,Salary
Kansas City,KAN,2600
New England,NWE,3100
LA Chargers,LAC,3200
Buffalo,BUF,2700
Philadelphia,PHI,2700
Arizona,ARI,2200
LA Rams,LAR,3900
Detroit,DET,2100
Houston,HOU,3300
Denver,DEN,2200
Cincinnati,CIN,2000
Seattle,SEA,3700
Jacksonville,JAC,2300
Chicago,CHI,2800
Pittsburgh,PIT,3500
Baltimore,BAL,2900
Carolina,CAR,2300
Miami,MIA,2600
Washington,WAS,2200
Cleveland,CLE,2400
Tampa Bay,TAM,2100
Atlanta,ATL,2600
New York G,NYG,2100
Oakland,OAK,2200
Dallas,DAL,3000
New Orleans,NOR,2700
New York J,NYJ,2100
Green Bay,GNB,2400
Minnesota,MIN,2500
San Francisco,SFO,2000
