Player,POS,Team,Fantasy Points,Int,Fum Rec,Sack,Status,TD
Seattle Seahawks,DST,SEA,11.8,0.9,0.6,2.8, ,0.1
New Orleans Saints,DST,NO,11.0,1.5,0.6,3.1, ,0.1
Buffalo Bills,DST,BUF,9.9,1.0,0.6,2.7, ,0.1
Houston Texans,DST,HOU,9.9,1.0,0.7,2.6, ,0.1
Philadelphia Eagles,DST,PHI,8.6,1.3,0.6,2.8, ,0.1
Kansas City Chiefs,DST,KC,7.3,0.6,0.7,3.4, ,0.1
Chicago Bears,DST,CHI,6.5,0.9,0.6,2.5, ,0.1
Los Angeles Chargers,DST,LAC,6.3,0.9,0.4,2.7, ,0.1
Pittsburgh Steelers,DST,PIT,6.3,0.5,0.5,2.5, ,0.1
New England Patriots,DST,NE,6.3,1.2,0.4,2.0, ,0.1
Atlanta Falcons,DST,ATL,6.2,1.3,0.5,2.8, ,0.1
Green Bay Packers,DST,GB,6.1,0.5,0.4,2.6, ,0.0
Los Angeles Rams,DST,LAR,6.0,1.0,0.5,2.3, ,0.1
New York Giants,DST,NYG,6.0,1.0,0.4,2.5, ,0.0
Miami Dolphins,DST,MIA,5.9,1.0,0.5,2.0, ,0.1
Carolina Panthers,DST,CAR,5.9,0.7,0.5,2.4, ,0.1
Cleveland Browns,DST,CLE,5.8,0.7,0.6,2.4, ,0.1
Minnesota Vikings,DST,MIN,5.7,0.9,0.4,2.4, ,0.0
Dallas Cowboys,DST,DAL,5.5,0.6,0.5,2.4, ,0.1
Indianapolis Colts,DST,IND,5.5,0.7,0.5,2.3, ,0.1
Baltimore Ravens,DST,BAL,4.9,0.7,0.4,2.0, ,0.1
Denver Broncos,DST,DEN,4.8,0.7,0.5,2.4, ,0.1
Washington Redskins,DST,WAS,4.6,0.8,0.6,1.9, ,0.1
Arizona Cardinals,DST,ARI,4.4,0.3,0.6,2.8, ,0.1
Tampa Bay Buccaneers,DST,TB,4.3,0.5,0.5,2.7, ,0.1
Detroit Lions,DST,DET,4.2,0.4,0.4,2.8, ,0.1
Tennessee Titans,DST,TEN,4.1,1.0,0.4,1.4, ,0.1
Jacksonville Jaguars,DST,JAX,4.0,0.5,0.3,2.6, ,0.0
San Francisco 49ers,DST,SF,3.4,0.7,0.4,2.3, ,0.1
New York Jets,DST,NYJ,2.6,0.5,0.5,1.8, ,0.1
Cincinnati Bengals,DST,CIN,1.2,1.0,0.4,1.5, ,0.1
Oakland Raiders,DST,OAK,0.1,0.8,0.3,1.0, ,0.0
