Player,Bye,Proj,Actual,Pts vs.*,Sack,Safe,TFL,Int,Fum Rec,TD,TD,Blk Kick,4 Dwn Stops,Yds Allow*,3 And Outs,Yds,TD,TD,POS
No new player Notes Seattle Sea - DEF Final (W) 27-24 vs Ari,7,36,36,12.8,3.4,0.1,5.1,1.1,0.8,0.2,0.0,0.1,0.7,288,4.8,140.0,0.2,0.0,DST
No new player Notes New Orleans NO - DEF Final (L) 33-14 vs Car,6,46,46,17.8,4.3,0.0,5.8,1.4,0.8,0.2,0.1,0.0,0.7,324,4.8,121.0,0.2,0.1,DST
No new player Notes Pittsburgh Pit - DEF Final (W) 16-13 vs Cin,7,56,56,15.5,3.7,0.1,5.8,1.2,0.7,0.3,0.0,0.1,1.1,287,3.5,109.0,0.3,0.0,DST
No new player Notes New England NE - DEF Final (W) 38-3 vs NYJ,11,70,70,16.3,3.6,0.1,5.7,1.1,0.7,0.2,0.0,0.1,0.9,342,4.6,101.0,0.2,0.0,DST
No new player Notes Los Angeles LAR - DEF Final (W) 48-32 vs SF,12,80,80,19.5,3.4,0.1,5.6,1.2,0.6,0.2,0.1,0.0,0.4,340,3.6,58.1,0.2,0.1,DST
No new player Notes Kansas City KC - DEF Final (W) 35-3 vs Oak,12,81,81,19.3,3.6,0.0,4.6,1.3,0.8,0.2,0.0,0.0,1.1,361,4.1,62.6,0.2,0.0,DST
No new player Notes Los Angeles LAC - DEF Final (W) 23-9 @ Den,8,82,82,18.5,3.0,0.0,5.0,1.0,0.6,0.2,0.0,0.0,0.8,332,3.3,110.0,0.2,0.0,DST
No new player Notes Houston Hou - DEF Final (W) 20-3 vs Jax,10,86,86,16.3,3.2,0.1,5.0,0.9,0.6,0.2,0.1,0.0,0.3,312,3.1,95.2,0.2,0.1,DST
No new player Notes Philadelphia Phi - DEF Final (W) 24-0 @ Was,9,94,94,18.0,2.8,0.1,4.5,1.0,0.6,0.2,0.1,0.1,0.9,295,3.0,80.5,0.2,0.1,DST
No new player Notes Baltimore Bal - DEF Final (W) 26-24 vs Cle,10,97,97,16.8,3.1,0.1,4.7,1.0,0.7,0.2,0.0,0.0,0.8,322,3.8,68.2,0.2,0.0,DST
No new player Notes Green Bay GB - DEF Final (L) 31-0 vs Det,7,99,99,18.8,3.2,0.0,4.3,1.0,0.7,0.2,0.0,0.0,0.4,407,4.4,77.3,0.2,0.0,DST
No new player Notes New York NYG - DEF Final (L) 36-35 vs Dal,9,102,102,15.8,2.7,0.0,3.5,1.0,0.6,0.2,0.1,0.1,0.9,303,3.8,93.1,0.2,0.1,DST
No new player Notes Minnesota Min - DEF Final (L) 24-10 vs Chi,10,103,103,17.3,2.9,0.1,4.8,0.9,0.6,0.2,0.1,0.0,0.8,348,3.6,82.5,0.2,0.1,DST
No new player Notes Buffalo Buf - DEF Final (W) 42-17 vs Mia,11,105,105,17.3,3.3,0.0,4.4,1.1,0.6,0.1,0.0,0.0,0.7,327,4.0,97.1,0.1,0.0,DST
No new player Notes Chicago Chi - DEF Final (W) 24-10 @ Min,5,149,149,23.3,2.6,0.0,3.3,0.9,0.5,0.2,0.1,0.1,0.2,373,2.8,74.1,0.2,0.1,DST
No new player Notes Indianapolis Ind - DEF Final (W) 33-17 @ Ten,9,157,157,19.3,3.0,0.0,3.6,1.1,0.6,0.1,0.0,0.0,0.4,309,3.0,44.1,0.1,0.0,DST
No new player Notes Atlanta Atl - DEF Final (W) 34-32 @ TB,8,173,173,24.5,2.7,0.0,4.2,0.9,0.6,0.1,0.0,0.0,0.4,386,3.2,75.5,0.1,0.0,DST
Player Note Cleveland Cle - DEF Final (L) 26-24 @ Bal,11,199,199,23.8,2.4,0.0,3.4,0.7,0.5,0.1,0.1,0.0,0.3,329,2.8,67.1,0.1,0.1,DST
No new player Notes Tampa Bay TB - DEF Final (L) 34-32 vs Atl,5,207,207,27.0,2.6,0.0,3.5,0.7,0.6,0.1,0.1,0.1,0.6,418,2.3,88.6,0.1,0.1,DST
No new player Notes Miami Mia - DEF Final (L) 42-17 @ Buf,11,210,210,22.3,2.3,0.0,2.4,1.0,0.5,0.1,0.0,0.0,0.4,331,2.5,63.5,0.1,0.0,DST
No new player Notes Tennessee Ten - DEF Final (L) 33-17 vs Ind,8,237,237,24.3,2.2,0.0,3.0,0.7,0.5,0.1,0.1,0.1,0.3,405,2.4,67.3,0.1,0.1,DST
No new player Notes Carolina Car - DEF Final (W) 33-14 @ NO,4,250,250,25.3,2.7,0.0,4.0,0.9,0.5,0.1,0.0,0.1,0.8,373,3.2,32.4,0.1,0.0,DST
No new player Notes Washington Was - DEF Final (L) 24-0 vs Phi,4,258,258,24.0,2.3,0.0,3.1,0.7,0.5,0.1,0.0,0.0,0.4,337,2.3,56.7,0.1,0.0,DST
No new player Notes Detroit Det - DEF Final (W) 31-0 @ GB,6,280,280,26.3,2.1,0.0,2.8,0.8,0.5,0.1,0.0,0.1,0.4,349,2.2,60.7,0.1,0.0,DST
No new player Notes Dallas Dal - DEF Final (W) 36-35 @ NYG,8,297,297,22.8,2.2,0.0,3.2,0.7,0.5,0.1,0.0,0.0,0.5,349,2.2,51.8,0.1,0.0,DST
No new player Notes Jacksonville Jax - DEF Final (L) 20-3 @ Hou,9,321,321,23.3,2.0,0.1,3.8,0.7,0.4,0.1,0.1,0.0,0.3,363,2.8,47.3,0.1,0.1,DST
No new player Notes Denver Den - DEF Final (L) 23-9 vs LAC,10,338,338,25.0,2.1,0.0,2.7,0.6,0.4,0.2,0.1,0.1,0.3,439,2.9,35.3,0.2,0.1,DST
No new player Notes Arizona Ari - DEF Final (L) 27-24 @ Sea,9,344,344,26.8,1.7,0.0,2.6,0.5,0.3,0.1,0.0,0.0,0.4,426,2.0,68.5,0.1,0.0,DST
No new player Notes Cincinnati Cin - DEF Final (L) 16-13 @ Pit,9,398,398,29.5,1.9,0.0,2.7,0.6,0.4,0.1,0.0,0.0,0.4,429,2.0,59.3,0.1,0.0,DST
No new player Notes San Francisco SF - DEF Final (L) 48-32 @ LAR,11,444,444,30.0,2.2,0.0,2.9,0.7,0.5,0.1,0.0,0.0,0.3,427,3.1,28.5,0.1,0.0,DST
No new player Notes New York NYJ - DEF Final (L) 38-3 @ NE,11,541,541,30.3,1.6,0.0,1.8,0.7,0.4,0.1,0.0,0.0,0.3,395,1.8,44.7,0.1,0.0,DST
No new player Notes Oakland Oak - DEF Final (L) 35-3 @ KC,7,567,567,33.3,1.7,0.1,2.4,0.5,0.4,0.1,0.0,0.0,0.2,434,1.9,25.1,0.1,0.0,DST
