Player,Team,Salary
Josh Allen,BUF,6000
Dak Prescott,DAL,5800
Jameis Winston,TAM,6100
Matt Ryan,ATL,6300
Lamar Jackson,BAL,5600
Baker Mayfield,CLE,5300
Tom Brady,NWE,6000
Kyle Allen,CAR,4000
Jared Goff,LAR,6200
Eli Manning,NYG,4900
Nick Mullens,SFO,4700
Deshaun Watson,HOU,6600
Matthew Stafford,DET,5200
Patrick Mahomes II,KAN,7100
Nick Foles,PHI,5900
Ben Roethlisberger,PIT,7000
Case Keenum,DEN,4800
Ryan Tannehill,MIA,4600
Mitchell Trubisky,CHI,5700
Kirk Cousins,MIN,5500
Philip Rivers,LAC,6400
Teddy Bridgewater,NOR,5300
Russell Wilson,SEA,6100
Sam Darnold,NYJ,5200
Taysom Hill,NOR,4700
DeShone Kizer,GNB,4800
Josh Rosen,ARI,4400
Jeff Driskel,CIN,4600
Blake Bortles,JAC,4400
Nate Sudfeld,PHI,4000
Derek Carr,OAK,5100
Josh Johnson,WAS,4800
Chad Henne,KAN,4800
Aaron Rodgers,GNB,6300
Sean Mannion,LAR,4300
Kyle Lauletta,NYG,4000
Joe Webb,HOU,4000
Brian Hoyer,NWE,4400
Geno Smith,LAC,4200
