Player,POS,Team,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD
Melvin Gordon,RB,LAC,70,1,5,40,0
Saquon Barkley,RB,NYG,70,1,4,35,0
Joe Mixon,RB,CIN,70,1,4,35,0
Jamaal Williams,RB,GB,80,1,3,25,0
Chris Carson,RB,SEA,85,1,1,10,0
C.J. Anderson,RB,LAR,75,1,2,15,0
Nick Chubb,RB,CLE,75,1,2,15,0
Derrick Henry,RB,TEN,80,1,1,5,0
David Johnson,RB,ARI,60,1,3,25,0
Royce Freeman,RB,DEN,65,1,2,15,0
Sony Michel,RB,NE,75,1,1,5,0
Dwayne Washington,RB,NO,65,1,2,15,0
Adrian Peterson,RB,WAS,65,1,1,10,0
Rod Smith,RB,DAL,50,1,3,25,0
Damien Williams,RB,KC,50,1,3,25,0
Peyton Barber,RB,TB,60,1,1,10,0
Gus Edwards,RB,BAL,70,1,0,0,0
Doug Martin,RB,OAK,60,1,2,10,0
Brian Hill,RB,ATL,50,1,2,15,0
Marlon Mack,RB,IND,60,1,1,5,0
James Conner,RB,PIT,45,1,2,15,0
Mark Ingram,RB,NO,40,1,1,5,0
Dalvin Cook,RB,MIN,55,0,4,30,0
Jeff Wilson,RB,SF,65,0,3,20,0
Tarik Cohen,RB,CHI,40,0,5,40,0
Elijah McGuire,RB,NYJ,50,0,4,30,0
Cameron Artis-Payne,RB,CAR,40,0,4,35,0
Kenneth Dixon,RB,BAL,45,0,3,25,0
Alfred Blue,RB,HOU,50,0,1,10,0
Kenyan Drake,RB,MIA,25,0,4,35,0
Jalen Richard,RB,OAK,20,0,6,40,0
Darren Sproles,RB,PHI,25,0,4,35,0
Zach Zenner,RB,DET,40,0,3,20,0
Kalen Ballage,RB,MIA,35,0,2,20,0
Tevin Coleman,RB,ATL,40,0,2,15,0
Austin Ekeler,RB,LAC,35,0,2,20,0
Jordan Howard,RB,CHI,45,0,1,10,0
Jaylen Samuels,RB,PIT,30,0,3,25,0
T.J. Yeldon,RB,JAX,35,0,2,20,0
Josh Adams,RB,PHI,50,0,0,0,0
LeSean McCoy,RB,BUF,40,0,1,10,0
Nyheim Hines,RB,IND,10,0,4,35,0
Carlos Hyde,RB,JAX,35,0,1,10,0
Darius Jackson,RB,DAL,35,0,1,10,0
James White,RB,NE,15,0,4,30,0
David Williams,RB,JAX,35,0,1,10,0
Devontae Booker,RB,DEN,15,0,3,25,0
Mike Davis,RB,SEA,25,0,2,15,0
Dion Lewis,RB,TEN,20,0,3,20,0
Jacquizz Rodgers,RB,TB,10,0,4,30,0
LeGarrette Blount,RB,DET,35,0,0,0,0
Trenton Cannon,RB,NYJ,15,0,2,20,0
John Kelly,RB,LAR,30,0,1,5,0
Theo Riddick,RB,DET,10,0,4,25,0
Chris Thompson,RB,WAS,10,0,3,25,0
Giovani Bernard,RB,CIN,15,0,2,15,0
Rex Burkhead,RB,NE,15,0,2,15,0
Duke Johnson,RB,CLE,10,0,2,20,0
Latavius Murray,RB,MIN,25,0,0,0,0
Rashaad Penny,RB,SEA,25,0,0,0,0
Chase Edmonds,RB,ARI,20,0,0,0,0
Wendell Smallwood,RB,PHI,10,0,1,10,0
DeAndre Washington,RB,OAK,10,0,1,5,0
Kyle Juszczyk,RB,SF,0,0,1,10,0
