Player,Team,GP,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,Fum Lost,2PT,Tack,Ast,Sack,Int,Frc Fum,Fum Rec,Pass Def,POS,TD
Josh Adams,PHI,1.0,53.38,0.37,0.74,4.31,0.02,0.11,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
C.J. Anderson,LAR,1.0,70.4,0.48,2.05,16.74,0.09,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Alex Armah,CAR,1.0,2.64,0.01,0.23,0.37,0.02,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Cameron Artis-Payne,CAR,1.0,9.62,0.06,0.65,4.04,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Kalen Ballage,MIA,1.0,32.42,0.24,1.34,9.33,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Peyton Barber,TB,1.0,64.3,0.46,1.3,10.24,0.05,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Saquon Barkley,NYG,1.0,78.71,0.54,4.68,44.59,0.21,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Kenjon Barner,CAR,1.0,6.94,0.03,0.44,3.39,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Giovani Bernard,CIN,1.0,11.77,0.07,1.98,19.65,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.02
Kapri Bibbs,GB,1.0,8.84,0.07,0.85,8.42,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
LeGarrette Blount,DET,1.0,36.16,0.25,1.17,9.11,0.06,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Alfred Blue,HOU,1.0,27.16,0.14,1.02,8.3,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Tommy Bohanon,JAX,1.0,0.0,0.0,0.59,3.22,0.04,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Brandon Bolden,MIA,1.0,15.9,0.15,0.81,7.11,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Devontae Booker,DEN,1.0,20.31,0.14,2.7,25.81,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.01
