Player,Team,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,Pass Yds,Pass TD,Pass Int,2PT
Adrian Peterson,WAS,59.29175967772971,0.4959911649654579,1.4295325688444753,15.101993839410074,0.08647203814218477,0.0,0.0,0.0,0.0
Alex Armah,CAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
Alfred Blue,HOU,26.59870115210441,0.2,0.853963923086414,8.636299624224698,0.0,0.0,0.0,0.0,0.0
Alfred Morris,SF,19.20989937387968,0.11,0.7810412280560783,8.771434558005044,0.0,0.0,0.0,0.0,0.0
Andy Janovich,DEN,0.9,0.0,0.8,6.9901657094779335,0.0,0.0,0.0,0.0,0.0
Anthony Sherman,KC,0.0,0.0,0.3540222566223007,0.0,0.0,0.0,0.0,0.0,0.0
Austin Ekeler,LAC,23.453112598705566,0.2,1.9189346477448876,19.138716107007884,0.1,0.0,0.0,0.0,0.0
Benny Cunningham,CHI,0.0,0.0,0.23025280079608224,0.0,0.0,0.0,0.0,0.0,0.0
Boston Scott,PHI,0.0,0.0,0.23333471339437925,0.0,0.0,0.0,0.0,0.0,0.0
Brandon Bolden,MIA,15.9,0.0,0.4770627320176801,0.3,0.0,0.0,0.0,0.0,0.0
Brandon Wilson,CIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brian Hill,ATL,28.23727532133549,0.31030988834997963,1.3926072712176807,12.566646032848169,0.1,0.0,0.0,0.0,0.0
C.J. Anderson,LAR,57.89367642833262,0.6203860217189358,2.485565775763828,21.45998237730031,0.08685644490059734,0.0,0.0,0.0,0.0
Cameron Artis-Payne,CAR,21.027677559547385,0.3114074732498471,1.7229703911895675,17.01845070153584,0.018210678398607148,0.0,0.0,0.0,0.0
Carlos Hyde,JAX,45.47182860887691,0.3,1.2457765234550808,11.1,0.1,0.0,0.0,0.0,0.0
Charcandrick West,KC,0.0,0.0,0.8413899218714417,5.887362909892301,0.1,0.0,0.0,0.0,0.0
Chase Edmonds,ARI,23.429644767202582,0.22,0.9559516278515442,7.921764079862,0.0,0.0,0.0,0.0,0.0
Chris Carson,SEA,68.6714672281058,0.7036142507860493,1.4261978048793604,13.932461010280576,0.1,0.0,0.0,0.0,0.01
Chris Ivory,BUF,32.5,0.1730874809323042,1.1536599592511552,13.099447122343935,0.01674828040843489,0.0,0.0,0.0,0.0
Chris Thompson,WAS,20.191645055767957,0.0,2.976564501118803,26.737547721341798,0.09436435105322856,0.0,0.0,0.0,0.0
Christian McCaffrey,CAR,50.9046171571889,0.38,4.889106707462737,40.52068186458699,0.26,0.0,0.0,0.0,0.0
Dalvin Cook,MIN,63.28655595150125,0.5,3.455339342814198,28.837207881575512,0.12,0.0,0.0,0.0,0.01
Damien Williams,KC,36.34231474545124,0.5517902442861292,3.0207223429721113,25.027061217067384,0.20864743183608025,0.0,0.0,0.0,0.0
Danny Vitale,GB,0.0,0.0,0.22048915652702153,0.0,0.0,0.0,0.0,0.0,0.0
Darius Jackson,DAL,20.1401123529755,0.0,1.2140581918778632,12.5,0.0,0.0,0.0,0.0,0.0
Darren Sproles,PHI,19.627318514649204,0.0,3.1738366090129313,30.00576532719759,0.12498585302882764,0.0,0.0,0.0,0.0
David Johnson,ARI,58.905843430131604,0.4163366767521688,3.0743873662692143,28.557286240146038,0.1782490489353352,0.0,0.0,0.0,0.0
David Williams,JAX,13.805404532889396,0.0,0.7133147849196657,7.025455520608117,0.0,0.0,0.0,0.0,0.0
De'Angelo Henderson Sr.,NYJ,0.0,0.0,0.29349244131066765,0.0,0.0,0.0,0.0,0.0,0.0
DeAndre Washington,OAK,2.7,0.0,0.5148156286124257,1.0,0.0,0.0,0.0,0.0,0.0
Derek Watt,LAC,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Derrick Coleman,ARI,0.1,0.0,0.2477584805250521,0.0,0.0,0.0,0.0,0.0,0.01
Derrick Henry,TEN,75.30526926835111,0.7520989217247009,1.0536963534692876,8.396578332034617,0.1,0.0,0.0,0.0,0.0
Devontae Booker,DEN,29.96339078198764,0.2,2.781300426561918,24.91762378051869,0.12,0.0,0.0,0.0,0.0
Dion Lewis,TEN,26.12148790642604,0.1972028896674058,2.7698379294733053,23.26966932148154,0.1,0.0,0.0,0.0,0.0
Dontrell Hilliard,CLE,0.0,0.0,0.5923098582379874,7.445224823823434,0.0,0.0,0.0,0.0,0.0
Doug Martin,OAK,57.74277558917641,0.5309398733327134,1.5086532522820757,9.715477722839328,0.0,0.0,0.0,0.0,0.03
Duke Johnson,CLE,15.5,0.0,2.5399857113901976,23.76175526653774,0.17,0.0,0.0,0.0,0.07
Dwayne Washington,NO,43.18810312111503,0.48695014443111884,2.1505434112104087,19.798848841352235,0.04898063618658913,0.0,0.0,0.0,0.0
Elijah McGuire,NYJ,51.744576968471726,0.4,3.313732544585605,29.82269852271676,0.1782490489353352,0.0,0.0,0.0,0.01
Elijhaa Penny,NYG,0.0,0.0,1.0484789027575332,8.962452167195945,0.0,0.0,0.0,0.0,0.0
Giovani Bernard,CIN,14.361472491916851,0.0,2.00676739892088,19.7,0.1,0.0,0.0,0.0,0.0
Gus Edwards,BAL,68.8177933924253,0.47247861428729543,0.33426288009677063,0.0,0.0,0.0,0.0,0.0,0.01
J.D. McKissic,SEA,0.0,0.0,0.5879325164417902,0.0,0.0802784754962178,0.0,0.0,0.0,0.0
Jacquizz Rodgers,TB,16.55941530401529,0.0,2.5719898843466984,23.911628391389847,0.08041045064002181,0.0,0.0,0.0,0.0
Jalen Richard,OAK,22.523697570999246,0.2,4.552750468474769,38.84934950841158,0.26,0.0,0.0,0.0,0.0
Jamaal Williams,GB,61.460286403933786,0.58742309381338,3.1537048259446685,28.328647998529785,0.2,0.0,0.0,0.0,0.01
James Conner,PIT,65.5388472288166,0.6895656629719702,3.0520104368115923,26.66757750942167,0.14131236004335107,0.0,0.0,0.0,0.01
James Develin,NE,0.2,0.0,0.6597351677832874,2.2512280334183554,0.0,0.0,0.0,0.0,0.0
James White,NE,20.82296841085177,0.21,4.2238365467616195,36.05923143302547,0.2919069554167279,0.0,0.0,0.0,0.03
Jamize Olawale,DAL,0.0,0.0,0.6294457058135686,0.0,0.0,0.0,0.0,0.0,0.0
Jaylen Samuels,PIT,28.367415581996227,0.285767327107642,2.1307231809289515,17.716334637776676,0.08685644490059734,0.0,0.0,0.0,0.0
Jeff Wilson,SF,59.67423988877754,0.4060497517199104,2.9392208851241324,22.641103859298816,0.2,0.0,0.0,0.0,0.01
Joe Mixon,CIN,68.41498242711734,0.5704752662513168,3.1957222253617124,28.142615707818845,0.11,0.0,0.0,0.0,0.0
John Kelly,LAR,28.360747483681067,0.41817415759567955,1.5393570134685588,11.005914990660521,0.1,0.0,0.0,0.0,0.0
Jordan Howard,CHI,56.99204307048175,0.4,1.239815779090259,11.084097449661328,0.0,0.0,0.0,0.0,0.0
Jordan Wilkins,IND,1.0,0.0,0.5290729475809011,0.9,0.0,0.0,0.0,0.0,0.0
Josh Adams,PHI,57.40587581053764,0.5,0.7405356199671596,5.398623726282564,0.08635406266916992,0.0,0.0,0.0,0.04
Justin Davis,LAR,0.0,0.0,0.25908799327690973,0.0,0.0,0.0,0.0,0.0,0.0
Justin Jackson,LAC,14.34390406891834,0.0,0.9197162284927395,7.889451857524183,0.0,0.0,0.0,0.0,0.0
