Player,Team,Receptions,Rec Yds,Rec TD,Pass Yds,Pass TD,Pass Int,Rush Yds,Rush TD,2PT
Adam Shaheen,CHI,1.8,18.7,0.2,0.0,0.0,0.0,0.05,0.0,0.0
Anthony Firkser,TEN,2.3,26.2,0.12,0.0,0.0,0.0,0.02,0.0,0.0
Antonio Gates,LAC,1.7,21.6,0.2,0.0,0.0,0.0,0.09,0.0,0.0
Antony Auclair,TB,1.2,13.1,0.1,0.0,0.0,0.0,0.03,0.0,0.0
Austin Hooper,ATL,4.3,46.7,0.4,0.0,0.0,0.0,0.02,0.0,0.0
Ben Braunecker,CHI,0.39,3.91,0.04,0.0,0.0,0.0,0.1,0.0,0.0
Ben Koyack,JAX,0.3,4.4463703508957035,0.02,0.0,0.0,0.0,0.03,0.0,0.0
Benjamin Watson,NO,2.5,26.8,0.11,0.0,0.0,0.0,0.12,0.0,0.0
Blake Bell,JAX,1.3,13.9,0.1,0.0,0.0,0.0,0.03,0.0,0.0
Blake Jarwin,DAL,3.0,35.0,0.1,0.0,0.0,0.0,0.12,0.0,0.0
Brian Parker,DEN,2.0,25.0,0.1,0.0,0.0,0.0,0.02,0.0,0.0
C.J. Uzomah,CIN,4.0,40.0,1.0,0.0,0.0,0.0,0.06,0.0,0.0
Cameron Brate,TB,5.1,55.0,0.7,0.0,0.0,0.0,0.06,0.0,0.0
Chris Herndon,NYJ,4.0,53.7,1.0,0.0,0.0,0.0,0.05,0.0,0.0
Chris Manhertz,CAR,1.0,12.1,0.1,0.0,0.0,0.0,0.03,0.0,0.0
Clark Harris,CIN,0.05,0.62,0.01,0.0,0.0,0.0,0.03,0.0,0.0
Dallas Goedert,PHI,2.0,20.0,0.2,0.0,0.0,0.0,0.06,0.0,0.0
Dalton Schultz,DAL,2.5,23.2,0.2,0.0,0.0,0.0,0.05,0.0,0.0
Dan Arnold,NO,2.5,26.5,0.2,0.0,0.0,0.0,0.14,0.0,0.0
Darrell Daniels,ARI,0.4,4.2,0.01,0.0,0.0,0.0,0.03,0.0,0.0
Darren Fells,CLE,1.0,10.712509792743381,0.24495709316279793,0.0,0.0,0.0,0.05,0.0,0.0
David Morgan,MIN,0.6,6.50171655907568,0.0,0.0,0.0,0.0,0.06,0.0,0.0
David Njoku,CLE,4.0,40.0,1.0,0.0,0.0,0.0,0.06,0.0,0.0
Demetrius Harris,KC,1.6,18.5,0.3,0.0,0.0,0.0,0.1,0.0,0.0
Derek Carrier,OAK,1.7,18.1,0.1,0.0,0.0,0.0,0.02,0.0,0.0
Donnie Ernsberger,TB,0.35,3.7,0.04,0.0,0.0,0.0,0.05,0.0,0.0
Durham Smythe,MIA,0.7,7.03,0.1,0.0,0.0,0.0,0.12,0.0,0.0
Dwayne Allen,NE,0.61,5.453417835123211,0.2471005141970467,0.0,0.0,0.0,0.11,0.0,0.0
