Player,Team,Receptions,Rec Yds,Rec TD,Pass Yds,Pass TD,Pass Int,Rush Yds,Rush TD,2PT
Adam Shaheen,CHI,1.0,10.853960451265682,-0.018700430446610947,0.0,0.0,0.0,0.0,0.0,0.0
Anthony Firkser,TEN,1.5,16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antonio Gates,LAC,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antony Auclair,TB,0.3,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austin Hooper,ATL,3.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ben Braunecker,CHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ben Koyack,JAX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benjamin Watson,NO,0.6,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blake Bell,JAX,0.3,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blake Jarwin,DAL,1.34,15.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brian Parker,DEN,0.5,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C.J. Uzomah,CIN,2.7,28.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0
Cameron Brate,TB,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chris Herndon,NYJ,3.4,37.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0
Chris Manhertz,CAR,0.0,0.0,-0.12298727252291906,0.0,0.0,0.0,0.0,0.0,0.0
Clark Harris,CIN,0.0,-0.05752199652260759,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dallas Goedert,PHI,1.6,16.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dalton Schultz,DAL,1.19,10.896884438098768,0.09,0.0,0.0,0.0,0.0,0.0,0.0
Dan Arnold,NO,1.3,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Darrell Daniels,ARI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Darren Fells,CLE,0.3,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
David Morgan,MIN,0.12,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
David Njoku,CLE,2.9,28.38,0.2,0.0,0.0,0.0,0.0,0.0,0.0
Demetrius Harris,KC,0.7,8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Derek Carrier,OAK,0.2,2.6,-0.1251306935619641,0.0,0.0,0.0,0.0,0.0,0.0
Donnie Ernsberger,TB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Durham Smythe,MIA,0.2,1.9,-0.14281367212288867,0.0,0.0,0.0,0.0,0.0,0.0
Dwayne Allen,NE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ed Dickson,SEA,1.4,15.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eric Ebron,IND,4.0,46.61,0.38,0.0,0.0,0.0,-0.4,0.0,0.0
Eric Saubert,ATL,0.2,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Evan Engram,NYG,4.3,47.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0
George Kittle,SF,4.9,70.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0
Gerald Everett,LAR,2.2,24.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hayden Hurst,BAL,0.86,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
