Player,Team,Receptions,Rec Yds,Rec TD,Pass Yds,Pass TD,Pass Int,Rush Yds,Rush TD,2PT
Adam Shaheen,CHI,1.1810110510217982,15.185899381061514,0.12625702854648102,0,0,0,0,0,0.0
Anthony Firkser,TEN,1.7858659712893394,17.959948442818458,0.12,0,0,0,0,0,0.0
Antonio Gates,LAC,1.4705442342151327,20.368311012670073,0.2,0,0,0,0,0,0.0
Antony Auclair,TB,0.3,7.205349783361493,0.0,0,0,0,0,0,0.0
Austin Hooper,ATL,3.1950882590080933,34.569692138832224,0.35314817563296164,0,0,0,0,0,0.0
Ben Braunecker,CHI,0.0,0.0,0.0,0,0,0,0,0,0.0
Ben Koyack,JAX,0.0,0.0,0.0,0,0,0,0,0,0.0
Benjamin Watson,NO,1.0624208401690065,11.294951408086922,0.11,0,0,0,0,0,0.0
Blake Bell,JAX,0.3,10.342039226428234,0.1,0,0,0,0,0,0.0
Blake Jarwin,DAL,1.955773829479622,18.050739733062148,0.1,0,0,0,0,0,0.0
Brian Parker,DEN,1.2773246917390162,10.803225765049113,0.1,0,0,0,0,0,0.0
C.J. Uzomah,CIN,3.2657900947746024,34.37714209076107,0.2578958015536611,0,0,0,0,0,0.0
Cameron Brate,TB,2.194146980670838,27.45537200308987,0.09043038376317053,0,0,0,0,0,0.0
Chris Herndon,NYJ,3.5974697604341515,46.439485091921114,0.23445880646269526,0,0,0,0,0,0.0
Chris Manhertz,CAR,0.0,5.242214051585247,0.0,0,0,0,0,0,0.0
Clark Harris,CIN,0.0,0.0,0.0,0,0,0,0,0,0.0
Dallas Goedert,PHI,2.0,20.0,0.11153712456095521,0,0,0,0,0,0.0
Dalton Schultz,DAL,1.3576461826443378,14.25043167545775,0.11424311529402324,0,0,0,0,0,0.0
Dan Arnold,NO,1.573377656321849,15.3228319488635,0.2,0,0,0,0,0,0.0
Darrell Daniels,ARI,0.0,0.0,0.0,0,0,0,0,0,0.0
Darren Fells,CLE,0.3,8.909260189132661,0.08967339564663662,0,0,0,0,0,0.0
David Morgan,MIN,0.12,1.6,0.0,0,0,0,0,0,0.0
David Njoku,CLE,3.192526195771663,31.778090426146615,0.2228933057556695,0,0,0,0,0,0.0
Demetrius Harris,KC,1.1380696994324875,13.584717727902929,0.28429488678669157,0,0,0,0,0,0.0
Derek Carrier,OAK,0.2,5.346266481206786,0.0,0,0,0,0,0,0.0
Donnie Ernsberger,TB,0.0,0.0,0.0,0,0,0,0,0,0.0
Durham Smythe,MIA,0.2,1.9,0.0,0,0,0,0,0,0.0
Dwayne Allen,NE,0.0,0.0,0.08048508321024564,0,0,0,0,0,0.0
Ed Dickson,SEA,1.7813118628631965,18.44473360437954,0.2025225232891608,0,0,0,0,0,0.0
Eric Ebron,IND,4.0,46.66169095160805,0.38,0,0,0,0,0,0.0
Eric Saubert,ATL,0.2,1.7,0.0,0,0,0,0,0,0.0
Evan Engram,NYG,4.338202639259815,49.23182589191126,0.35003308865244,0,0,0,0,0,0.0
George Kittle,SF,5.775206042438791,79.67533030700265,0.4365757202685858,0,0,0,0,0,0.0
Gerald Everett,LAR,3.1472817821144323,34.45519379606257,0.4,0,0,0,0,0,0.0
Hayden Hurst,BAL,1.0858135281001493,11.378190209407261,0.08097739587502323,0,0,0,0,0,0.0
Ian Thomas,CAR,2.92,30.0,0.184833180519285,0,0,0,0,0,0.0
James O'Shaughnessy,JAX,1.931892603755759,17.59696489786161,0.13,0,0,0,0,0,0.0
Jared Cook,OAK,4.050260281541226,48.398602902963205,0.39198885839709197,0,0,0,0,0,0.0
Jason Croom,BUF,2.0880115047761647,25.53394468889656,0.14653962035894685,0,0,0,0,0,0.0
Jeremy Sprinkle,WAS,1.68070145644218,16.97375452067618,0.09117285982796552,0,0,0,0,0,0.0
Jermaine Gresham,ARI,1.4735532004349416,13.104003503622245,0.1,0,0,0,0,0,0.0
Jerome Cunningham,DET,0.0,10.470647950504997,0.0,0,0,0,0,0,0.0
Jesse James,PIT,1.298849047397142,16.27764462895117,0.2,0,0,0,0,0,0.0
Jimmy Graham,GB,2.7842341486328195,35.81264995150346,0.3094510382913987,0,0,0,0,0,0.0
John Phillips,ARI,0.0,8.68685924668118,0.0,0,0,0,0,0,0.0
Johnny Mundt,LAR,0.0,0.0,0.0,0,0,0,0,0,0.0
Jordan Akins,HOU,1.2180343196946466,13.60244955559886,0.1,0,0,0,0,0,0.0
Jordan Leggett,NYJ,1.4263018728322687,15.113641312726653,0.11161721213646299,0,0,0,0,0,0.0
Jordan Thomas,HOU,1.2541241885510497,13.349386195445552,0.09553378140950454,0,0,0,0,0,0.0
Josh Hill,NO,1.5499562649146756,16.554757980904593,0.11,0,0,0,0,0,0.0
Kyle Rudolph,MIN,3.3714159049775114,35.48180306075368,0.3264266339131684,0,0,0,0,0,0.0
Lance Kendricks,GB,1.3010847659805234,11.82063597937874,0.1,0,0,0,0,0,0.0
Lee Smith,OAK,0.0,5.756016239221159,0.07129677077329413,0,0,0,0,0,0.0
Levine Toilolo,DET,1.4304329251757988,18.156191550683992,0.13,0,0,0,0,0,0.0
Logan Paulsen,ATL,0.15,6.528265939100319,0.1,0,0,0,0,0,0.0
Logan Thomas,BUF,0.7,11.651974112105068,0.12019089628160529,0,0,0,0,0,0.0
Luke Stocker,TEN,1.2083392857035868,12.1267851800116,0.1,0,0,0,0,0,0.0
Marcedes Lewis,GB,0.0,0.0,0.0,0,0,0,0,0,0.0
Mark Andrews,BAL,1.8178265040628,20.98,0.1302691886992191,0,0,0,0,0,0.0
Matt Flanagan,WAS,0.0,10.556859761735168,0.1,0,0,0,0,0,0.0
Matt LaCosse,DEN,2.2867719245561755,26.471961029249858,0.16,0,0,0,0,0,0.0
Matt Lengel,CIN,0.0,9.23504658488884,0.12019089627982482,0,0,0,0,0,0.0
Maxx Williams,BAL,0.3,7.81,0.0712967707727212,0,0,0,0,0,0.0
