Player,Bye,Proj,Actual,Att,Att,Comp,Inc,Yds,Yds,Yds,Yds,TD,TD,TD,TD,Int,Pick Six,Sack,1st Downs,1st Downs,1st Downs,40 Yd Cmp,Att,Att,Yds,Yds,Yds,Yds,TD,TD,TD,TD,1st Downs,1st Downs,1st Downs,40 Yd Att,Tgt*,Rec,Yds,Yds,Yds,Yds,TD,TD,TD,TD,1st Downs,1st Downs,1st Downs,40 Yd Rec,Yds,Yds,Yds,Yds,TD,TD,TD,TD,2PT,Tot,Lost,POS
No new player Notes J. Jones Atl - WR Final (W) 34-32 @ TB,8,16,16,0.0,0.2,0.0,0.0,0.0,1.3,107.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.1,4.6,0.0,0.0,0.2,0.0,1.3,107.0,0.0,0.0,0.0,0.5,0.0,0.0,0.1,4.6,0.0,10.9,7.0,0.0,1.3,107.0,0.0,0.0,0.0,0.5,0.0,0.0,0.1,4.6,0.4,0.0,1.3,107.0,0.0,0.0,0.0,0.5,0.0,0.1,0.1,0.1,WR
No new player Notes J. Smith-Schuster Pit - WR Final (W) 16-13 vs Cin,7,27,27,0.0,0.0,0.0,0.0,0.0,0.0,87.9,4.8,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,4.1,0.0,0.0,0.0,0.0,0.0,87.9,4.8,0.0,0.0,0.7,0.0,0.0,0.0,4.1,0.0,8.9,6.3,0.0,0.0,87.9,4.8,0.0,0.0,0.7,0.0,0.0,0.0,4.1,0.3,0.0,0.0,87.9,4.8,0.0,0.0,0.7,0.0,0.1,0.1,0.1,WR
Player Note T. Hill KC - WR Final (W) 35-3 vs Oak,12,30,30,0.0,1.4,0.0,0.0,0.0,8.1,87.3,7.6,0.0,0.0,0.5,0.1,0.0,0.0,0.0,0.0,0.2,3.7,0.0,0.0,1.4,0.0,8.1,87.3,7.6,0.0,0.0,0.5,0.1,0.0,0.2,3.7,0.0,7.5,5.6,0.0,8.1,87.3,7.6,0.0,0.0,0.5,0.1,0.0,0.2,3.7,0.4,0.0,8.1,87.3,7.6,0.0,0.0,0.5,0.1,0.0,0.1,0.1,WR
Player Note K. Allen LAC - WR Final (W) 23-9 @ Den,8,35,35,0.0,0.6,0.0,0.0,0.0,5.4,84.1,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.2,4.3,0.0,0.0,0.6,0.0,5.4,84.1,0.0,0.0,0.0,0.5,0.0,0.0,0.2,4.3,0.0,10.0,6.5,0.0,5.4,84.1,0.0,0.0,0.0,0.5,0.0,0.0,0.2,4.3,0.1,0.0,5.4,84.1,0.0,0.0,0.0,0.5,0.0,0.1,0.1,0.1,WR
No new player Notes D. Hopkins Hou - WR Q Final (W) 20-3 vs Jax,10,37,37,0.0,0.0,0.0,0.0,0.0,0.0,80.2,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,3.6,0.0,0.0,0.0,0.0,0.0,80.2,0.0,0.0,0.0,0.7,0.0,0.0,0.0,3.6,0.0,9.8,5.5,0.0,0.0,80.2,0.0,0.0,0.0,0.7,0.0,0.0,0.0,3.6,0.3,0.0,0.0,80.2,0.0,0.0,0.0,0.7,0.0,0.1,0.1,0.1,WR
Player Note T. Hilton Ind - WR Q Final (W) 33-17 @ Ten,9,38,38,0.0,0.0,0.0,0.0,0.0,0.0,89.3,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,89.3,0.0,0.0,0.0,0.4,0.0,0.0,0.0,4.0,0.0,9.8,6.0,0.0,0.0,89.3,0.0,0.0,0.0,0.4,0.0,0.0,0.0,4.0,0.3,0.0,0.0,89.3,0.0,0.0,0.0,0.4,0.0,0.0,0.1,0.1,WR
No new player Notes M. Evans TB - WR Final (L) 34-32 vs Atl,5,39,39,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,3.7,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,3.7,0.0,9.4,5.7,0.0,0.0,78.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,3.7,0.2,0.0,0.0,78.0,0.0,0.0,0.0,0.6,0.0,0.1,0.1,0.1,WR
Player Note R. Woods LAR - WR Final (W) 48-32 vs SF,12,40,40,0.0,1.3,0.0,0.0,0.0,7.0,76.2,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.3,3.9,0.0,0.0,1.3,0.0,7.0,76.2,0.0,0.0,0.0,0.5,0.0,0.0,0.3,3.9,0.0,7.8,5.8,0.0,7.0,76.2,0.0,0.0,0.0,0.5,0.0,0.0,0.3,3.9,0.1,0.0,7.0,76.2,0.0,0.0,0.0,0.5,0.0,0.0,0.1,0.1,WR
No new player Notes A. Thielen Min - WR Final (L) 24-10 vs Chi,10,48,48,0.0,0.1,0.0,0.0,0.0,0.9,80.5,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.9,0.0,0.0,0.1,0.0,0.9,80.5,0.0,0.0,0.0,0.4,0.0,0.0,0.0,3.9,0.0,9.2,5.9,0.0,0.9,80.5,0.0,0.0,0.0,0.4,0.0,0.0,0.0,3.9,0.2,0.0,0.9,80.5,0.0,0.0,0.0,0.4,0.0,0.0,0.1,0.1,WR
Player Note J. Edelman NE - WR Final (W) 38-3 vs NYJ,11,49,49,0.0,0.0,0.0,0.0,0.0,0.0,76.6,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,4.6,0.0,0.0,0.0,0.0,0.0,76.6,0.0,0.0,0.0,0.4,0.0,0.0,0.0,4.6,0.0,9.0,7.0,0.0,0.0,76.6,0.0,0.0,0.0,0.4,0.0,0.0,0.0,4.6,0.0,0.0,0.0,76.6,0.0,0.0,0.0,0.4,0.0,0.0,0.1,0.1,WR
