Player,POS,Team,Pass Yds,Pass TD,Pass Int,Rush Yds,Rush TD
Cam Newton,QB,CAR,220,2,1,45,1
Drew Brees,QB,NO,325,3,1,0,0
Deshaun Watson,QB,HOU,270,2,1,35,0
Ben Roethlisberger,QB,PIT,305,2,0,5,0
Patrick Mahomes,QB,KC,290,2,1,10,0
Alex Smith,QB,WAS,255,2,0,25,0
Kirk Cousins,QB,MIN,280,2,1,10,0
Ryan Fitzpatrick,QB,TB,270,2,1,15,0
Philip Rivers,QB,LAC,300,2,0,0,0
Tyrod Taylor,QB,CLE,240,2,0,30,0
Andrew Luck,QB,IND,265,2,1,15,0
Russell Wilson,QB,SEA,235,2,0,30,0
Aaron Rodgers,QB,GB,270,2,0,10,0
Tom Brady,QB,NE,285,2,0,0,0
Matt Ryan,QB,ATL,270,2,1,5,0
Matthew Stafford,QB,DET,270,2,1,5,0
Jimmy Garoppolo,QB,SF,275,2,1,0,0
Jared Goff,QB,LAR,260,2,0,5,0
Case Keenum,QB,DEN,260,2,0,5,0
Andy Dalton,QB,CIN,245,2,1,10,0
Eli Manning,QB,NYG,250,2,1,5,0
Blake Bortles,QB,JAX,235,1,2,25,0
Ryan Tannehill,QB,MIA,255,1,1,10,0
Mitchell Trubisky,QB,CHI,225,1,1,25,0
Sam Darnold,QB,NYJ,240,1,1,15,0
Dak Prescott,QB,DAL,215,1,0,25,0
Derek Carr,QB,OAK,240,1,1,5,0
Nick Foles,QB,PHI,235,1,1,5,0
Joe Flacco,QB,BAL,225,1,1,5,0
Josh Allen,QB,BUF,190,1,1,10,0
Blaine Gabbert,QB,TEN,180,1,1,15,0
Marcus Mariota,QB,TEN,55,0,0,5,0
