Player,ATT,YDS,TDS,REC,YDS,TDS,FL,FPTS,POS
Alvin Kamara NO,15.0,70.0,0.7,5.2,50.3,0.5,0.1,19.0,RB
Todd Gurley LAR,20.2,85.8,0.9,4.1,37.5,0.2,0.2,18.3,RB
Ezekiel Elliott DAL,21.5,93.2,0.8,3.0,26.1,0.1,0.1,16.8,RB
James Conner PIT,19.4,83.5,0.7,3.0,22.4,0.1,0.1,15.2,RB
Melvin Gordon LAC,18.6,77.8,0.7,3.6,30.6,0.1,0.1,15.1,RB
Saquon Barkley NYG,18.1,76.0,0.6,3.9,30.8,0.1,0.1,14.8,RB
David Johnson ARI,15.7,62.8,0.6,4.8,43.4,0.2,0.1,14.7,RB
Dalvin Cook MIN,16.4,65.4,0.5,3.6,28.7,0.1,0.2,12.7,RB
Tevin Coleman ATL,16.6,67.0,0.4,2.9,27.7,0.2,0.1,12.7,RB
Joe Mixon CIN,16.9,66.7,0.6,3.0,24.8,0.1,0.2,12.5,RB
Christian McCaffrey CAR,10.9,45.9,0.2,5.4,47.1,0.4,0.2,12.5,RB
Jordan Howard CHI,17.1,69.4,0.6,2.1,16.8,0.0,0.1,12.2,RB
T.J. Yeldon JAC,14.8,62.7,0.5,3.6,28.1,0.1,0.2,12.1,RB
Lamar Miller HOU,17.4,66.5,0.4,2.4,20.6,0.1,0.1,11.4,RB
Adrian Peterson WAS,16.3,62.1,0.6,1.5,14.5,0.1,0.3,11.2,RB
Kenyan Drake MIA,12.9,53.9,0.5,2.9,22.2,0.1,0.1,10.7,RB
Jamaal Williams GB,13.8,54.0,0.5,1.6,15.1,0.1,0.1,10.0,RB
Dion Lewis TEN,11.1,46.6,0.4,3.3,24.7,0.1,0.1,9.9,RB
Carlos Hyde JAC,13.9,58.9,0.5,1.6,11.6,0.0,0.1,9.9,RB
LeSean McCoy BUF,13.9,58.9,0.2,3.0,23.1,0.1,0.2,9.8,RB
Rex Burkhead NE,10.8,44.3,0.5,2.3,19.8,0.1,0.1,9.6,RB
Chris Thompson WAS,4.8,20.9,0.1,4.0,39.6,0.4,0.1,9.3,RB
Royce Freeman DEN,12.6,54.8,0.3,1.8,14.8,0.1,0.1,8.9,RB
Alfred Morris SF,11.4,48.1,0.5,1.2,9.2,0.1,0.1,8.8,RB
Peyton Barber TB,15.3,59.1,0.2,1.5,11.0,0.0,0.2,8.3,RB
James White NE,4.4,18.5,0.1,4.4,33.2,0.4,0.1,7.6,RB
Derrick Henry TEN,12.5,49.3,0.3,1.0,9.5,0.0,0.1,7.4,RB
Chris Carson SEA,10.6,43.5,0.2,2.2,19.0,0.1,0.2,7.4,RB
Phillip Lindsay DEN,8.6,35.9,0.2,2.2,17.3,0.1,0.1,6.7,RB
Marlon Mack IND,9.1,37.7,0.2,1.6,14.3,0.1,0.1,6.7,RB
Corey Clement PHI,7.1,29.2,0.2,2.2,21.9,0.1,0.1,6.6,RB
Austin Ekeler LAC,6.9,31.0,0.1,1.9,17.9,0.1,0.1,6.3,RB
Duke Johnson CLE,3.9,17.2,0.1,3.6,32.5,0.1,0.1,5.9,RB
Javorius Allen BAL,7.0,28.0,0.1,2.5,17.5,0.1,0.1,5.7,RB
Tarik Cohen CHI,5.4,21.9,0.1,3.3,25.1,0.1,0.1,5.6,RB
Theo Riddick DET,4.3,16.2,0.1,3.5,26.3,0.1,0.1,5.3,RB
Jordan Wilkins IND,8.2,33.5,0.2,1.3,10.1,0.0,0.1,5.3,RB
Ty Montgomery BAL,5.1,21.4,0.1,2.6,21.0,0.1,0.1,5.3,RB
C.J. Anderson LAR,8.6,35.5,0.1,0.9,6.2,0.0,0.1,5.0,RB
Rashaad Penny SEA,7.1,29.1,0.1,1.7,13.0,0.0,0.1,4.9,RB
Latavius Murray MIN,8.2,32.8,0.2,1.1,8.0,0.0,0.1,4.9,RB
Giovani Bernard CIN,6.0,23.4,0.1,1.9,15.8,0.1,0.1,4.8,RB
Sony Michel NE,6.3,25.6,0.1,1.3,9.5,0.0,0.1,4.5,RB
Nyheim Hines IND,4.0,16.8,0.1,2.3,19.1,0.1,0.1,4.3,RB
LeGarrette Blount DET,6.5,25.8,0.2,0.4,3.1,0.0,0.1,3.9,RB
Devontae Booker DEN,4.8,19.1,0.1,1.4,11.3,0.0,0.1,3.6,RB
Jalen Richard OAK,2.9,11.4,0.0,2.5,19.0,0.1,0.1,3.5,RB
Alfred Blue HOU,5.3,20.0,0.1,0.9,7.8,0.0,0.0,3.4,RB
Chase Edmonds ARI,4.4,16.9,0.1,1.6,13.0,0.0,0.1,3.4,RB
Chris Ivory BUF,4.8,18.4,0.1,1.0,8.5,0.0,0.1,3.3,RB
Spencer Ware KC,4.1,17.9,0.1,1.0,8.4,0.0,0.0,3.2,RB
Mark Walton CIN,3.9,15.5,0.1,1.2,9.4,0.0,0.0,3.1,RB
Jacquizz Rodgers TB,4.3,17.8,0.1,1.1,8.7,0.0,0.0,3.0,RB
Doug Martin OAK,5.3,18.5,0.1,0.7,5.9,0.0,0.0,3.0,RB
Kyle Juszczyk SF,0.6,2.4,0.0,2.1,20.4,0.1,0.1,2.9,RB
Nick Chubb CLE,4.0,16.8,0.1,0.5,4.7,0.0,0.0,2.8,RB
Jaylen Samuels PIT,3.4,14.1,0.1,1.0,8.2,0.0,0.0,2.8,RB
Wayne Gallman NYG,3.0,12.0,0.0,1.7,11.4,0.0,0.1,2.6,RB
Rod Smith DAL,3.3,13.4,0.1,0.7,5.7,0.0,0.0,2.4,RB
Tavon Austin DAL,1.6,9.8,0.1,0.7,6.8,0.0,0.0,2.3,RB
Leonard Fournette JAC,5.0,20.0,0.0,0.0,0.0,0.0,0.0,2.0,RB
Jonathan Stewart NYG,3.2,12.4,0.1,0.4,2.9,0.0,0.0,2.0,RB
Stevan Ridley PIT,2.4,9.2,0.1,0.4,2.3,0.0,0.0,1.5,RB
Robert Kelley WAS,2.4,8.7,0.1,0.3,2.3,0.0,0.1,1.4,RB
Wendell Smallwood PHI,1.5,5.8,0.0,0.6,4.7,0.0,0.0,1.3,RB
Anthony Sherman KC,0.4,1.6,0.0,0.5,5.7,0.1,0.0,1.2,RB
Cameron Artis-Payne CAR,1.2,5.8,0.0,0.5,2.8,0.0,0.0,1.2,RB
Jonathan Williams IND,1.6,6.0,0.1,0.3,2.1,0.0,0.0,1.1,RB
DeAndre Washington OAK,1.2,4.2,0.0,0.6,3.8,0.0,0.0,1.1,RB
Ameer Abdullah MIN,1.5,5.6,0.0,0.3,2.2,0.0,0.0,1.1,RB
Tra Carson GB,1.3,4.8,0.0,0.4,3.3,0.0,0.0,1.0,RB
Kenjon Barner CAR,1.5,6.0,0.1,0.2,1.7,0.0,0.1,0.9,RB
Brian Hill ATL,1.0,3.7,0.0,0.3,2.1,0.0,0.0,0.8,RB
Samaje Perine WAS,1.9,6.3,0.0,0.1,1.2,0.0,0.0,0.8,RB
Brandon Wilds ARI,0.9,3.8,0.0,0.3,2.5,0.0,0.0,0.7,RB
T.J. Logan ARI,0.7,2.8,0.0,0.6,4.2,0.0,0.0,0.7,RB
Trenton Cannon NYJ,1.0,3.7,0.0,0.3,2.7,0.0,0.0,0.7,RB
Mike Davis SEA,0.9,3.6,0.0,0.2,1.7,0.0,0.0,0.5,RB
Derek Watt LAC,0.6,2.2,0.0,0.2,2.3,0.0,0.0,0.5,RB
James Develin NE,0.0,0.0,0.0,0.7,4.9,0.0,0.0,0.5,RB
Patrick Ricard BAL,0.6,2.3,0.0,0.3,2.4,0.0,0.0,0.5,RB
Damien Williams KC,0.5,2.3,0.0,0.3,2.4,0.0,0.0,0.5,RB
Tommy Bohanon JAC,0.3,1.1,0.0,0.4,3.4,0.0,0.0,0.5,RB
Tyler Ervin BAL,0.3,1.2,0.0,0.4,2.8,0.0,0.0,0.5,RB
Benny Cunningham CHI,0.3,1.1,0.0,0.3,2.9,0.0,0.0,0.5,RB
CJ Ham MIN,0.2,0.6,0.0,0.4,3.5,0.0,0.0,0.5,RB
Brandon Bolden MIA,1.2,4.4,0.0,0.2,1.6,0.0,0.1,0.4,RB
Andy Janovich DEN,0.4,1.4,0.0,0.2,2.0,0.0,0.0,0.4,RB
Roosevelt Nix PIT,0.7,2.3,0.0,0.2,0.8,0.0,0.0,0.4,RB
Justin Davis LAR,0.9,2.7,0.0,0.2,1.1,0.0,0.0,0.4,RB
Senorise Perry MIA,0.5,2.1,0.0,0.1,0.8,0.0,0.0,0.4,RB
Zach Line NO,0.4,1.2,0.0,0.4,2.5,0.0,0.0,0.4,RB
