Player,Team,GP,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,Fum Lost,2PT,Tack,Ast,Frc Fum,Fum Rec,Pass Def,POS,TD
Jay Ajayi,PHI,1.0,64.64,0.52,2.4,20.34,0.13,0.09,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Javorius Allen,BAL,1.0,32.52,0.26,2.97,22.83,0.07,0.05,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
C.J. Anderson,LAR,1.0,27.44,0.16,0.88,6.96,0.02,0.04,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.04
Alex Armah,CAR,1.0,2.01,0.01,0.13,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Peyton Barber,TB,1.0,60.25,0.44,1.61,12.78,0.07,0.08,0.01,0.0,0.0,0.0,0.0,0.0,RB,0.0
Saquon Barkley,NYG,1.0,62.45,0.5,3.51,29.37,0.14,0.1,0.01,0.0,0.0,0.0,0.0,0.0,RB,0.0
Kenjon Barner,CAR,1.0,2.08,0.01,0.31,2.43,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Giovani Bernard,CIN,1.0,14.76,0.08,1.57,12.02,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.03
LeGarrette Blount,DET,1.0,33.07,0.24,0.4,2.34,0.03,0.04,0.03,0.0,0.0,0.0,0.0,0.0,RB,0.0
Alfred Blue,HOU,1.0,18.14,0.12,0.53,4.24,0.02,0.03,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.03
Tommy Bohanon,JAX,1.0,2.08,0.02,0.6,4.65,0.04,0.0,0.01,0.0,0.0,0.0,0.0,0.0,RB,0.0
Brandon Bolden,MIA,1.0,3.91,0.02,0.34,2.67,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Devontae Booker,DEN,1.0,16.16,0.1,1.6,13.01,0.07,0.01,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Matt Breida,SF,1.0,44.59,0.31,1.65,14.69,0.07,0.02,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Malcolm Brown,LAR,1.0,13.67,0.07,0.71,5.15,0.02,0.03,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Rex Burkhead,NE,1.0,38.26,0.26,2.63,22.94,0.12,0.05,0.01,0.0,0.0,0.0,0.0,0.0,RB,0.0
Michael Burton,CHI,1.0,2.9,0.02,0.36,2.48,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Trenton Cannon,NYJ,1.0,11.63,0.08,0.81,6.49,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.02
Chris Carson,SEA,1.0,41.4,0.24,2.08,16.11,0.1,0.1,0.01,0.0,0.0,0.0,0.0,0.0,RB,0.0
Tra Carson,GB,1.0,5.54,0.04,0.65,5.13,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Nick Chubb,CLE,1.0,12.18,0.08,0.71,5.81,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Corey Clement,PHI,1.0,22.75,0.22,2.86,25.81,0.12,0.02,0.03,0.0,0.0,0.0,0.0,0.0,RB,0.0
Tarik Cohen,CHI,1.0,21.16,0.14,2.4,17.55,0.05,0.04,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.04
Derrick Coleman,ARI,1.0,0.9,0.0,0.18,1.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Tevin Coleman,ATL,1.0,60.54,0.42,2.57,22.27,0.13,0.0,0.01,0.0,0.0,0.0,0.0,0.0,RB,0.0
Alex Collins,BAL,1.0,61.39,0.49,2.14,19.3,0.09,0.23,0.01,0.0,0.0,0.0,0.0,0.0,RB,0.0
James Conner,PIT,1.0,72.87,0.44,2.88,25.39,0.09,0.18,0.01,0.0,0.0,0.0,0.0,0.0,RB,0.0
Dalvin Cook,MIN,1.0,67.21,0.44,3.68,30.22,0.15,0.25,0.01,0.0,0.0,0.0,0.0,0.0,RB,0.0
Isaiah Crowell,NYJ,1.0,42.26,0.28,0.87,6.54,0.02,0.07,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Benny Cunningham,CHI,1.0,0.0,0.0,0.86,7.32,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Mike Davis,SEA,1.0,10.89,0.05,1.02,8.37,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
James Develin,NE,1.0,0.0,0.0,1.03,6.86,0.04,0.0,0.01,0.0,0.0,0.0,0.0,0.0,RB,0.0
Patrick DiMarco,BUF,1.0,1.34,0.0,0.29,2.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Kenyan Drake,MIA,1.0,58.23,0.36,2.55,21.37,0.1,0.15,0.01,0.0,0.0,0.0,0.0,0.0,RB,0.0
Chase Edmonds,ARI,1.0,13.93,0.1,1.12,8.96,0.04,0.02,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Austin Ekeler,LAC,1.0,21.4,0.17,2.23,20.82,0.12,0.05,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.03
Ezekiel Elliott,DAL,1.0,82.5,0.57,2.47,23.09,0.13,0.06,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Tyler Ervin,BAL,1.0,0.34,0.01,0.56,4.52,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
David Fluellen,TEN,1.0,1.2,0.02,0.48,3.92,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Royce Freeman,DEN,1.0,61.9,0.38,1.8,16.14,0.08,0.08,0.01,0.0,0.0,0.0,0.0,0.0,RB,0.0
Wayne Gallman,NYG,1.0,13.25,0.07,0.99,7.6,0.02,0.03,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Mike Gillislee,FA,1.0,27.26,0.27,0.17,0.84,0.01,0.07,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Melvin Gordon,LAC,1.0,82.29,0.61,4.34,39.68,0.2,0.06,0.03,0.0,0.0,0.0,0.0,0.0,RB,0.0
