Player,Team,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,Pass Yds,Pass TD,Pass Int,2PT
Adrian Peterson,WAS,85.0,1.0,1.79,20.6,0.1,0.0,0.0,0.0,0.0
Alex Armah,CAR,2.532968098736152,0.01,0.2,3.179735969137336,0.0,0.0,0.0,0.0,0.0
Alex Collins,BAL,70.0,1.0,2.14,20.0,0.09,0.0,0.0,0.0,0.01
Alfred Blue,HOU,28.8,0.3,1.0,10.0,0.02,0.0,0.0,0.0,0.0
Alfred Morris,SF,57.3,1.0,1.3,11.4,0.1,0.0,0.0,0.0,0.0
Alvin Kamara,NO,78.5,1.0,6.6,60.66,1.0,0.0,0.0,0.0,0.04
Andy Janovich,DEN,1.9176054137374339,0.01,0.3,2.592139404571663,0.02,0.0,0.0,0.0,0.0
Anthony Sherman,KC,4.2,0.1,1.0,14.5,0.2,0.0,0.0,0.0,0.0
Austin Ekeler,LAC,35.0,0.2,2.7,27.9,0.3,0.0,0.0,0.0,0.0
Benny Cunningham,CHI,3.0,0.0,1.2,12.6,0.1,0.0,0.0,0.0,0.0
Bilal Powell,NYJ,55.8,1.0,3.0,25.0,0.1,0.0,0.0,0.0,0.0
Brandon Bolden,MIA,7.0,0.02,0.34,3.0100069968343837,0.01,0.0,0.0,0.0,0.0
Brandon Wilds,ARI,12.54,0.09,0.82,6.39,0.03,0.0,0.0,0.0,0.0
Brandon Wilson,CIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brian Hill,ATL,7.93,0.05,0.56,4.74,0.02,0.0,0.0,0.0,0.0
C.J. Anderson,LAR,40.0,0.2,1.3,11.4,0.02,0.0,0.0,0.0,0.0
C.J. Ham,MIN,1.73,0.01,0.57,5.198042611887433,0.02,0.0,0.0,0.0,0.0
C.J. Prosise,SEA,11.34,0.07,3.0,26.8,0.08,0.0,0.0,0.0,0.0
Carlos Hyde,JAX,60.97681946169981,0.8229367636644505,2.9,25.2,0.1,0.0,0.0,0.0,0.03
Chase Edmonds,ARI,18.7,0.1,2.1,15.2,0.04,0.0,0.0,0.0,0.0
Chris Carson,SEA,52.8,0.3,2.5,19.0,0.1,0.0,0.0,0.0,0.01
Chris Ivory,BUF,21.7,0.2,1.0,10.0,0.02,0.0,0.0,0.0,0.0
Chris Thompson,WAS,30.3,0.2,5.0,46.0,1.0,0.0,0.0,0.0,0.0
Christian McCaffrey,CAR,53.0,0.3,6.3,56.7,1.0,0.0,0.0,0.0,0.01
Christine Michael,FA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Corey Clement,PHI,40.8,0.4,3.1,29.6,0.2,0.0,0.0,0.0,0.03
Corey Grant,JAX,42.3,0.2,1.8,14.3,0.1,0.0,0.0,0.0,0.0
Dalvin Cook,MIN,72.7,1.0,4.0,33.6,0.15,0.0,0.0,0.0,0.01
Damien Williams,KC,8.93,0.04,0.86,7.2,0.05,0.0,0.0,0.0,0.0
David Fluellen,TEN,3.0816780747819323,0.02,0.48,3.92,0.03,0.0,0.0,0.0,0.0
David Johnson,ARI,76.5,1.0,5.1,50.47,0.25,0.0,0.0,0.0,0.0
De'Anthony Thomas,KC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
De'Lance Turner,BAL,10.56,0.07,0.72,5.95,0.02,0.0,0.0,0.0,0.0
Derek Watt,LAC,3.74,0.02,0.244139443044865,3.1450122355104426,0.01,0.0,0.0,0.0,0.0
Derrick Coleman,ARI,0.9,0.0,0.18,1.15,0.0,0.0,0.0,0.0,0.0
Derrick Henry,TEN,50.0,0.4,1.48,12.92,0.1,0.0,0.0,0.0,0.01
Detrez Newsome,LAC,4.01,0.02,0.26,1.86,0.01,0.0,0.0,0.0,0.0
Devontae Booker,DEN,25.0,0.1,1.9,16.3,0.1,0.0,0.0,0.0,0.0
Dion Lewis,TEN,55.0,1.0,5.0,35.0,0.18,0.0,0.0,0.0,0.0
Doug Martin,OAK,26.8,0.2,0.8,5.9,0.03,0.0,0.0,0.0,0.0
Duke Johnson,CLE,23.32,0.2,5.3,49.5,0.2,0.0,0.0,0.0,0.0
Ezekiel Elliott,DAL,96.0,1.0,4.0,30.0,0.13,0.0,0.0,0.0,0.0
