Player,Team,PA,YdA,TD,Sack,Int,Fum Rec,Saf,Blk
Arizona Cardinals,ARI,18.0,304.0,0.1,2.4,0.75,0.5,0.05,0.0
Atlanta Falcons,ATL,21.84,383.0,0.1,1.3,0.5,0.4,0.0,0.0
Baltimore Ravens,BAL,17.3,310.0,0.1,2.01,1.0,0.5,0.0,0.0
Buffalo Bills,BUF,27.7,353.0,0.09,1.5,0.5,0.3,0.0,0.0
Carolina Panthers,CAR,18.8,295.0,0.12,2.32,0.7,0.6,0.0,0.09
Chicago Bears,CHI,14.9,260.0,0.1,2.49,0.4,0.6,0.0,0.09
Cincinnati Bengals,CIN,22.1,299.0,0.1,2.0,0.8,0.4,0.0,0.09
Cleveland Browns,CLE,15.8,266.0,0.11,2.64,0.8,0.6,0.0,0.0
Dallas Cowboys,DAL,19.8,317.0,0.0,2.54,0.6,0.6,0.0,0.0
Denver Broncos,DEN,23.0,281.0,0.11,1.9,0.7,0.5,0.0,0.1
Detroit Lions,DET,26.1,403.0,0.12,1.79,0.5,0.4,0.0,0.1
Green Bay Packers,GB,21.3,342.0,0.1,2.15,0.4,0.4,0.0,0.0
Houston Texans,HOU,18.0,303.0,0.12,2.2,0.8,0.5,0.0,0.0
Indianapolis Colts,IND,25.4,328.0,0.1,1.5,0.6,0.5,0.0,0.0
Jacksonville Jaguars,JAX,14.8,251.0,0.13,2.1,1.05,0.6,0.0,0.0
Kansas City Chiefs,KC,20.38,396.0,0.1,2.18,0.8,0.4,0.0,0.0
Los Angeles Chargers,LAC,23.27,359.0,0.1,2.1,0.6,0.4,0.0,0.0
Los Angeles Rams,LAR,17.6,353.0,0.13,1.6,0.89,0.5,0.0,0.0
Miami Dolphins,MIA,18.17,323.0,0.13,1.2,0.8,0.47,0.0,0.0
Minnesota Vikings,MIN,12.3,223.0,0.13,2.9,1.1,0.4,0.0,0.0
New England Patriots,NE,19.8,359.8,0.1,2.25,0.9,0.4,0.0,0.1
New Orleans Saints,NO,22.55,390.0,0.1,1.5,0.7,0.3,0.0,0.0
New York Giants,NYG,22.4,340.6,0.12,1.9,0.8,0.4,0.0,0.07
New York Jets,NYJ,17.2,298.0,0.1,2.5,0.5,0.5,0.0,0.0
Oakland Raiders,OAK,22.9,335.0,0.09,1.7,0.7,0.4,0.0,0.0
Philadelphia Eagles,PHI,17.1,312.1,0.12,2.07,1.0,0.6,0.04,0.1
Pittsburgh Steelers,PIT,22.32,369.0,0.15,2.23,0.7,0.5,0.0,0.09
San Francisco 49ers,SF,23.47,378.90449490778417,0.1,1.6,0.7,0.4,0.0,0.0
Seattle Seahawks,SEA,18.5,301.0,0.1,1.9,0.5,0.4,0.0,0.08
Tampa Bay Buccaneers,TB,23.8,388.0,0.15,0.9,0.64,0.6,0.0,0.09
Tennessee Titans,TEN,24.8,321.0,0.09,1.85,0.6,0.4,0.0,0.06
Washington Redskins,WAS,20.1,328.0,0.12,2.21,0.6,0.5,0.0,0.0
