Player,Team,PA,YdA,TD,Sack,Int,Fum Rec,Saf,Blk
Arizona Cardinals,ARI,20.285,321.26666666666665,0.162,2.5040000000000004,0.8099999999999999,0.6639999999999999,0.0875,0.04
Atlanta Falcons,ATL,24.61,399.76666666666665,0.152,1.658,0.642,0.6439999999999999,0.0075,0.03
Baltimore Ravens,BAL,18.1275,324.3333333333333,0.20400000000000001,2.582,1.1420000000000001,0.692,0.0325,0.035
Buffalo Bills,BUF,28.3175,374.26666666666665,0.13199999999999998,1.6940000000000002,0.682,0.5439999999999999,0.0075,0.03
Carolina Panthers,CAR,19.9025,314.73333333333335,0.196,2.684,0.798,0.708,0.01,0.095
Chicago Bears,CHI,17.2025,269.7,0.21400000000000002,2.938,0.836,0.708,0.0125,0.095
Cincinnati Bengals,CIN,22.995,326.3,0.18000000000000002,2.3979999999999997,0.86,0.512,0.0075,0.095
Cleveland Browns,CLE,18.732499999999998,292.06666666666666,0.21800000000000003,2.808,1.072,0.718,0.0125,0.05
Dallas Cowboys,DAL,20.6725,339.96666666666664,0.152,3.0680000000000005,0.8560000000000001,0.7520000000000001,0.060000000000000005,0.03
Denver Broncos,DEN,25.967499999999998,308.93333333333334,0.20800000000000002,2.0780000000000003,0.808,0.6,0.005,0.1
Detroit Lions,DET,29.775000000000002,413.06666666666666,0.18600000000000003,1.9580000000000002,0.624,0.5820000000000001,0.0575,0.1
Green Bay Packers,GB,22.669999999999998,354.09999999999997,0.152,2.39,0.6300000000000001,0.688,0.0075,0.045
Houston Texans,HOU,19.3475,325.90000000000003,0.192,2.592,0.9100000000000001,0.6359999999999999,0.0325,0.04
Indianapolis Colts,IND,26.575,356.1333333333334,0.166,1.904,0.704,0.7220000000000001,0.005,0.045
Jacksonville Jaguars,JAX,15.925,258.1666666666667,0.25200000000000006,2.5780000000000003,1.2099999999999997,0.632,0.035,0.04
Kansas City Chiefs,KC,22.995,403.76666666666665,0.238,2.336,1.036,0.6619999999999999,0.0125,0.05
Los Angeles Chargers,LAC,26.6675,376.8666666666666,0.188,2.2399999999999998,0.756,0.6,0.060000000000000005,0.035
Los Angeles Rams,LAR,19.8125,368.76666666666665,0.22200000000000003,1.9280000000000002,0.9780000000000001,0.5820000000000001,0.0325,0.055
Miami Dolphins,MIA,19.4175,345.6666666666667,0.21200000000000002,1.6700000000000004,0.9019999999999999,0.5740000000000001,0.0075,0.05
Minnesota Vikings,MIN,14.149999999999999,234.83333333333334,0.262,3.196,1.232,0.5660000000000001,0.060000000000000005,0.035
New England Patriots,NE,21.8075,383.59999999999997,0.19,2.45,0.9460000000000001,0.6100000000000001,0.0325,0.10500000000000001
New Orleans Saints,NO,25.8125,396.3333333333333,0.18200000000000002,1.9200000000000004,0.806,0.47800000000000004,0.0075,0.035
New York Giants,NYG,23.7925,351.5333333333333,0.22199999999999998,2.228,1.058,0.592,0.01,0.085
New York Jets,NYJ,19.575,308.5,0.18,2.626,0.77,0.678,0.01,0.035
Oakland Raiders,OAK,23.735,345.1333333333334,0.16799999999999998,2.0740000000000003,0.8460000000000001,0.644,0.0325,0.05
Philadelphia Eagles,PHI,18.325000000000003,337.7,0.20400000000000001,2.5540000000000003,1.136,0.6659999999999999,0.085,0.1
Pittsburgh Steelers,PIT,23.705,375.76666666666665,0.20800000000000002,2.5460000000000003,0.9780000000000001,0.6439999999999999,0.030000000000000002,0.095
San Francisco 49ers,SF,28.325654862186674,397.3348316359281,0.17425855376827262,1.868010329990304,0.7334655994731557,0.5703712924350904,0.00999392886232026,0.035
Seattle Seahawks,SEA,19.51,329.56666666666666,0.16,2.1060000000000003,0.796,0.5740000000000001,0.0325,0.09
Tampa Bay Buccaneers,TB,25.895,419.1333333333334,0.198,1.6780000000000002,0.808,0.792,0.0075,0.095
Tennessee Titans,TEN,25.337500000000002,352.06666666666666,0.20800000000000002,1.97,0.782,0.568,0.0075,0.08
Washington Redskins,WAS,23.150000000000002,349.06666666666666,0.18600000000000003,2.5620000000000003,0.6980000000000001,0.576,0.0125,0.04
