Player,POS,Team,Pass Yds,Pass TD,Pass Int,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD
Tom Brady,QB,NE,332.0,2.4,0.5,1.7,0.1,0.0,0.0,0.0
Patrick Mahomes,QB,KC,298.0,1.9,1.0,28.0,0.2,0.0,0.0,0.0
Aaron Rodgers,QB,GB,280.0,2.2,0.6,15.8,0.1,0.0,0.0,0.0
Drew Brees,QB,NO,312.0,2.1,0.8,0.9,0.1,0.0,0.0,0.0
Matthew Stafford,QB,DET,308.0,1.9,0.8,7.0,0.1,0.0,0.0,0.0
Deshaun Watson,QB,HOU,239.0,1.7,0.8,33.7,0.3,0.0,0.0,0.0
Cam Newton,QB,CAR,239.0,1.6,0.9,36.7,0.3,0.0,0.0,0.0
Jimmy Garoppolo,QB,SF,290.0,2.0,0.9,6.8,0.1,0.0,0.0,0.0
Ben Roethlisberger,QB,PIT,299.0,2.0,0.8,2.3,0.0,0.0,0.0,0.0
Matt Ryan,QB,ATL,291.0,1.9,0.8,7.0,0.1,0.0,0.0,0.0
Kirk Cousins,QB,MIN,283.0,1.9,0.7,9.9,0.1,0.0,0.0,0.0
Carson Wentz,QB,PHI,241.0,1.8,0.6,16.6,0.1,0.0,0.0,0.0
Andrew Luck,QB,IND,265.0,1.9,0.9,11.4,0.1,0.0,0.0,0.0
Russell Wilson,QB,SEA,238.0,1.6,0.7,28.8,0.1,0.0,0.0,0.0
Ryan Fitzpatrick,QB,TB,285.0,1.6,0.8,18.0,0.0,0.0,0.0,0.0
Jared Goff,QB,LAR,273.0,1.9,0.7,4.9,0.1,0.0,0.0,0.0
Alex Smith,QB,WAS,255.0,1.6,0.5,17.7,0.1,0.0,0.0,0.0
Philip Rivers,QB,LAC,281.0,1.9,0.7,0.3,0.0,0.0,0.0,0.0
Tyrod Taylor,QB,CLE,221.0,1.2,0.7,32.1,0.2,0.0,0.0,0.0
Andy Dalton,QB,CIN,249.0,1.8,0.8,7.1,0.1,0.0,0.0,0.0
Blake Bortles,QB,JAX,234.0,1.6,0.9,18.7,0.1,0.0,0.0,0.0
Derek Carr,QB,OAK,269.0,1.8,0.9,3.7,0.0,0.0,0.0,0.0
Mitchell Trubisky,QB,CHI,227.0,1.3,0.7,20.8,0.1,0.0,0.0,0.0
Dak Prescott,QB,DAL,218.0,1.3,0.7,23.6,0.2,0.0,0.0,0.0
Ryan Tannehill,QB,MIA,247.0,1.5,0.9,9.8,0.1,0.0,0.0,0.0
Case Keenum,QB,DEN,230.0,1.4,0.6,10.0,0.1,0.0,0.0,0.0
Eli Manning,QB,NYG,247.0,1.7,1.0,1.4,0.0,0.0,0.0,0.0
Joe Flacco,QB,BAL,240.0,1.4,0.5,3.3,0.1,0.0,0.0,0.0
Sam Darnold,QB,NYJ,207.0,1.2,0.8,5.7,0.1,0.0,0.0,0.0
Blaine Gabbert,QB,TEN,152.0,1.1,1.2,13.8,0.0,0.0,0.0,0.0
Josh Allen,QB,BUF,165.0,0.8,0.6,6.6,0.1,0.0,0.0,0.0
Lamar Jackson,QB,BAL,21.5,0.2,0.1,7.7,0.1,0.0,0.0,0.0
Taysom Hill,QB,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jeff Driskel,QB,CIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DeShone Kizer,QB,GB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joshua Dobbs,QB,PIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C.J. Beathard,QB,SF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nathan Peterman,QB,OAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
