Player,Team,Pass Yds,Pass TD,Pass Int,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,2PT
AJ McCarron,OAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
Aaron Rodgers,GB,273.88726806640625,2.2,0.61,13.890938758850098,0.09905502200126648,0.0,0.0,0.0,0.13
Alex Smith,WAS,255.0,1.8945530652999878,0.6,15.0,0.07651880383491516,0.0,0.0,0.0,0.06
Andrew Luck,IND,268.7299499511719,1.4,1.023085117340088,16.0,0.07651880383491516,0.0,0.0,0.0,0.09
Andy Dalton,CIN,260.0,2.0,0.7037016153335571,5.102364540100098,0.07651880383491516,0.0,0.0,0.0,0.0
Baker Mayfield,CLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04
Ben Roethlisberger,PIT,299.0,1.8945530652999878,1.0061075687408447,5.3787736892700195,0.09905502200126648,0.0,0.0,0.0,0.22
Blaine Gabbert,TEN,190.56805419921875,0.7481980323791504,0.7206791639328003,4.675421237945557,0.07651880383491516,0.0,0.0,0.0,0.03
Blake Bortles,JAX,234.0,1.7261992692947388,1.023085117340088,29.342205047607422,0.11854085326194763,0.0,0.0,0.0,0.16
Brandon Weeden,HOU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06
Brett Hundley,SEA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
Brian Hoyer,NE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
Brock Osweiler,MIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06
C.J. Beathard,SF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
Cam Newton,CAR,211.7005157470703,1.4625439643859863,1.0,36.7,0.32975858449935913,0.0,0.0,0.0,0.13
Carson Wentz,PHI,252.01922607421875,2.0,0.61827152967453,13.310592651367188,0.154137521982193,0.0,0.0,0.0,0.23
Case Keenum,DEN,237.79296875,1.4625439643859863,0.937654972076416,4.7,0.07651880383491516,0.0,0.0,0.0,0.03
Chad Henne,KC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02
Chad Kelly,FA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04
Chase Daniel,CHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02
Cody Kessler,JAX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
Colt McCoy,WAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
Cooper Rush,DAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
Dak Prescott,DAL,194.24,0.9553320407867432,0.61827152967453,20.1,0.15325507521629333,0.0,0.0,0.0,0.07
DeShone Kizer,GB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
Derek Carr,OAK,265.12139892578125,1.4625439643859863,0.84,5.3787736892700195,0.1,0.0,0.0,0.0,0.22
Deshaun Watson,HOU,285.0,2.0,1.023085117340088,22.439035415649414,0.1677423119544983,0.0,0.0,0.0,0.13
Drew Brees,NO,298.85546875,2.0144824981689453,0.7037016153335571,0.0,0.07651880383491516,0.0,0.0,0.0,0.06
Eli Manning,NYG,260.0,1.4625439643859863,0.79,3.0453250408172607,0.07651880383491516,0.0,0.0,0.0,0.0
Geno Smith,LAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
Jacoby Brissett,IND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
Jared Goff,LAR,267.3817138671875,2.0,0.9536408185958862,5.3787736892700195,0.07651880383491516,0.0,0.0,0.0,0.05
Jeff Driskel,CIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04
Jimmy Garoppolo,SF,285.7201843261719,2.0,0.74,7.467972278594971,0.07651880383491516,0.0,0.0,0.0,0.06
Joe Flacco,BAL,239.42483520507812,1.335498571395874,0.6352490782737732,3.965362310409546,0.07651880383491516,0.0,0.0,0.0,0.13
Joe Webb,HOU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Josh Allen,BUF,190.56805419921875,0.7,0.937654972076416,20.179168701171875,0.18,0.0,0.0,0.0,0.08
Josh McCown,NYJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02
Josh Rosen,ARI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04
Joshua Dobbs,PIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04
Kirk Cousins,MIN,280.4530334472656,2.01,0.61827152967453,9.7,0.16551214456558228,0.0,0.0,0.0,0.03
Lamar Jackson,BAL,2.3,0.0,0.0,6.022400856018066,0.1,0.0,0.0,0.0,0.03
