Player,OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS,POS
"Rob Gronkowski, NE TE",@Det,L 10-26,0/0,0,0,0,0,0,0,5.1,79.7,0.7,17.3,TE
"Zach Ertz, Phi TE",Ind,W 20-16,0/0,0,0,0,0,0,0,5,58,0.6,14.4,TE
"Travis Kelce, KC TE",SF,W 38-27,0/0,0,0,0,0.1,0.5,0,5.2,65.9,0.4,14.2,TE
"Jordan Reed*, Wsh TE IR",GB,W 31-17,0/0,0,0,0,0,0,0,4.8,51.1,0.4,12.5,TE
"George Kittle, SF TE",@KC,L 27-38,0/0,0,0,0,0,0,0,3.8,45.3,0.3,10.3,TE
"Jimmy Graham, GB TE",@Wsh,L 17-31,0/0,0,0,0,0,0,0,3.4,39.9,0.5,10.3,TE
"Evan Engram, NYG TE",@Hou,W 27-22,0/0,0,0,0,0,0,0,4,42.3,0.3,10,TE
"Kyle Rudolph, Min TE",Buf,L 6-27,0/0,0,0,0,0,0,0,3.5,35.6,0.5,9.8,TE
"Eric Ebron, Ind TE",@Phi,L 16-20,0/0,0,0,0,0,0,0,3.8,40.7,0.3,9.5,TE
"Trey Burton, Chi TE Q",@Ari,W 16-14,0/0,0,0,0,0.3,1,0,3.3,35.6,0.3,8.8,TE
"Will Dissly*, Sea TE IR",Dal,W 24-13,0/0,0,0,0,0,0,0,2.9,36,0.4,8.8,TE
"O.J. Howard*, TB TE IR",Pit,L 27-30,0/0,0,0,0,0,0,0,2.8,38,0.3,8.4,TE
"David Njoku, Cle TE",NYJ,W 21-17,0/0,0,0,0,0,0,0,2.9,33.4,0.3,8.1,TE
"Austin Seferian-Jenkins*, Jax TE IR",Ten,L 6-9,0/0,0,0,0,0,0,0,3.1,34,0.3,8,TE
"Ricky Seals-Jones, Ari TE Q",Chi,L 14-16,0/0,0,0,0,0,0,0,3.2,35.4,0.2,7.9,TE
"Jared Cook, Oak TE",@Mia,L 20-28,0/0,0,0,0,0,0,0,2.9,36.3,0.2,7.7,TE
"Benjamin Watson, NO TE Q",@Atl,W 43-37,0/0,0,0,0,0,0,0,3,29.7,0.3,7.7,TE
"Austin Hooper, Atl TE",NO,L 37-43,0/0,0,0,0,0,0,0,2.9,31.5,0.3,7.7,TE
"Ryan Griffin, Hou TE",NYG,L 22-27,0/0,0,0,0,0,0,0,2.5,27.9,0.2,6.6,TE
"Ian Thomas, Car TE",Cin,W 31-21,0/0,0,0,0,0,0,0,2.4,26.1,0.2,6.3,TE
"Tyler Eifert*, Cin TE IR",@Car,L 21-31,0/0,0,0,0,0,0,0,2.2,25.9,0.2,6.2,TE
"Jesse James, Pit TE",@TB,W 30-27,0/0,0,0,0,0,0,0,2.3,25.7,0.2,6.2,TE
"Charles Clay, Buf TE",@Min,W 27-6,0/0,0,0,0,0,0,0,2.6,26.4,0.1,5.8,TE
"Cameron Brate, TB TE Q",Pit,L 27-30,0/0,0,0,0,0,0,0,1.9,22.7,0.2,5.5,TE
"Vance McDonald, Pit TE",@TB,W 30-27,0/0,0,0,0,0,0,0,1.9,24,0.2,5.4,TE
"Erik Swoope, NO TE",@Atl,W 43-37,0/0,0,0,0,0,0,0,2,21.1,0.2,5.2,TE
"Jonnu Smith*, Ten TE IR",@Jax,W 9-6,0/0,0,0,0,0,0,0,2.2,20.6,0.1,5,TE
"Chris Herndon, NYJ TE",@Cle,L 17-21,0/0,0,0,0,0,0,0,2.1,21.7,0.1,5,TE
"Virgil Green, LAC TE",@LAR,L 23-35,0/0,0,0,0,0,0,0,2,20.4,0.1,4.9,TE
"Mark Andrews, Bal TE",Den,W 27-14,0/0,0,0,0,0,0,0,2,20.3,0.2,4.9,TE
"Nick Vannett, Sea TE",Dal,W 24-13,0/0,0,0,0,0,0,0,1.9,20,0.2,4.8,TE
"Antonio Gates, LAC TE",@LAR,L 23-35,0/0,0,0,0,0,0,0,1.8,19,0.2,4.7,TE
"Jason Croom, Buf TE",@Min,W 27-6,0/0,0,0,0,0,0,0,2,19.8,0.1,4.4,TE
"Tyler Higbee, LAR TE",LAC,W 35-23,0/0,0,0,0,0,0,0,1.6,17.7,0.2,4.4,TE
"Nick Boyle, Bal TE",Den,W 27-14,0/0,0,0,0,0,0,0,1.9,16.5,0.1,4.3,TE
"Jeff Heuerman*, Den TE IR",@Bal,L 14-27,0/0,0,0,0,0,0,0,1.7,19.4,0.1,4.3,TE
"Luke Stocker, Ten TE Q",@Jax,W 9-6,0/0,0,0,0,0,0,0,1.8,16.3,0.1,4.1,TE
"Vernon Davis, Wsh TE Q",GB,W 31-17,0/0,0,0,0,0,0,0,1.3,17.9,0.1,3.9,TE
"Josh Perkins*, Phi TE IR",Ind,W 20-16,0/0,0,0,0,0,0,0,1.3,14.7,0.2,3.7,TE
"Geoff Swaim*, Dal TE IR",@Sea,L 13-24,0/0,0,0,0,0,0,0,1.4,15.5,0.1,3.7,TE
"Jake Butt*, Den TE IR",@Bal,L 14-27,0/0,0,0,0,0,0,0,1.5,15.2,0.1,3.6,TE
"A.J. Derby*, Mia TE IR",Oak,W 28-20,0/0,0,0,0,0,0,0,1.3,14.8,0.1,3.6,TE
"C.J. Uzomah, Cin TE",@Car,L 21-31,0/0,0,0,0,0,0,0,1.3,13.9,0.1,3.5,TE
"Jordan Akins, Hou TE",NYG,L 22-27,0/0,0,0,0,0,0,0,1.3,13.8,0.1,3.5,TE
"Jermaine Gresham, Ari TE",Chi,L 14-16,0/0,0,0,0,0,0,0,1.5,14,0.1,3.4,TE
"Maxx Williams, Bal TE",Den,W 27-14,0/0,0,0,0,0.1,0.5,0,1.4,12.6,0.1,3.3,TE
"Eric Tomlinson*, NYJ TE IR",@Cle,L 17-21,0/0,0,0,0,0,0,0,1.4,14.5,0.1,3.3,TE
"Hakeem Valles*, Det TE O",NE,W 26-10,0/0,0,0,0,0,0,0,1.3,13.1,0.1,3.3,TE
"Dion Sims*, Chi TE IR",@Ari,W 16-14,0/0,0,0,0,0,0,0,1.1,11.8,0.1,3,TE
"Mike Gesicki, Mia TE",Oak,W 28-20,0/0,0,0,0,0,0,0,1.1,11.8,0.1,2.9,TE
"Gerald Everett, LAR TE",LAC,W 35-23,0/0,0,0,0,0,0,0,1,11.8,0.1,2.9,TE
"Demetrius Harris, KC TE",SF,W 38-27,0/0,0,0,0,0,0,0,1.1,11.2,0.1,2.9,TE
"Tyler Conklin, Min TE",Buf,L 6-27,0/0,0,0,0,0,0,0,1,11.6,0.1,2.9,TE
"Dwayne Allen, NE TE",@Det,L 10-26,0/0,0,0,0,0,0,0,1,10.6,0.1,2.7,TE
"Luke Willson, Det TE Q",NE,W 26-10,0/0,0,0,0,0,0,0,1,11.6,0.1,2.7,TE
"Rico Gathers, Dal TE",@Sea,L 13-24,0/0,0,0,0,0,0,0,1,11.1,0.1,2.6,TE
"Darren Fells, Cle TE",NYJ,W 21-17,0/0,0,0,0,0,0,0,1,10.8,0.1,2.6,TE
"Josh Hill, NO TE",@Atl,W 43-37,0/0,0,0,0,0,0,0,1,9.5,0.1,2.6,TE
"Tyler Kroft*, Cin TE IR",@Car,L 21-31,0/0,0,0,0,0,0,0,0.9,9.5,0.1,2.4,TE
"Rhett Ellison, NYG TE Q",@Hou,W 27-22,0/0,0,0,0,0,0,0,1.1,9.1,0.1,2.3,TE
"Garrett Celek, SF TE Q",@KC,L 27-38,0/0,0,0,0,0,0,0,0.8,9.5,0.1,2.1,TE
"MyCole Pruitt, Ten TE",@Jax,W 9-6,0/0,0,0,0,0,0,0,0.9,8.7,0.1,2.1,TE
"Levine Toilolo, Det TE",NE,W 26-10,0/0,0,0,0,0,0,0,0.8,7.5,0.1,2,TE
"Michael Roberts*, Det TE IR",NE,W 26-10,0/0,0,0,0,0,0,0,0.8,7.8,0.1,2,TE
"Dallas Goedert, Phi TE",Ind,W 20-16,0/0,0,0,0,0,0,0,0.6,7.4,0.1,2,TE
"Derek Carrier, Oak TE Q",@Mia,L 20-28,0/0,0,0,0,0,0,0,0.7,7.5,0,1.8,TE
"Lance Kendricks, GB TE",@Wsh,L 17-31,0/0,0,0,0,0,0,0,0.6,6.5,0.1,1.7,TE
"Eric Saubert, Atl TE",NO,L 37-43,0/0,0,0,0,0,0,0,0.4,4.8,0,1.2,TE
