Player,Team,Receptions,Rec Yds,Rec TD,Pass Yds,Pass TD,Pass Int,Rush Yds,Rush TD,2PT
A.J. Derby,MIA,1.2,11.754475609242187,0.1,0,0,0,0,0,0.0
Alan Cross,TB,0.0,0.0,0.0,0,0,0,0,0,0.0
Alex Ellis,KC,0.0,0.0,0.0,0,0,0,0,0,0.0
Antonio Gates,LAC,1.5,17.208036150225265,0.09966258147473611,0,0,0,0,0,0.0
Antony Auclair,TB,0.0,0.0,0.0,0,0,0,0,0,0.0
Austin Hooper,ATL,2.9829460689875082,30.0,0.09774625774080253,0,0,0,0,0,0.0
Austin Seferian-Jenkins,JAX,3.2394598636987797,32.22,0.09514871374156751,0,0,0,0,0,0.0
Ben Braunecker,CHI,0.0,0.0,0.0,0,0,0,0,0,0.0
Benjamin Watson,NO,3.638523279033692,30.641910973918257,0.09988583594108191,0,0,0,0,0,0.0
Blake Jarwin,DAL,0.2,1.9,0.0,0,0,0,0,0,0.0
C.J. Uzomah,CIN,0.2,12.557657081287104,0.08347413726665343,0,0,0,0,0,0.0
Cameron Brate,TB,1.7305038314753922,21.698824737330806,0.11188282888069749,0,0,0,0,0,0.0
Charles Clay,BUF,2.6113091853067587,26.4,0.09627833411647327,0,0,0,0,0,0.0
Chris Herndon,NYJ,1.85,19.1,0.09364791889251599,0,0,0,0,0,0.0
Chris Manhertz,CAR,0.0,0.0,0.0,0,0,0,0,0,0.0
Clark Harris,CIN,0.0,0.0,0.0,0,0,0,0,0,0.0
Cole Wick,TEN,0.0,0.0,0.0,0,0,0,0,0,0.0
Dallas Goedert,PHI,1.792217944136249,23.627478700282907,0.09477068681987875,0,0,0,0,0,0.0
Daniel Brown,CHI,0.0,0.0,0.0,0,0,0,0,0,0.0
Darrell Daniels,ARI,0.0,0.0,0.0,0,0,0,0,0,0.0
Darren Fells,CLE,0.6,6.2,0.07715817414208224,0,0,0,0,0,0.0
David Njoku,CLE,2.8,30.0,0.09017797067850394,0,0,0,0,0,0.0
Demetrius Harris,KC,1.18,10.0,0.09364791889251599,0,0,0,0,0,0.0
Derek Carrier,OAK,1.3450366653436083,6.32,0.0,0,0,0,0,0,0.0
Dion Sims,CHI,0.2,8.818320444232143,0.06911000999254215,0,0,0,0,0,0.0
Durham Smythe,MIA,0.1,1.1,0.0,0,0,0,0,0,0.0
Dwayne Allen,NE,0.35,7.845869382541849,0.1,0,0,0,0,0,0.0
Eric Ebron,IND,4.530767520636616,40.7,0.3,0,0,0,0,0,0.0
Eric Saubert,ATL,0.0,0.0,0.0,0,0,0,0,0,0.0
Eric Tomlinson,NYJ,1.0317250140758873,12.392352720161824,0.1,0,0,0,0,0,0.0
Erik Swoope,IND,0.2,6.612502253675228,0.1002500021807783,0,0,0,0,0,0.0
Evan Engram,NYG,4.351063475384751,43.20478142854991,0.13093334721999178,0,0,0,0,0,0.0
Gabe Holmes,ARI,0.0,0.0,0.0,0,0,0,0,0,0.0
Garrett Celek,SF,1.2328684182883634,10.886145244643483,0.08877736787782187,0,0,0,0,0,0.0
Geoff Swaim,DAL,1.3138976025481504,8.92,0.1,0,0,0,0,0,0.0
George Kittle,SF,4.301470682210854,43.8050055206174,0.2,0,0,0,0,0,0.0
Gerald Everett,LAR,0.3,9.03167933312125,0.09312441290394732,0,0,0,0,0,0.0
Ian Thomas,CAR,2.0,20.59,0.10020925906361779,0,0,0,0,0,0.0
Jake Butt,DEN,1.979942396907304,16.6569246837243,0.08269310930208788,0,0,0,0,0,0.0
James O'Shaughnessy,JAX,0.2,8.12189749648978,0.14752500851809366,0,0,0,0,0,0.0
Jared Cook,OAK,4.034721582114472,42.10714027769558,0.10518644238398286,0,0,0,0,0,0.0
Jason Croom,BUF,1.4527542477998605,13.12987872458418,0.0,0,0,0,0,0,0.0
Jeff Heuerman,DEN,1.3242855024172935,12.67534029663285,0.1,0,0,0,0,0,0.0
Jeremy Sprinkle,WAS,0.08,1.3,0.0,0,0,0,0,0,0.0
Jermaine Gresham,ARI,1.3677820880216716,8.586255588136378,0.08722251648571233,0,0,0,0,0,0.0
Jesse James,PIT,2.185517237324267,23.058057056957107,0.10567007574528348,0,0,0,0,0,0.0
Jimmy Graham,GB,3.876901852762023,39.9,0.31,0,0,0,0,0,0.0
Johnny Mundt,LAR,0.0,0.0,0.0,0,0,0,0,0,0.0
Jonnu Smith,TEN,1.3,17.24072096843709,0.12,0,0,0,0,0,0.0
Jordan Akins,HOU,1.1886754253821437,13.097398257512054,0.0925859872164276,0,0,0,0,0,0.0
Jordan Leggett,NYJ,0.0,0.0,0.0,0,0,0,0,0,0.0
Jordan Reed,WAS,4.6,48.2,0.37,0,0,0,0,0,0.0
Jordan Thomas,HOU,0.1,0.6,0.06918336227055216,0,0,0,0,0,0.0
Josh Hill,NO,1.082547327857239,9.5,0.0824332809808772,0,0,0,0,0,0.0
Josh Perkins,PHI,0.0,10.099653504398145,0.08184434800970343,0,0,0,0,0,0.0
Kyle Rudolph,MIN,3.502152049175565,41.44184499850141,0.19321426959138366,0,0,0,0,0,0.0
Lance Kendricks,GB,0.5,5.1,0.0,0,0,0,0,0,0.0
Lee Smith,OAK,0.0,0.0,0.0,0,0,0,0,0,0.0
Levine Toilolo,DET,0.1,7.53,0.11059627346440806,0,0,0,0,0,0.0
Logan Paulsen,ATL,0.0,0.0,0.0,0,0,0,0,0,0.0
Luke Stocker,TEN,1.070060669593262,7.9,0.08682747365364099,0,0,0,0,0,0.0
Luke Willson,DET,1.0952387768813359,10.0,0.09286992169508163,0,0,0,0,0,0.0
Marcedes Lewis,GB,0.2,2.3,0.0,0,0,0,0,0,0.0
Mark Andrews,BAL,1.35,17.93889989804371,0.10250720578108398,0,0,0,0,0,0.0
