Player,Team,GP,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,2PT,Tack,Ast,Int,Frc Fum,Fum Rec,Pass Def,POS,TD
Davante Adams,GB,1.0,0.07,0.0,5.83,72.45,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Nelson Agholor,PHI,1.0,3.11,0.05,5.29,61.71,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Kamar Aiken,FA,1.0,0.06,0.0,2.06,24.32,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Keenan Allen,LAC,1.0,0.51,0.0,7.26,89.23,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Geronimo Allison,GB,1.0,0.05,0.0,3.61,39.96,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Danny Amendola,MIA,1.0,0.46,0.0,4.46,49.8,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Robby Anderson,NYJ,1.0,2.43,0.01,3.78,49.43,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Tavon Austin,DAL,1.0,12.3,0.04,0.57,7.71,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Cole Beasley,DAL,1.0,0.31,0.0,2.78,30.67,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Odell Beckham,NYG,1.0,1.15,0.0,6.02,76.18,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Josh Bellamy,CHI,1.0,0.26,0.0,0.5,9.44,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Kelvin Benjamin,KC,1.0,0.07,0.0,2.81,34.65,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Tyler Boyd,CIN,1.0,0.54,0.0,4.33,48.86,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.01
Antonio Brown,PIT,1.0,0.16,0.0,7.38,103.01,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.02
Jaron Brown,SEA,1.0,0.03,0.0,1.82,27.06,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
John Brown,BAL,1.0,0.95,0.01,3.02,44.33,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Martavis Bryant,OAK,1.0,1.22,0.01,2.49,34.74,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Antonio Callaway,CLE,1.0,4.9,0.06,2.59,35.15,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Austin Carr,NO,1.0,0.23,0.0,1.08,10.83,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
D.J. Chark,JAX,1.0,0.27,0.0,0.98,13.92,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Randall Cobb,GB,1.0,2.29,0.0,4.5,51.51,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.01
Keelan Cole,JAX,1.0,0.13,0.0,3.45,62.66,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Stacy Coley,FA,1.0,0.07,0.0,0.1,2.83,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Chris Conley,KC,1.0,0.05,0.0,1.7,24.48,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Brandin Cooks,LAR,1.0,1.55,0.02,4.3,73.62,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Amari Cooper,DAL,1.0,2.43,0.01,4.2,55.83,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Michael Crabtree,BAL,1.0,0.07,0.0,4.83,56.89,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Jamison Crowder,WAS,1.0,3.16,0.02,4.23,50.13,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.01
Corey Davis,TEN,1.0,0.05,0.0,4.69,61.25,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Stefon Diggs,MIN,1.0,3.25,0.0,5.05,74.88,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Josh Doctson,WAS,1.0,0.29,0.0,3.04,41.65,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Phillip Dorsett,NE,1.0,0.33,0.0,2.78,41.25,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Bruce Ellington,DET,1.0,0.36,0.0,2.58,35.75,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Quincy Enunwa,NYJ,1.0,0.86,0.0,4.57,60.08,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Alex Erickson,CIN,1.0,0.22,0.0,0.25,3.65,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Mike Evans,TB,1.0,0.04,0.0,5.31,75.01,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Larry Fitzgerald,ARI,1.0,0.07,0.0,5.48,62.83,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Robert Foster,BUF,1.0,0.28,0.0,0.95,12.93,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Will Fuller,HOU,1.0,0.45,0.0,3.9,50.16,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.02
Devin Funchess,CAR,1.0,0.06,0.0,4.35,63.07,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Taylor Gabriel,CHI,1.0,5.68,0.04,3.12,32.27,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Michael Gallup,DAL,1.0,0.33,0.0,1.17,13.77,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Pierre Garcon,SF,1.0,0.13,0.0,4.57,57.82,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Shelton Gibson,PHI,1.0,0.1,0.0,0.91,10.83,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Ted Ginn,NO,1.0,4.27,0.06,4.61,61.15,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Chris Godwin,TB,1.0,0.03,0.0,2.44,34.54,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Kenny Golladay,DET,1.0,0.51,0.0,4.81,69.57,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Marquise Goodwin,SF,1.0,1.55,0.0,4.13,60.88,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Jakeem Grant,MIA,1.0,1.76,0.01,2.43,28.05,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Ryan Grant,IND,1.0,0.05,0.0,3.27,42.63,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
A.J. Green,CIN,1.0,0.19,0.0,5.29,73.74,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Marvin Hall,ATL,1.0,0.05,0.0,0.57,7.85,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
DaeSean Hamilton,DEN,1.0,0.29,0.0,0.45,6.14,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Justin Hardee,NO,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.07,0.01,0.01,0.01,0.05,WR,0.0
Justin Hardy,ATL,1.0,0.11,0.0,0.4,5.68,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.01
Dwayne Harris,OAK,1.0,0.09,0.0,0.18,4.61,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Maurice Harris,WAS,1.0,0.03,0.0,0.3,4.46,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Darrius Heyward-Bey,PIT,1.0,0.43,0.0,0.24,3.87,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Rashard Higgins,CLE,1.0,0.03,0.0,2.29,26.61,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Tyreek Hill,KC,1.0,3.61,0.03,5.4,84.48,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.06
T.Y. Hilton,IND,1.0,0.18,0.0,5.81,71.58,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.01
Chris Hogan,NE,1.0,2.12,0.0,3.46,53.92,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Andre Holmes,DEN,1.0,0.42,0.0,1.2,13.95,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
DeAndre Hopkins,HOU,1.0,0.18,0.0,5.97,86.09,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
