Player,Team,Rush Yds,Receptions,Rec Yds,Rec TD,Pass Yds,Pass TD,Pass Int,Rush TD,2PT
A.J. Green,CIN,0.0,5.905913781782574,83.87366863836183,0.6464218234653221,0.0,0.0,0.0,0.0,0.0
Adam Humphries,TB,0.45,2.45,26.15,0.1,0.0,0.0,0.0,0.0,0.0
Adam Thielen,MIN,0.7,6.0,79.25,0.42000000000000004,0.0,0.0,0.0,0.0,0.0
Albert Wilson,MIA,2.74,2.1851313440971074,29.303393219383604,0.18167653760392175,0.0,0.0,0.0,0.0,0.0
Aldrick Robinson,MIN,0.0,0.30701817270172715,4.5,0.0,0.0,0.0,0.0,0.0,0.0
Alex Erickson,CIN,0.22,0.35,4.2,0.0,0.0,0.0,0.0,0.0,0.0
Allen Hurns,DAL,0.0,2.4299999999999997,31.65,0.13,0.0,0.0,0.0,0.0,0.0
Allen Robinson,CHI,0.0,4.75,65.25,0.315,0.0,0.0,0.0,0.0,0.0
Amari Cooper,DAL,1.1,5.1,67.2,0.4,0.0,0.0,0.0,0.0,0.0
Andre Holmes,DEN,0.0,1.3767774572777731,17.025,0.1,0.0,0.0,0.0,0.0,0.0
Andre Roberts,NYJ,0.65,0.14275418170745524,2.2127880240428426,0.0,0.0,0.0,0.0,0.0,0.0
Anthony Miller,CHI,0.2,2.3499999999999996,30.15,0.155,0.0,0.0,0.0,0.0,0.0
Antonio Brown,PIT,0.0,7.4399999999999995,108.0,0.63,0.0,0.0,0.0,0.0,0.0
Antonio Callaway,CLE,1.5,3.05,42.65,0.2,0.0,0.0,0.0,0.0,0.0
Austin Carr,NO,0.2,1.5238293545870734,20.15,0.1,0.0,0.0,0.0,0.0,0.0
Brandin Cooks,LAR,2.5,4.6,70.9,0.42500000000000004,0.0,0.0,0.0,0.0,0.0
Brandon Marshall,FA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brandon Zylstra,MIN,0.0,0.1,1.25,0.0,0.0,0.0,0.0,0.0,0.0
Brian Quick,FA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bruce Ellington,DET,0.9,2.7,31.768170637701083,0.185,0.0,0.0,0.0,0.0,0.0
Calvin Ridley,ATL,0.4,3.0,39.55,0.20500000000000002,0.0,0.0,0.0,0.0,0.0
Cameron Meredith,NO,0.04,0.883014390077093,11.878206654624105,0.05962256395351552,0.0,0.0,0.0,0.0,0.0
Chad Williams,ARI,1.3,2.005,22.9,0.1,0.0,0.0,0.0,0.0,0.0
Charone Peake,NYJ,0.0,0.4,4.4,0.0,0.0,0.0,0.0,0.0,0.0
Chester Rogers,IND,0.6,2.4050000000000002,30.75,0.1,0.0,0.0,0.0,0.0,0.0
Chris Conley,KC,0.0,1.65,20.549999999999997,0.1,0.0,0.0,0.0,0.0,0.0
Chris Godwin,TB,0.0,3.1,42.5,0.3,0.0,0.0,0.0,0.0,0.0
Chris Hogan,NE,0.8,3.8,55.6,0.55,0.0,0.0,0.0,0.0,0.0
Chris Moore,BAL,0.4,0.8035629865997183,9.649999999999999,0.1,0.0,0.0,0.0,0.0,0.0
Christian Kirk,ARI,0.2,2.4973960814563743,29.361455059818518,0.1,0.0,0.0,0.0,0.0,0.0
Cody Latimer,NYG,0.0,1.625,22.674999999999997,0.1,0.0,0.0,0.0,0.0,0.0
Cole Beasley,DAL,0.0,3.7,40.3,0.2,0.0,0.0,0.0,0.0,0.0
Cooper Kupp,LAR,2.0,4.851416553693161,59.98128161850515,0.405,0.0,0.0,0.0,0.0,0.0
Cordarrelle Patterson,NE,5.4,1.4,16.7,0.1,0.0,0.0,0.0,0.0,0.0
Corey Davis,TEN,0.0,4.35,50.6,0.25,0.0,0.0,0.0,0.0,0.0
Courtland Sutton,DEN,0.2,2.75,35.15,0.19,0.0,0.0,0.0,0.0,0.0
D.J. Chark,JAX,0.27,1.1,15.559999999999999,0.1,0.0,0.0,0.0,0.0,0.0
D.J. Moore,CAR,2.0,1.9,24.2,0.2,0.0,0.0,0.0,0.0,0.0
DaeSean Hamilton,DEN,0.1,0.525,6.619999999999999,0.05204426620086522,0.0,0.0,0.0,0.0,0.0
Damion Ratley,CLE,0.0,0.005619515733338243,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Danny Amendola,MIA,0.1,4.1,43.0,0.2,0.0,0.0,0.0,0.0,0.0
Dante Pettis,SF,0.71,2.8499999999999996,41.5,0.175,0.0,0.0,0.0,0.0,0.0
Darius Jennings,TEN,0.0,0.2,2.2,0.0,0.0,0.0,0.0,0.0,0.0
Darrius Heyward-Bey,PIT,0.6,0.22,3.635,0.0,0.0,0.0,0.0,0.0,0.0
Davante Adams,GB,0.0,5.3,68.35,0.6499999999999999,0.0,0.0,0.0,0.0,0.0
David Moore,SEA,0.0,0.635,8.41,0.008323560162405172,0.0,0.0,0.0,0.0,0.0
DeAndre Hopkins,HOU,0.1,6.3,89.65,0.6499999999999999,0.0,0.0,0.0,0.0,0.0
DeSean Jackson,TB,1.8,3.5,57.754999999999995,0.41500000000000004,0.0,0.0,0.0,0.0,0.0
DeVante Parker,MIA,0.0,3.6,42.3,0.2,0.0,0.0,0.0,0.0,0.0
Dede Westbrook,JAX,0.2,3.1500000000000004,47.0,0.2,0.0,0.0,0.0,0.0,0.0
Demarcus Robinson,KC,0.0,0.55,8.465,0.02,0.0,0.0,0.0,0.0,0.0
Demaryius Thomas,HOU,0.0,5.390635880377296,59.444182985989336,0.3699309667546428,0.0,0.0,0.0,0.0,0.0
Deonte Thompson,BUF,0.2,2.2,29.75,0.1147110494398011,0.0,0.0,0.0,0.0,0.0
Derrick Willies,CLE,0.0,0.03326929779224164,0.46209493448714967,0.0020104499344524916,0.0,0.0,0.0,0.0,0.0
Devin Funchess,CAR,0.0,3.85,52.9,0.4,0.0,0.0,0.0,0.0,0.0
Donte Moncrief,JAX,0.0,3.0,35.6,0.25,0.0,0.0,0.0,0.0,0.0
Dwayne Harris,OAK,0.0,0.13425458489735922,2.467459912321298,0.0010052249672262454,0.0,0.0,0.0,0.0,0.0
Emmanuel Sanders,DEN,0.08987763716885137,5.05,67.75,0.38,0.0,0.0,0.0,0.0,0.0
Freddie Martino,FA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
George Odum,IND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Geronimo Allison,GB,0.0,3.8371167945864855,49.28895637506,0.26968264600972114,0.0,0.0,0.0,0.0,0.0
Golden Tate,PHI,1.8,5.87,68.55,0.33999999999999997,0.0,0.0,0.0,0.0,0.0
J.J. Jones,NYJ,0.0,0.1,1.15,0.0,0.0,0.0,0.0,0.0,0.0
J.J. Nelson,ARI,0.6,0.88,12.05,0.09,0.0,0.0,0.0,0.0,0.18
Jakeem Grant,MIA,1.6,1.85,23.7,0.1,0.0,0.0,0.0,0.0,0.0
James Washington,PIT,0.3,2.635,34.85,0.21500000000000002,0.0,0.0,0.0,0.0,0.0
Jamison Crowder,WAS,3.16,4.05,46.1,0.2,0.0,0.0,0.0,0.0,0.0
Jarius Wright,CAR,0.1,2.45,30.9,0.2,0.0,0.0,0.0,0.0,0.0
Jaron Brown,SEA,0.0,1.96,26.979999999999997,0.2,0.0,0.0,0.0,0.0,0.0
Jarvis Landry,CLE,0.4,6.0,66.7,0.4,0.0,0.0,0.0,0.0,0.0
Jaydon Mickens,JAX,0.0,0.2,3.179305958174073,0.061221582678976295,0.0,0.0,0.0,0.0,0.0
Jermaine Kearse,NYJ,0.0,1.85,20.95,0.1,0.0,0.0,0.0,0.0,0.0
JoJo Natson,LAR,0.20199513671462715,0.12269799527840125,1.247890664788149,0.008947919326178295,0.0,0.0,0.0,1.984514051049137e-06,0.0
John Brown,BAL,0.7,3.5,50.099999999999994,0.4,0.0,0.0,0.0,0.0,0.0
John Ross,CIN,2.7,2.2800000000000002,27.75,0.195,0.0,0.0,0.0,0.0,0.0
Jordy Nelson,OAK,0.0,3.8,41.45,0.25,0.0,0.0,0.0,0.0,0.0
Josh Bellamy,CHI,0.1,0.5,7.25,0.0,0.0,0.0,0.0,0.0,0.0
Josh Doctson,WAS,0.0,2.8,38.575,0.28,0.0,0.0,0.0,0.0,0.0
Josh Malone,CIN,0.5588973574891005,0.2198753668036356,3.0787611422095136,0.002010449934452526,0.0,0.0,0.0,0.0,0.0
Josh Reynolds,LAR,0.02,0.41500000000000004,5.615,0.01,0.0,0.0,0.0,0.0,0.0
JuJu Smith-Schuster,PIT,0.0,5.8,75.6,0.5,0.0,0.0,0.0,0.0,0.0
Julio Jones,ATL,1.4,6.904999999999999,99.6,0.5349999999999999,0.0,0.0,0.0,0.0,0.0
Justin Hardee,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Justin Hardy,ATL,0.0,0.75,8.65,0.065,0.0,0.0,0.0,0.0,0.0
Kamar Aiken,FA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Keelan Cole,JAX,0.0,4.15,59.65,0.39,0.0,0.0,0.0,0.0,0.0
Keenan Allen,LAC,0.51,6.5,81.75,0.5,0.0,0.0,0.0,0.0,0.0
